"Consolidated Statements of Income - USD ($) shares in Millions, $ in Millions",12 Months Ended,,
,"Dec. 31, 2022","Dec. 25, 2021","Dec. 26, 2020"
Income Statement [Abstract], , , 
Net revenue," $ 63,054 "," $ 79,024 "," $ 77,867 "
Cost of sales,"36,188 ","35,209 ","34,255 "
Gross margin,"26,866 ","43,815 ","43,612 "
Research and development,"17,528 ","15,190 ","13,556 "
"Marketing, general and administrative","7,002 ","6,543 ","6,180 "
Restructuring and other charges,2 ,"2,626 ",198 
Operating expenses,"24,532 ","24,359 ","19,934 "
Operating income,"2,334 ","19,456 ","23,678 "
"Gains (losses) on equity investments, net","4,268 ","2,729 ","1,904 "
"Interest and other, net","1,166 ",(482),(504)
Income before taxes,"7,768 ","21,703 ","25,078 "
Provision for (benefit from) taxes,(249),"1,835 ","4,179 "
Net income,"8,017 ","19,868 ","20,899 "
Net loss attributable to non-controlling interest,3 ,0 ,0 
Net income attributable to Intel," $ 8,014 "," $ 19,868 "," $ 20,899 "
Earnings per share attributable to Intel—basic, $ 1.95 , $ 4.89 , $ 4.98 
Earnings per share attributable to Intel—diluted, $ 1.94 , $ 4.86 , $ 4.94 
Weighted average shares of common stock outstanding:, , , 
Basic (shares),"4,108 ","4,059 ","4,199 "
Diluted (shares),"4,123 ","4,090 ","4,232 "
