ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/12/2022 6:32:54 PM,1,18,0.00132528346340745,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/12/2022 6:32:54 PM,1,3625,0.266897364158445,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/12/2022 6:32:54 PM,1,103,0.00758356648505375,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/12/2022 6:32:54 PM,1,143,0.0105286408481814,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/12/2022 6:32:54 PM,1,9693,0.713665145044912,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/12/2022 6:32:54 PM,1,17,0.00126704926585675,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/12/2022 6:32:54 PM,1,2771,0.20652903033465,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/12/2022 6:32:54 PM,1,10629,0.792203920399493,0/370,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/12/2022 6:32:54 PM,1,15,0.00109146474568871,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/12/2022 6:32:54 PM,1,65,0.0047296805646511,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/12/2022 6:32:54 PM,1,2140,0.15571563705159,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/12/2022 6:32:54 PM,1,49,0.00356545150258313,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/12/2022 6:32:54 PM,1,1325,0.0964127192025031,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/12/2022 6:32:54 PM,1,10149,0.738485046932984,0/1279,
100051827,"State Representative, 59th District","","","","HD 59",8,,9901,"Write-in",11/12/2022 6:32:54 PM,1,22,0.0016321685584984,0/38,
100051827,"State Representative, 59th District","Democrat, Independent","","","HD 59",8,,100084336,"Lawrence Jones",11/12/2022 6:32:54 PM,1,2655,0.196973069218785,0/38,
100051827,"State Representative, 59th District","Republican","","","HD 59",8,,100084337,"Vikki Breese-Iverson",11/12/2022 6:32:54 PM,1,10802,0.801394762222717,0/38,
100052123,"Crook County, Clerk","","","","Crook County",9,,9901,"Write-in",11/12/2022 6:32:54 PM,1,111,0.012014287260526,0/17,
100052123,"Crook County, Clerk","","","","Crook County",9,,100044977,"Cheryl Seely",11/12/2022 6:32:54 PM,1,9128,0.987985712739474,0/17,
