ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/12/2022 6:32:56 PM,1,10,0.000806256550834476,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/12/2022 6:32:56 PM,1,5141,0.414496492784004,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/12/2022 6:32:56 PM,1,156,0.0125776021930178,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/12/2022 6:32:56 PM,1,162,0.0130613561235185,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/12/2022 6:32:56 PM,1,6934,0.559058292348625,0/1279,
100051750,"US Representative, 4th District","","","","US Representative 4th District",3,,9901,"Write-in",11/12/2022 6:32:56 PM,1,11,0.000894018205461638,0/187,
100051750,"US Representative, 4th District","Constitution","","","US Representative 4th District",3,,100085960,"Jim Howard",11/12/2022 6:32:56 PM,1,185,0.0150357607282185,0/187,
100051750,"US Representative, 4th District","Democrat, Working Families","","","US Representative 4th District",3,,100084008,"Val Hoyle",11/12/2022 6:32:56 PM,1,4493,0.365165799739922,0/187,
100051750,"US Representative, 4th District","Independent, Libertarian","","","US Representative 4th District",3,,100085958,"Levi Leatherberry",11/12/2022 6:32:56 PM,1,312,0.0253576072821847,0/187,
100051750,"US Representative, 4th District","Pacific Green, Progressive","","","US Representative 4th District",3,,100085957,"Mike Beilstein",11/12/2022 6:32:56 PM,1,185,0.0150357607282185,0/187,
100051750,"US Representative, 4th District","Republican","","","US Representative 4th District",3,,100084003,"Alek Skarlatos",11/12/2022 6:32:56 PM,1,7118,0.578511053315995,0/187,
100051769,"State Representative, 1st District","","","","HD 01",5,,9901,"Write-in",11/12/2022 6:32:56 PM,1,24,0.0019714144898965,0/45,
100051769,"State Representative, 1st District","Democrat","","","HD 01",5,,100084101,"Bret Cecil",11/12/2022 6:32:56 PM,1,4335,0.356086742237555,0/45,
100051769,"State Representative, 1st District","Republican","","","HD 01",5,,300027661,"David Brock Smith",11/12/2022 6:32:56 PM,1,7815,0.641941843272548,0/45,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/12/2022 6:32:56 PM,1,7,0.000561077268355242,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/12/2022 6:32:56 PM,1,68,0.00545046489259378,0/1279,
