ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/12/2022 6:33:02 PM,1,6,0.0016304347826087,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/12/2022 6:33:02 PM,1,951,0.258423913043478,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/12/2022 6:33:02 PM,1,18,0.00489130434782609,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/12/2022 6:33:02 PM,1,62,0.0168478260869565,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/12/2022 6:33:02 PM,1,2643,0.71820652173913,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/12/2022 6:33:02 PM,1,15,0.00404967602591793,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/12/2022 6:33:02 PM,1,581,0.156857451403888,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/12/2022 6:33:02 PM,1,3108,0.839092872570194,0/370,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/12/2022 6:33:02 PM,1,5,0.00132837407013815,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/12/2022 6:33:02 PM,1,33,0.0087672688629118,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/12/2022 6:33:02 PM,1,475,0.126195536663124,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/12/2022 6:33:02 PM,1,13,0.00345377258235919,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/12/2022 6:33:02 PM,1,315,0.0836875664187035,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/12/2022 6:33:02 PM,1,2923,0.776567481402763,0/1279,
