ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/12/2022 6:33:05 PM,1,117,0.00114854517611026,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/12/2022 6:33:05 PM,1,47174,0.463089488357482,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/12/2022 6:33:05 PM,1,1064,0.0104448894647976,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/12/2022 6:33:05 PM,1,1602,0.0157262339498174,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/12/2022 6:33:05 PM,1,51911,0.509590843051792,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/12/2022 6:33:05 PM,1,143,0.0014257512612415,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/12/2022 6:33:05 PM,1,43153,0.430247861373108,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/12/2022 6:33:05 PM,1,57002,0.56832638736565,0/370,
100051754,"State Senator, 3rd District","","","","SD 03",4,,9901,"Write-in",11/12/2022 6:33:05 PM,1,76,0.00119894618940195,0/27,
100051754,"State Senator, 3rd District","Democrat, Independent, Working Families","","","SD 03",4,,100060623,"Jeff Golden",11/12/2022 6:33:05 PM,1,32827,0.517865875782865,0/27,
100051754,"State Senator, 3rd District","Republican","","","SD 03",4,,100084069,"Randy Sparacino",11/12/2022 6:33:05 PM,1,30486,0.480935178027734,0/27,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/12/2022 6:33:05 PM,1,103,0.00100400627747614,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/12/2022 6:33:05 PM,1,538,0.00524422696390451,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/12/2022 6:33:05 PM,1,38832,0.378520114242268,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/12/2022 6:33:05 PM,1,441,0.00429870648899979,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/12/2022 6:33:05 PM,1,7184,0.0700270009455205,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/12/2022 6:33:05 PM,1,55491,0.540905945081831,0/1279,
100051770,"State Representative, 2nd District","","","","HD 02",6,,9901,"Write-in",11/12/2022 6:33:05 PM,1,0,0,0/18,
100051770,"State Representative, 2nd District","Constitution","","","HD 02",6,,100086039,"Edward Renfroe",11/12/2022 6:33:05 PM,1,0,0,0/18,
100051770,"State Representative, 2nd District","Democrat","","","HD 02",6,,100086040,"Kevin Bell",11/12/2022 6:33:05 PM,1,0,0,0/18,
