ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/12/2022 6:33:21 PM,1,4,0.00101342791993919,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/12/2022 6:33:21 PM,1,1134,0.287306815302762,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/12/2022 6:33:21 PM,1,26,0.00658728147960476,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/12/2022 6:33:21 PM,1,63,0.0159614897390423,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/12/2022 6:33:21 PM,1,2720,0.689130985558652,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/12/2022 6:33:21 PM,1,4,0.00104031209362809,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/12/2022 6:33:21 PM,1,824,0.214304291287386,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/12/2022 6:33:21 PM,1,3017,0.784655396618986,0/370,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/12/2022 6:33:21 PM,1,6,0.00150338261087447,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/12/2022 6:33:21 PM,1,39,0.00977198697068404,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/12/2022 6:33:21 PM,1,590,0.147832623402656,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/12/2022 6:33:21 PM,1,27,0.0067652217489351,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/12/2022 6:33:21 PM,1,382,0.0957153595590078,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/12/2022 6:33:21 PM,1,2947,0.738411425707843,0/1279,
100051924,"City of Boardman, Council Member, At-large (Vote For 3)","","","","City of Boardman",8,,9901,"Write-in",11/12/2022 6:33:21 PM,3,214,0.152857142857143,0/1,
100051924,"City of Boardman, Council Member, At-large (Vote For 3)","","","","City of Boardman",8,,100086181,"Karen R Pettigrew",11/12/2022 6:33:21 PM,3,328,0.234285714285714,0/1,
100051924,"City of Boardman, Council Member, At-large (Vote For 3)","","","","City of Boardman",8,,100086182,"Jonathan L Tallman",11/12/2022 6:33:21 PM,3,196,0.14,0/1,
100051924,"City of Boardman, Council Member, At-large (Vote For 3)","","","","City of Boardman",8,,100086505,"Isaac A Williams",11/12/2022 6:33:21 PM,3,319,0.227857142857143,0/1,
100051924,"City of Boardman, Council Member, At-large (Vote For 3)","","","","City of Boardman",8,,300035261,"Roy Drago Jr",11/12/2022 6:33:21 PM,3,343,0.245,0/1,
100051742,"City of Heppner, Mayor","","","","City of Heppner",9,,9901,"Write-in",11/12/2022 6:33:21 PM,1,11,0.0199637023593466,0/1,
100051742,"City of Heppner, Mayor","","","","City of Heppner",9,,100085930,"Corey P Sweeney",11/12/2022 6:33:21 PM,1,540,0.980036297640653,0/1,
100051739,"City of Heppner, Councilor, Position 4","","","","City of Heppner",10,,9901,"Write-in",11/12/2022 6:33:21 PM,1,3,0.00548446069469835,0/1,
100051739,"City of Heppner, Councilor, Position 4","","","","City of Heppner",10,,100034969,"Dale Bates",11/12/2022 6:33:21 PM,1,544,0.994515539305302,0/1,
