ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/12/2022 6:33:23 PM,1,364,0.001031623219458,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/12/2022 6:33:23 PM,1,278266,0.788641941718956,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/12/2022 6:33:23 PM,1,4815,0.0136463346200282,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/12/2022 6:33:23 PM,1,8786,0.0249006637531813,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/12/2022 6:33:23 PM,1,60611,0.171779436688376,0/1279,
100051747,"US Representative, 1st District","","","","US Representative 1st District",2,,9901,"Write-in",11/12/2022 6:33:23 PM,1,151,0.00191357242428083,0/219,
100051747,"US Representative, 1st District","Democrat, Working Families","","","US Representative 1st District",2,,300024797,"Suzanne Bonamici",11/12/2022 6:33:23 PM,1,69772,0.884197186668356,0/219,
100051747,"US Representative, 1st District","Republican","","","US Representative 1st District",2,,100083995,"Christopher A Mann",11/12/2022 6:33:23 PM,1,8987,0.113889240907363,0/219,
100051749,"US Representative, 3rd District","","","","US Representative 3rd District",3,,9901,"Write-in",11/12/2022 6:33:23 PM,1,462,0.00187948513498121,0/109,
100051749,"US Representative, 3rd District","Democrat","","","US Representative 3rd District",3,,100067959,"Earl Blumenauer",11/12/2022 6:33:23 PM,1,184546,0.750760743983207,0/109,
100051749,"US Representative, 3rd District","Progressive, Independent, Pacific Green","","","US Representative 3rd District",3,,100085956,"David E Delk",11/12/2022 6:33:23 PM,1,9372,0.0381266984524759,0/109,
100051749,"US Representative, 3rd District","Republican","","","US Representative 3rd District",3,,100084002,"Joanna Harbour",11/12/2022 6:33:23 PM,1,51432,0.209233072429336,0/109,
100051751,"US Representative, 5th District","","","","US Representative 5th District",4,,9901,"Write-in",11/12/2022 6:33:23 PM,1,63,0.00252697444948057,0/237,
100051751,"US Representative, 5th District","Democrat, Independent, Working Families","","","US Representative 5th District",4,,100084013,"Jamie McLeod-Skinner",11/12/2022 6:33:23 PM,1,19851,0.796237615819662,0/237,
100051751,"US Representative, 5th District","Republican","","","US Representative 5th District",4,,100084017,"Lori Chavez-DeRemer",11/12/2022 6:33:23 PM,1,5017,0.201235409730857,0/237,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/12/2022 6:33:23 PM,1,462,0.00129798615481435,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/12/2022 6:33:23 PM,1,715,0.00200878809673649,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/12/2022 6:33:23 PM,1,258344,0.725815877011598,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/12/2022 6:33:23 PM,1,811,0.00227849950552908,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/12/2022 6:33:23 PM,1,25440,0.0714735233300369,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/12/2022 6:33:23 PM,1,70164,0.197125325901286,0/1279,
100051763,"State Senator, 16th District","","","","SD 16",7,,9901,"Write-in",11/12/2022 6:33:23 PM,1,0,0,0/101,
100051763,"State Senator, 16th District","Democrat, Independent","","","SD 16",7,,100084086,"Melissa Busch",11/12/2022 6:33:23 PM,1,952,0.618583495776478,0/101,
100051763,"State Senator, 16th District","Republican","","","SD 16",7,,100084085,"Suzanne Weber",11/12/2022 6:33:23 PM,1,587,0.381416504223522,0/101,
100051764,"State Senator, 17th District","","","","SD 17",8,,9901,"Write-in",11/12/2022 6:33:23 PM,1,65,0.00230963294602565,0/28,
100051764,"State Senator, 17th District","Democrat, Independent","","","SD 17",8,,300025016,"Elizabeth Steiner Hayward",11/12/2022 6:33:23 PM,1,24746,0.879295028959244,0/28,
100051764,"State Senator, 17th District","Republican","","","SD 17",8,,100084087,"John Verbeek",11/12/2022 6:33:23 PM,1,3332,0.11839533809473,0/28,
100051765,"State Senator, 19th District","","","","SD 19",10,,9901,"Write-in",11/12/2022 6:33:23 PM,1,15,0.000903505601734731,0/38,
100051765,"State Senator, 19th District","Democrat, Independent","","","SD 19",10,,100060628,"Rob Wagner",11/12/2022 6:33:23 PM,1,13398,0.807011203469462,0/38,
100051765,"State Senator, 19th District","Republican","","","SD 19",10,,100084092,"Ben Edtl",11/12/2022 6:33:23 PM,1,3189,0.192085290928804,0/38,
100051767,"State Senator, 24th District","","","","SD 24",10,,9901,"Write-in",11/12/2022 6:33:23 PM,1,76,0.00207180437804978,0/24,
100051767,"State Senator, 24th District","Democrat, Independent, Working Families","","","SD 24",10,,100083856,"Kayse Jama",11/12/2022 6:33:23 PM,1,23392,0.637679579096584,0/24,
100051767,"State Senator, 24th District","Republican","","","SD 24",10,,100084096,"Stan Catherman",11/12/2022 6:33:23 PM,1,13215,0.360248616525366,0/24,
100051768,"State Senator, 26th District","","","","SD 26",11,,9901,"Write-in",11/12/2022 6:33:23 PM,1,11,0.00207273412474091,0/41,
100051768,"State Senator, 26th District","Democrat, Independent","","","SD 26",11,,100084097,"Raz Mason",11/12/2022 6:33:23 PM,1,2111,0.397776521575278,0/41,
100051768,"State Senator, 26th District","Republican","","","SD 26",11,,100084099,"Daniel G Bonham",11/12/2022 6:33:23 PM,1,3185,0.600150744299981,0/41,
100051796,"State Representative, 28th District","","","","HD 28",14,,9901,"Write-in",11/12/2022 6:33:23 PM,1,39,0.0014533258803801,0/14,
100051796,"State Representative, 28th District","Democrat, Independent, Working Families","","","HD 28",14,,100084251,"Dacia Grayber",11/12/2022 6:33:23 PM,1,22564,0.840842183715297,0/14,
100051796,"State Representative, 28th District","Republican","","","HD 28",14,,100084253,"Patrick Castles",11/12/2022 6:33:23 PM,1,4232,0.157704490404323,0/14,
100051806,"State Representative, 38th District","","","","HD 38",15,,9901,"Write-in",11/12/2022 6:33:23 PM,1,14,0.000842713537591043,0/19,
100051806,"State Representative, 38th District","Democrat","","","HD 38",15,,100084274,"Daniel Nguyen",11/12/2022 6:33:23 PM,1,12528,0.754108228495756,0/19,
100051806,"State Representative, 38th District","Republican, Independent","","","HD 38",15,,100084276,"Alistair Firmin",11/12/2022 6:33:23 PM,1,4071,0.245049057966653,0/19,
100051799,"State Representative, 31st District","","","","HD 31",17,,9901,"Write-in",11/12/2022 6:33:23 PM,1,1,0.000649772579597141,0/45,
100051799,"State Representative, 31st District","Democrat, Independent, Working Families","","","HD 31",17,,100084257,"Anthony Sorace",11/12/2022 6:33:23 PM,1,944,0.613385315139701,0/45,
100051799,"State Representative, 31st District","Republican","","","HD 31",17,,100084258,"Brian G Stout",11/12/2022 6:33:23 PM,1,594,0.385964912280702,0/45,
100051810,"State Representative, 42nd District","","","","HD 42",17,,9901,"Write-in",11/12/2022 6:33:23 PM,1,74,0.00199810989604428,0/8,
100051810,"State Representative, 42nd District","Democrat","","","HD 42",17,,100043160,"Rob Nosse",11/12/2022 6:33:23 PM,1,33876,0.914702308626974,0/8,
100051810,"State Representative, 42nd District","Libertarian","","","HD 42",17,,100086049,"Shira Newman",11/12/2022 6:33:23 PM,1,597,0.0161198865937627,0/8,
100051810,"State Representative, 42nd District","Republican","","","HD 42",17,,100084298,"Scott Trahan",11/12/2022 6:33:23 PM,1,2488,0.0671796948832186,0/8,
100051801,"State Representative, 33rd District","","","","HD 33",18,,9901,"Write-in",11/12/2022 6:33:23 PM,1,53,0.00191882987581912,0/10,
100051801,"State Representative, 33rd District","Democrat, Working Families","","","HD 33",18,,100066778,"Maxine E Dexter",11/12/2022 6:33:23 PM,1,23652,0.856304985337243,0/10,
100051801,"State Representative, 33rd District","Republican","","","HD 33",18,,100084263,"Stan Baumhofer",11/12/2022 6:33:23 PM,1,3916,0.141776184786937,0/10,
100051809,"State Representative, 41st District","","","","HD 41",18,,9901,"Write-in",11/12/2022 6:33:23 PM,1,25,0.00143694677549144,0/13,
100051809,"State Representative, 41st District","Democrat, Independent, Working Families","","","HD 41",18,,100084290,"Mark F Gamba",11/12/2022 6:33:23 PM,1,15341,0.881768019312565,0/13,
100051809,"State Representative, 41st District","Republican","","","HD 41",18,,100084294,"Rob Reynolds",11/12/2022 6:33:23 PM,1,2032,0.116795033911944,0/13,
100051811,"State Representative, 43rd District","","","","HD 43",18,,9901,"Write-in",11/12/2022 6:33:23 PM,1,63,0.0017727004136301,0/7,
