ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/12/2022 6:33:34 PM,1,4,0.000889877641824249,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/12/2022 6:33:34 PM,1,1502,0.334149054505006,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/12/2022 6:33:34 PM,1,44,0.00978865406006674,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/12/2022 6:33:34 PM,1,48,0.010678531701891,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/12/2022 6:33:34 PM,1,2897,0.644493882091213,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/12/2022 6:33:34 PM,1,5,0.00112435349673937,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/12/2022 6:33:34 PM,1,1269,0.285360917472453,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/12/2022 6:33:34 PM,1,3173,0.713514729030807,0/370,
100051826,"State Representative, 58th District","","","","HD 58",5,,9901,"Write-in",11/12/2022 6:33:34 PM,1,54,0.0135780739250691,0/64,
100051826,"State Representative, 58th District","Libertarian","","","HD 58",5,,100086062,"Jesse Bonifer",11/12/2022 6:33:34 PM,1,499,0.125471460900176,0/64,
100051826,"State Representative, 58th District","Republican, Democrat","","","HD 58",5,,100066855,"Bobby Levy",11/12/2022 6:33:34 PM,1,3424,0.860950465174755,0/64,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/12/2022 6:33:34 PM,1,6,0.00131752305665349,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/12/2022 6:33:34 PM,1,23,0.00505050505050505,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/12/2022 6:33:34 PM,1,1097,0.24088713219148,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/12/2022 6:33:34 PM,1,23,0.00505050505050505,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/12/2022 6:33:34 PM,1,290,0.0636802810715854,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/12/2022 6:33:34 PM,1,3115,0.684014053579271,0/1279,
100051175,"Wallowa County, Clerk","","","","County-Wallowa",8,,9901,"Write-in",11/12/2022 6:33:34 PM,1,16,0.00422832980972516,0/12,
100051175,"Wallowa County, Clerk","","","","County-Wallowa",8,,300034965,"Sandy Lathrop",11/12/2022 6:33:34 PM,1,3768,0.995771670190275,0/12,
100051177,"Wallowa County, Treasurer","","","","County-Wallowa",9,,9901,"Write-in",11/12/2022 6:33:34 PM,1,9,0.0025847214244687,0/12,
100051177,"Wallowa County, Treasurer","","","","County-Wallowa",9,,300034978,"Ginger Goebel-Burns",11/12/2022 6:33:34 PM,1,3473,0.997415278575531,0/12,
