ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/12/2022 6:33:40 PM,1,189,0.00103899816388684,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/12/2022 6:33:40 PM,1,115851,0.63687289039394,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/12/2022 6:33:40 PM,1,1955,0.010747309049729,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/12/2022 6:33:40 PM,1,3346,0.0183941156421448,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/12/2022 6:33:40 PM,1,60565,0.3329466867503,0/1279,
100051747,"US Representative, 1st District","","","","US Representative 1st District",2,,9901,"Write-in",11/12/2022 6:33:40 PM,1,216,0.00179181736735574,0/219,
100051747,"US Representative, 1st District","Democrat, Working Families","","","US Representative 1st District",2,,300024797,"Suzanne Bonamici",11/12/2022 6:33:40 PM,1,77276,0.641039254073066,0/219,
100051747,"US Representative, 1st District","Republican","","","US Representative 1st District",2,,100083995,"Christopher A Mann",11/12/2022 6:33:40 PM,1,43056,0.357168928559578,0/219,
100051752,"US Representative, 6th District","","","","US Representative 6th District",5,,9901,"Write-in",11/12/2022 6:33:40 PM,1,79,0.00133084011387948,0/177,
100051752,"US Representative, 6th District","Constitution","","","US Representative 6th District",5,,100085991,"Larry D McFarland",11/12/2022 6:33:40 PM,1,883,0.0148750863361466,0/177,
100051752,"US Representative, 6th District","Democrat, Independent, Working Families","","","US Representative 6th District",5,,100084021,"Andrea Salinas",11/12/2022 6:33:40 PM,1,36428,0.61366890719496,0/177,
100051752,"US Representative, 6th District","Republican","","","US Representative 6th District",5,,100084033,"Mike Erickson",11/12/2022 6:33:40 PM,1,21971,0.370125166355014,0/177,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/12/2022 6:33:40 PM,1,167,0.000909937938963325,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/12/2022 6:33:40 PM,1,534,0.00290962191261327,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/12/2022 6:33:40 PM,1,100467,0.547417574334301,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/12/2022 6:33:40 PM,1,485,0.00264263413411504,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/12/2022 6:33:40 PM,1,15812,0.0861553215023239,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/12/2022 6:33:40 PM,1,66064,0.359964910177683,0/1279,
100051762,"State Senator, 15th District","","","","SD 15",6,,9901,"Write-in",11/12/2022 6:33:40 PM,1,54,0.00148641581106003,0/32,
100051762,"State Senator, 15th District","Democrat, Independent","","","SD 15",6,,100083853,"Janeen Sollman",11/12/2022 6:33:40 PM,1,19966,0.549588483030086,0/32,
100051762,"State Senator, 15th District","Republican","","","SD 15",6,,100084084,"Carolina Malmedal",11/12/2022 6:33:40 PM,1,16309,0.448925101158854,0/32,
100051761,"State Senator, 13th District","","","","SD 13",7,,9901,"Write-in",11/12/2022 6:33:40 PM,1,37,0.00101511701281242,0/35,
100051761,"State Senator, 13th District","Democrat, Working Families","","","SD 13",7,,100084081,"Aaron Woods",11/12/2022 6:33:40 PM,1,21772,0.597327773052759,0/35,
100051761,"State Senator, 13th District","Republican, Independent","","","SD 13",7,,100084083,"John D Velez",11/12/2022 6:33:40 PM,1,14640,0.401657109934429,0/35,
100051763,"State Senator, 16th District","","","","SD 16",7,,9901,"Write-in",11/12/2022 6:33:40 PM,1,16,0.0021659672397455,0/101,
100051763,"State Senator, 16th District","Democrat, Independent","","","SD 16",7,,100084086,"Melissa Busch",11/12/2022 6:33:40 PM,1,2689,0.364017869229728,0/101,
100051763,"State Senator, 16th District","Republican","","","SD 16",7,,100084085,"Suzanne Weber",11/12/2022 6:33:40 PM,1,4682,0.633816163530527,0/101,
100051764,"State Senator, 17th District","","","","SD 17",8,,9901,"Write-in",11/12/2022 6:33:40 PM,1,36,0.00166813400676521,0/28,
100051764,"State Senator, 17th District","Democrat, Independent","","","SD 17",8,,300025016,"Elizabeth Steiner Hayward",11/12/2022 6:33:40 PM,1,14807,0.68611278439368,0/28,
100051764,"State Senator, 17th District","Republican","","","SD 17",8,,100084087,"John Verbeek",11/12/2022 6:33:40 PM,1,6738,0.312219081599555,0/28,
100051837,"State Senator, 18th District (2 Year Unexpired Term)","","","","SD 18",9,,9901,"Write-in",11/12/2022 6:33:40 PM,1,35,0.000930603562882212,0/31,
100051837,"State Senator, 18th District (2 Year Unexpired Term)","Democrat, Working Families","","","SD 18",9,,100086033,"Wlnsvey E Campos",11/12/2022 6:33:40 PM,1,20912,0.556022334485509,0/31,
100051837,"State Senator, 18th District (2 Year Unexpired Term)","Nonaffiliated","","","SD 18",9,,100086034,"Rich Vial",11/12/2022 6:33:40 PM,1,3941,0.104785961180537,0/31,
100051837,"State Senator, 18th District (2 Year Unexpired Term)","Republican, Constitution","","","SD 18",9,,100086037,"Kimberly Rice",11/12/2022 6:33:40 PM,1,12722,0.338261100771072,0/31,
100051765,"State Senator, 19th District","","","","SD 19",10,,9901,"Write-in",11/12/2022 6:33:40 PM,1,7,0.000840033601344054,0/38,
100051765,"State Senator, 19th District","Democrat, Independent","","","SD 19",10,,100060628,"Rob Wagner",11/12/2022 6:33:40 PM,1,4785,0.574222968918757,0/38,
100051765,"State Senator, 19th District","Republican","","","SD 19",10,,100084092,"Ben Edtl",11/12/2022 6:33:40 PM,1,3541,0.424936997479899,0/38,
100051793,"State Representative, 25th District","","","","HD 25",11,,9901,"Write-in",11/12/2022 6:33:40 PM,1,35,0.0015382586911616,0/13,
100051793,"State Representative, 25th District","Democrat, Independent, Working Families","","","HD 25",11,,100084243,"Ben Bowman",11/12/2022 6:33:40 PM,1,14728,0.647299257240803,0/13,
100051793,"State Representative, 25th District","Republican","","","HD 25",11,,100084244,"Bob Niemeyer",11/12/2022 6:33:40 PM,1,7990,0.351162484068035,0/13,
100051794,"State Representative, 26th District","","","","HD 26",13,,9901,"Write-in",11/12/2022 6:33:40 PM,1,9,0.000657366152947192,0/22,
100051794,"State Representative, 26th District","Democrat, Independent, Working Families","","","HD 26",13,,100063744,"Courtney Neron",11/12/2022 6:33:40 PM,1,7485,0.546709517201081,0/22,
