ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/15/2022 1:46:41 PM,1,54,0.00122903247832123,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/15/2022 1:46:41 PM,1,29187,0.664292054532626,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/15/2022 1:46:41 PM,1,646,0.0147028700184355,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/15/2022 1:46:41 PM,1,986,0.0224412226597173,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/15/2022 1:46:41 PM,1,13064,0.2973348203109,0/1279,
100051750,"US Representative, 4th District","","","","US Representative 4th District",3,,9901,"Write-in",11/15/2022 1:46:41 PM,1,39,0.000892101470823707,0/187,
100051750,"US Representative, 4th District","Constitution","","","US Representative 4th District",3,,100085960,"Jim Howard",11/15/2022 1:46:41 PM,1,572,0.0130841549054144,0/187,
100051750,"US Representative, 4th District","Democrat, Working Families","","","US Representative 4th District",3,,100084008,"Val Hoyle",11/15/2022 1:46:41 PM,1,27339,0.625363131047419,0/187,
100051750,"US Representative, 4th District","Independent, Libertarian","","","US Representative 4th District",3,,100085958,"Levi Leatherberry",11/15/2022 1:46:41 PM,1,1082,0.0247500972161859,0/187,
100051750,"US Representative, 4th District","Pacific Green, Progressive","","","US Representative 4th District",3,,100085957,"Mike Beilstein",11/15/2022 1:46:41 PM,1,1217,0.0278381407690372,0/187,
100051750,"US Representative, 4th District","Republican","","","US Representative 4th District",3,,100084003,"Alek Skarlatos",11/15/2022 1:46:41 PM,1,13468,0.30807237459112,0/187,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/15/2022 1:46:41 PM,1,39,0.000883552333484368,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/15/2022 1:46:41 PM,1,140,0.0031717263253285,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/15/2022 1:46:41 PM,1,26441,0.599025826914363,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/15/2022 1:46:41 PM,1,152,0.00344358858178523,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/15/2022 1:46:41 PM,1,3098,0.0701857725419121,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/15/2022 1:46:41 PM,1,14270,0.323289533303126,0/1279,
