ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/15/2022 1:46:43 PM,1,218,0.0010870920288229,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/15/2022 1:46:43 PM,1,106138,0.529274191537637,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/15/2022 1:46:43 PM,1,2026,0.0101029745430972,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/15/2022 1:46:43 PM,1,3052,0.0152192884035206,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/15/2022 1:46:43 PM,1,89101,0.444316453486923,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/15/2022 1:46:43 PM,1,0,0,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/15/2022 1:46:43 PM,1,0,0,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/15/2022 1:46:43 PM,1,0,0,0/370,
100051749,"US Representative, 3rd District","","","","US Representative 3rd District",3,,9901,"Write-in",11/15/2022 1:46:43 PM,1,30,0.000775775128649375,0/109,
100051749,"US Representative, 3rd District","Democrat","","","US Representative 3rd District",3,,100067959,"Earl Blumenauer",11/15/2022 1:46:43 PM,1,15677,0.405394223061209,0/109,
100051749,"US Representative, 3rd District","Progressive, Independent, Pacific Green","","","US Representative 3rd District",3,,100085956,"David E Delk",11/15/2022 1:46:43 PM,1,819,0.021178661012128,0/109,
100051749,"US Representative, 3rd District","Republican","","","US Representative 3rd District",3,,100084002,"Joanna Harbour",11/15/2022 1:46:43 PM,1,22145,0.572651340798014,0/109,
100051751,"US Representative, 5th District","","","","US Representative 5th District",4,,9901,"Write-in",11/15/2022 1:46:43 PM,1,391,0.00280083953553341,0/237,
100051751,"US Representative, 5th District","Democrat, Independent, Working Families","","","US Representative 5th District",4,,100084013,"Jamie McLeod-Skinner",11/15/2022 1:46:43 PM,1,70590,0.505655403614587,0/237,
100051751,"US Representative, 5th District","Republican","","","US Representative 5th District",4,,100084017,"Lori Chavez-DeRemer",11/15/2022 1:46:43 PM,1,68620,0.491543756849879,0/237,
100051752,"US Representative, 6th District","","","","US Representative 6th District",5,,9901,"Write-in",11/15/2022 1:46:43 PM,1,28,0.00150610510462052,0/177,
100051752,"US Representative, 6th District","Constitution","","","US Representative 6th District",5,,100085991,"Larry D McFarland",11/15/2022 1:46:43 PM,1,234,0.0125867355171857,0/177,
100051752,"US Representative, 6th District","Democrat, Independent, Working Families","","","US Representative 6th District",5,,100084021,"Andrea Salinas",11/15/2022 1:46:43 PM,1,10195,0.548383626485934,0/177,
100051752,"US Representative, 6th District","Republican","","","US Representative 6th District",5,,100084033,"Mike Erickson",11/15/2022 1:46:43 PM,1,8134,0.43752353289226,0/177,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/15/2022 1:46:43 PM,1,138,0.000679977137000611,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/15/2022 1:46:43 PM,1,559,0.00275440014190827,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/15/2022 1:46:43 PM,1,87041,0.42888326073674,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/15/2022 1:46:43 PM,1,502,0.00247354002010367,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/15/2022 1:46:43 PM,1,18170,0.0895303230384138,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/15/2022 1:46:43 PM,1,96538,0.475678498925833,0/1279,
100051761,"State Senator, 13th District","","","","SD 13",7,,9901,"Write-in",11/15/2022 1:46:43 PM,1,6,0.00047812574707148,0/35,
100051761,"State Senator, 13th District","Democrat, Working Families","","","SD 13",7,,100084081,"Aaron Woods",11/15/2022 1:46:43 PM,1,6563,0.522989879671687,0/35,
100051761,"State Senator, 13th District","Republican, Independent","","","SD 13",7,,100084083,"John D Velez",11/15/2022 1:46:43 PM,1,5980,0.476531994581242,0/35,
100051766,"State Senator, 20th District","","","","SD 20",9,,9901,"Write-in",11/15/2022 1:46:43 PM,1,71,0.00121533721328312,0/32,
100051766,"State Senator, 20th District","Democrat","","","SD 20",9,,100084095,"Mark Meek",11/15/2022 1:46:43 PM,1,29373,0.502790140362889,0/32,
100051766,"State Senator, 20th District","Republican, Independent, Libertarian","","","SD 20",9,,100083855,"Bill Kennemer",11/15/2022 1:46:43 PM,1,28976,0.495994522423827,0/32,
100051765,"State Senator, 19th District","","","","SD 19",10,,9901,"Write-in",11/15/2022 1:46:43 PM,1,46,0.00109318187219278,0/38,
100051765,"State Senator, 19th District","Democrat, Independent","","","SD 19",10,,100060628,"Rob Wagner",11/15/2022 1:46:43 PM,1,26299,0.624991088191259,0/38,
