ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/15/2022 1:47:07 PM,1,31,0.00106306368094373,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/15/2022 1:47:07 PM,1,8750,0.300058297040568,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/15/2022 1:47:07 PM,1,262,0.00898460272281472,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/15/2022 1:47:07 PM,1,439,0.0150543534172353,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/15/2022 1:47:07 PM,1,19679,0.674839683138438,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/15/2022 1:47:07 PM,1,43,0.00148768336562413,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/15/2022 1:47:07 PM,1,7012,0.242596180459452,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/15/2022 1:47:07 PM,1,21849,0.755916136174924,0/370,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/15/2022 1:47:07 PM,1,36,0.00121654501216545,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/15/2022 1:47:07 PM,1,231,0.00780616382806164,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/15/2022 1:47:07 PM,1,5849,0.197654771559881,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/15/2022 1:47:07 PM,1,150,0.00506893755068938,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/15/2022 1:47:07 PM,1,1817,0.0614017301973506,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/15/2022 1:47:07 PM,1,21509,0.726851851851852,0/1279,
100051823,"State Representative, 55th District","","","","HD 55",7,,9901,"Write-in",11/15/2022 1:47:07 PM,1,27,0.00167764384242575,0/33,
100051823,"State Representative, 55th District","Democrat, Independent","","","HD 55",7,,100084329,"Brian Lepore",11/15/2022 1:47:07 PM,1,3444,0.213992792344973,0/33,
100051823,"State Representative, 55th District","Republican","","","HD 55",7,,100084330,"E Werner Reschke",11/15/2022 1:47:07 PM,1,12623,0.784329563812601,0/33,
100051467,"Klamath County, Commissioner, Position 1","","","","Klamath County",9,,9901,"Write-in",11/15/2022 1:47:07 PM,1,507,0.0290777701307639,0/45,
100051467,"Klamath County, Commissioner, Position 1","","","","Klamath County",9,,100083621,"Dave Henslee",11/15/2022 1:47:07 PM,1,16929,0.970922229869236,0/45,
100051824,"State Representative, 56th District","","","","HD 56",9,,9901,"Write-in",11/15/2022 1:47:07 PM,1,41,0.00321644308464737,0/34,
100051824,"State Representative, 56th District","Democrat, Working Families","","","HD 56",9,,100084331,"Jonathan P Chenjeri",11/15/2022 1:47:07 PM,1,3895,0.3055620930415,0/34,
100051824,"State Representative, 56th District","Republican","","","HD 56",9,,100084332,"Emily G McIntire",11/15/2022 1:47:07 PM,1,8811,0.691221463873853,0/34,
100051466,"Klamath County, Clerk","","","","Klamath County",10,,9901,"Write-in",11/15/2022 1:47:07 PM,1,254,0.0152708471111646,0/45,
100051466,"Klamath County, Clerk","","","","Klamath County",10,,100063962,"Rochelle Long",11/15/2022 1:47:07 PM,1,16379,0.984729152888835,0/45,
100051468,"Klamath County, Treasurer","","","","Klamath County",11,,9901,"Write-in",11/15/2022 1:47:07 PM,1,229,0.0141218549580661,0/45,
100051468,"Klamath County, Treasurer","","","","Klamath County",11,,100063963,"Vickie Noel",11/15/2022 1:47:07 PM,1,15987,0.985878145041934,0/45,
