ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/15/2022 1:47:25 PM,1,27,0.00114126299771747,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/15/2022 1:47:25 PM,1,7335,0.310043114379914,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/15/2022 1:47:25 PM,1,214,0.00904556598190887,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/15/2022 1:47:25 PM,1,328,0.0138642319722715,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/15/2022 1:47:25 PM,1,15754,0.665905824668188,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/15/2022 1:47:25 PM,1,22,0.000951639415174323,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/15/2022 1:47:25 PM,1,6152,0.266112985552383,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/15/2022 1:47:25 PM,1,16944,0.732935375032442,0/370,
100051826,"State Representative, 58th District","","","","HD 58",5,,9901,"Write-in",11/15/2022 1:47:25 PM,1,121,0.00976436410587476,0/64,
100051826,"State Representative, 58th District","Libertarian","","","HD 58",5,,100086062,"Jesse Bonifer",11/15/2022 1:47:25 PM,1,2171,0.175193673337637,0/64,
100051826,"State Representative, 58th District","Republican, Democrat","","","HD 58",5,,100066855,"Bobby Levy",11/15/2022 1:47:25 PM,1,10100,0.815041962556488,0/64,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/15/2022 1:47:25 PM,1,29,0.00121131113988555,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/15/2022 1:47:25 PM,1,196,0.00818679253164028,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/15/2022 1:47:25 PM,1,5091,0.212647759074391,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/15/2022 1:47:25 PM,1,136,0.00568063155256673,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/15/2022 1:47:25 PM,1,1606,0.0670815755398688,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/15/2022 1:47:25 PM,1,16883,0.705191930161647,0/1279,
100051264,"Umatilla County, Commissioner, Position 1","","","","Umatilla County",9,,9901,"Write-in",11/15/2022 1:47:25 PM,1,88,0.00414312617702448,0/45,
100051264,"Umatilla County, Commissioner, Position 1","","","","Umatilla County",9,,100085236,"Susan Bower",11/15/2022 1:47:25 PM,1,9340,0.439736346516008,0/45,
100051264,"Umatilla County, Commissioner, Position 1","","","","Umatilla County",9,,100086315,"Cindy Timmons",11/15/2022 1:47:25 PM,1,11812,0.556120527306968,0/45,
100051265,"Umatilla County, Commissioner, Position 2","","","","Umatilla County",10,,9901,"Write-in",11/15/2022 1:47:25 PM,1,70,0.00330064126744625,0/45,
100051265,"Umatilla County, Commissioner, Position 2","","","","Umatilla County",10,,100079922,"John Shafer",11/15/2022 1:47:25 PM,1,13322,0.628159185213127,0/45,
100051265,"Umatilla County, Commissioner, Position 2","","","","Umatilla County",10,,100079923,"HollyJo Beers",11/15/2022 1:47:25 PM,1,7816,0.368540173519427,0/45,
100051267,"City of Adams, Mayor","","","","City of Adams",11,,9901,"Write-in",11/15/2022 1:47:25 PM,1,13,0.089041095890411,0/1,
100051267,"City of Adams, Mayor","","","","City of Adams",11,,100085235,"Graham Alderson",11/15/2022 1:47:25 PM,1,133,0.910958904109589,0/1,
100051266,"City of Adams, Council, At-large (Vote For 2)","","","","City of Adams",12,,9901,"Write-in",11/15/2022 1:47:25 PM,2,13,0.0921985815602837,0/1,
100051266,"City of Adams, Council, At-large (Vote For 2)","","","","City of Adams",12,,100085218,"Jeff Rost",11/15/2022 1:47:25 PM,2,128,0.907801418439716,0/1,
100051268,"City of Athena, Council, Position 1","","","","City of Athena",13,,9901,"Write-in",11/15/2022 1:47:25 PM,1,0,0,0/1,
100051268,"City of Athena, Council, Position 1","","","","City of Athena",13,,100085508,"Justin Mitchell",11/15/2022 1:47:25 PM,1,151,0.317226890756303,0/1,
100051268,"City of Athena, Council, Position 1","","","","City of Athena",13,,100085509,"Anthony Cooksley",11/15/2022 1:47:25 PM,1,116,0.243697478991597,0/1,
100051268,"City of Athena, Council, Position 1","","","","City of Athena",13,,300035011,"Wayne Kostur",11/15/2022 1:47:25 PM,1,209,0.439075630252101,0/1,
100051269,"City of Athena, Council, Position 3","","","","City of Athena",14,,9901,"Write-in",11/15/2022 1:47:25 PM,1,2,0.00415800415800416,0/1,
100051269,"City of Athena, Council, Position 3","","","","City of Athena",14,,100085220,"Katie Zmuda",11/15/2022 1:47:25 PM,1,479,0.995841995841996,0/1,
100051270,"City of Athena, Council, Position 5","","","","City of Athena",15,,9901,"Write-in",11/15/2022 1:47:25 PM,1,6,0.0136363636363636,0/1,
100051270,"City of Athena, Council, Position 5","","","","City of Athena",15,,300035012,"Sally Thompson",11/15/2022 1:47:25 PM,1,434,0.986363636363636,0/1,
100051272,"City of Echo, Mayor","","","","City of Echo",16,,9901,"Write-in",11/15/2022 1:47:25 PM,1,20,0.114285714285714,0/1,
100051272,"City of Echo, Mayor","","","","City of Echo",16,,100073487,"Chad Ray",11/15/2022 1:47:25 PM,1,155,0.885714285714286,0/1,
100051271,"City of Echo, Council, At-large (Vote For 4)","","","","City of Echo",17,,9901,"Write-in",11/15/2022 1:47:25 PM,4,24,0.051063829787234,0/1,
100051271,"City of Echo, Council, At-large (Vote For 4)","","","","City of Echo",17,,100045916,"Janie Enright",11/15/2022 1:47:25 PM,4,170,0.361702127659574,0/1,
100051271,"City of Echo, Council, At-large (Vote For 4)","","","","City of Echo",17,,100085221,"Berlyn Anderson",11/15/2022 1:47:25 PM,4,147,0.312765957446809,0/1,
100051271,"City of Echo, Council, At-large (Vote For 4)","","","","City of Echo",17,,100085222,"Dick Yoder",11/15/2022 1:47:25 PM,4,129,0.274468085106383,0/1,
100051276,"City of Helix, Mayor","","","","City of Helix",18,,9901,"Write-in",11/15/2022 1:47:25 PM,1,6,0.0731707317073171,0/1,
100051276,"City of Helix, Mayor","","","","City of Helix",18,,100086352,"Kim Herron",11/15/2022 1:47:25 PM,1,76,0.926829268292683,0/1,
100051273,"City of Helix, Council, Position 4","","","","City of Helix",19,,9901,"Write-in",11/15/2022 1:47:25 PM,1,3,0.0379746835443038,0/1,
100051273,"City of Helix, Council, Position 4","","","","City of Helix",19,,100086353,"Monica Curtiss",11/15/2022 1:47:25 PM,1,76,0.962025316455696,0/1,
100051274,"City of Helix, Council, Position 5","","","","City of Helix",20,,9901,"Write-in",11/15/2022 1:47:25 PM,1,0,0,0/1,
100051274,"City of Helix, Council, Position 5","","","","City of Helix",20,,100086354,"Glen Tipton",11/15/2022 1:47:25 PM,1,78,1,0/1,
100051275,"City of Helix, Council, Position 6","","","","City of Helix",21,,9901,"Write-in",11/15/2022 1:47:25 PM,1,2,0.0246913580246914,0/1,
100051275,"City of Helix, Council, Position 6","","","","City of Helix",21,,100086355,"Zach Buckley",11/15/2022 1:47:25 PM,1,47,0.580246913580247,0/1,
100051275,"City of Helix, Council, Position 6","","","","City of Helix",21,,100086360,"Robert Park",11/15/2022 1:47:25 PM,1,32,0.395061728395062,0/1,
100051278,"City of Milton-Freewater, Council, At-large, Position 2","","","","City of Milton-Freewater",22,,9901,"Write-in",11/15/2022 1:47:25 PM,1,12,0.0123203285420945,0/3,
100051278,"City of Milton-Freewater, Council, At-large, Position 2","","","","City of Milton-Freewater",22,,300029731,"Steve Irving",11/15/2022 1:47:25 PM,1,962,0.987679671457906,0/3,
100051825,"State Representative, 57th District","","","","HD 57",22,,9901,"Write-in",11/15/2022 1:47:25 PM,1,240,0.0273660205245154,0/51,
100051825,"State Representative, 57th District","Republican, Democrat","","","HD 57",22,,100068817,"Greg Smith",11/15/2022 1:47:25 PM,1,8530,0.972633979475485,0/51,
100051279,"City of Milton-Freewater, Council, At-large, Position 3","","","","City of Milton-Freewater",23,,9901,"Write-in",11/15/2022 1:47:25 PM,1,10,0.0107642626480086,0/3,
100051279,"City of Milton-Freewater, Council, At-large, Position 3","","","","City of Milton-Freewater",23,,100085440,"Wes Koklich",11/15/2022 1:47:25 PM,1,919,0.989235737351991,0/3,
100051280,"City of Milton-Freewater, Council, Ward 1","","","","City of Milton-Freewater, Ward 1",24,,9901,"Write-in",11/15/2022 1:47:25 PM,1,1,0.0043859649122807,0/1,
100051280,"City of Milton-Freewater, Council, Ward 1","","","","City of Milton-Freewater, Ward 1",24,,100078729,"John Lyon",11/15/2022 1:47:25 PM,1,227,0.995614035087719,0/1,
100051282,"City of Pilot Rock, Mayor","","","","City of Pilot Rock",25,,9901,"Write-in",11/15/2022 1:47:25 PM,1,16,0.0352422907488987,0/1,
100051282,"City of Pilot Rock, Mayor","","","","City of Pilot Rock",25,,100085228,"Randy J Gawith",11/15/2022 1:47:25 PM,1,438,0.964757709251101,0/1,
100051281,"City of Pilot Rock, Council, At-large (Vote For 3)","","","","City of Pilot Rock",26,,9901,"Write-in",11/15/2022 1:47:25 PM,3,28,0.0245183887915937,0/1,
100051281,"City of Pilot Rock, Council, At-large (Vote For 3)","","","","City of Pilot Rock",26,,100085226,"Tegan Kaneaster",11/15/2022 1:47:25 PM,3,307,0.268826619964974,0/1,
100051281,"City of Pilot Rock, Council, At-large (Vote For 3)","","","","City of Pilot Rock",26,,100085432,"Rhonda Hinkle Lazinka",11/15/2022 1:47:25 PM,3,305,0.26707530647986,0/1,
100051281,"City of Pilot Rock, Council, At-large (Vote For 3)","","","","City of Pilot Rock",26,,100085433,"Tiffany Schademan",11/15/2022 1:47:25 PM,3,198,0.17338003502627,0/1,
100051281,"City of Pilot Rock, Council, At-large (Vote For 3)","","","","City of Pilot Rock",26,,100085523,"Aliina Kirby",11/15/2022 1:47:25 PM,3,137,0.119964973730298,0/1,
100051281,"City of Pilot Rock, Council, At-large (Vote For 3)","","","","City of Pilot Rock",26,,300034898,"Paula Evoniuk",11/15/2022 1:47:25 PM,3,167,0.146234676007005,0/1,
100051829,"Commissioner of the Bureau of Labor and Industries","","","","Statewide Nonpartisan",27,,9901,"Write-in",11/15/2022 1:47:25 PM,1,96,0.00514883346741754,0/1279,
100051829,"Commissioner of the Bureau of Labor and Industries","","","","Statewide Nonpartisan",27,,100084347,"Christina E Stephenson",11/15/2022 1:47:25 PM,1,7435,0.398766425315098,0/1279,
100051829,"Commissioner of the Bureau of Labor and Industries","","","","Statewide Nonpartisan",27,,100086066,"Cheri Helt",11/15/2022 1:47:25 PM,1,11114,0.596084741217485,0/1279,
100051283,"City of Stanfield, Council, At-large (Vote For 3)","","","","City of Stanfield",27,,9901,"Write-in",11/15/2022 1:47:25 PM,3,24,0.02088772845953,0/1,
100051283,"City of Stanfield, Council, At-large (Vote For 3)","","","","City of Stanfield",27,,100085634,"Scott Challis",11/15/2022 1:47:25 PM,3,390,0.339425587467363,0/1,
100051283,"City of Stanfield, Council, At-large (Vote For 3)","","","","City of Stanfield",27,,100085635,"Andrew Benage",11/15/2022 1:47:25 PM,3,344,0.299390774586597,0/1,
100051283,"City of Stanfield, Council, At-large (Vote For 3)","","","","City of Stanfield",27,,300024851,"Jason Sperr",11/15/2022 1:47:25 PM,3,391,0.34029590948651,0/1,
