"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"1",16688,"Beautiful condo in downtown Pearl, NW Portland",64840,"Ashish",NA,"Pearl",45.52542,-122.68557,"Entire home/apt",275,2,83,"2020-06-12",2.14,1,353
"2",29931,"Lovely SW Victorian w/Bonus Room and Hot Tub",79786,"Ken",NA,"Hayhurst",45.48278,-122.72089,"Entire home/apt",200,2,53,"2019-08-31",0.43,3,36
"3",37676,"Mt. Hood View in the Pearl District",162158,"Paul",NA,"Pearl",45.52555,-122.68193,"Entire home/apt",100,30,123,"2019-10-11",1.01,2,365
"4",39938,"Friendly Guesthouse / 10 Min to Airport & Downtown",171371,"Sarah",NA,"Woodlawn",45.57428,-122.64594,"Private room",29,30,274,"2019-11-18",4.23,3,89
"5",41601,"Grandpa's Bunkhouse-Backyard Studio",179045,"Jean",NA,"Roseway",45.54935,-122.58425,"Entire home/apt",89,3,221,"2020-07-05",1.83,2,358
"6",42347,"Portland is Accessible!",184886,"Sharon",NA,"Laurelhurst",45.52211,-122.63147,"Private room",55,2,200,"2020-03-15",1.66,1,88
"7",45890,"Auntie's Hideaway--Daylight Downstairs Studio",179045,"Jean",NA,"Roseway",45.54889,-122.58554,"Entire home/apt",85,3,188,"2020-06-30",1.71,2,365
"8",53939,"Central East Side: comfy suite",206917,"Sue",NA,"Kerns",45.52817,-122.63582,"Private room",61,3,84,"2019-11-24",1.1,2,363
"9",53940,"Central E. Side: light, airy haven",206917,"Sue",NA,"Kerns",45.52532,-122.63272,"Private room",78,3,50,"2019-09-13",0.8,2,363
"10",59425,"Beautiful Alberta Arts Basement Apt",285416,"Pauly & Myra",NA,"Vernon",45.56181,-122.65097,"Entire home/apt",95,30,11,"2012-11-16",0.1,1,365
"11",61893,"Work remote. Ideal location. Next to nature.",300391,"Matt",NA,"Goose Hollow",45.52258,-122.69955,"Entire home/apt",180,30,9,"2020-03-31",0.2,1,261
"12",64557,"Sunny SW Artist Studio w/ Hot Tub",79786,"Ken",NA,"Hayhurst",45.48294,-122.71922,"Entire home/apt",90,31,49,"2019-11-06",0.42,3,64
"13",65466,"Mt. Tabor Bungalow",170035,"Scott",NA,"Mt. Tabor",45.50661,-122.60892,"Private room",60,2,158,"2020-03-08",1.88,1,363
"14",66944,"Hip, Lively Neighborhood, Spacious Apt.",329173,"Kevin",NA,"Boise",45.55078,-122.67492,"Entire home/apt",175,2,259,"2020-04-21",2.28,1,358
"15",67036,"Historic Home Located in Central City",329777,"Will",NA,"Sullivan's Gulch",45.53195,-122.64483,"Entire home/apt",425,4,31,"2020-02-27",0.27,1,188
"16",77522,"Charming Eastmoreland Suite, Pets Okay,  Hot Tub",345461,"Diane",NA,"Eastmoreland",45.47086,-122.63273,"Private room",55,2,84,"2020-03-16",0.82,1,188
"17",78509,"Powell Butte-City Views- Maple Room",421792,"Jesse",NA,"Powellhurst-Gilbert",45.48608,-122.52273,"Private room",60,30,55,"2020-05-03",0.49,5,220
"18",80357,"Private, Alley House,  Close-in",415758,"Esther",NA,"Sullivan's Gulch",45.53223,-122.63978,"Entire home/apt",85,30,2,"2020-01-01",0.02,2,279
"19",93613,"Sunny Queen Room FUN Alberta Arts",501715,"Teresa",NA,"Sabin",45.55536,-122.65106,"Private room",43,30,63,"2020-01-18",0.59,5,341
"20",94500,"Room in Vintage Alberta Bungalow",499386,"James",NA,"Beaumont-Wilshire",45.55748,-122.63038,"Private room",59,2,169,"2019-10-14",1.52,1,71
"21",95313,"Warm + Cozy Apt nr Dining/Alberta/Bus",507756,"Andrée",NA,"Woodlawn",45.5737,-122.65064,"Entire home/apt",69,1,489,"2020-06-08",4.39,3,50
"22",95557,"Egregiously SE Portland #2 Clinton",51949,"Amy",NA,"Hosford-Abernethy",45.50456,-122.64693,"Entire home/apt",165,2,203,"2020-02-22",1.83,1,302
"23",99355,"Beautiful Apt near City Center!",523311,"Mark",NA,"Irvington",45.53895,-122.65156,"Entire home/apt",155,1,168,"2020-06-29",1.64,2,315
"24",114086,"Bright Friendly Home- Alberta Arts",501715,"Teresa",NA,"Sabin",45.55593,-122.65029,"Private room",23,30,65,"2019-09-01",0.59,5,153
"25",115681,"Piedmont Cottage on Peninsula Park",585047,"Heather & Topher",NA,"Piedmont",45.56741,-122.67257,"Entire home/apt",83,30,263,"2020-04-30",2.38,3,292
"26",131088,"Second floor garden apartment ",2513602,"Jeannette",NA,"Cully",45.56028,-122.6171,"Entire home/apt",81,2,66,"2020-06-29",0.79,2,334
"27",140614,"Bright apartment near downtown & airport",491587,"Jeanne",NA,"Concordia",45.56577,-122.64088,"Entire home/apt",89,2,62,"2020-07-05",0.57,2,360
"28",143483,"Garden Hideaway near City Center!",523311,"Mark",NA,"Irvington",45.54029,-122.65006,"Entire home/apt",78,1,110,"2020-07-04",1.04,2,263
"29",145199,"Upstairs, studio with bath, fridge",683139,"Amy",NA,"Montavilla",45.53008,-122.59075,"Private room",65,3,74,"2019-10-22",0.67,1,365
"30",182450,"Luminous, Cosy Home near lively SE Division Street",52505,"Judy",NA,"Richmond",45.50522,-122.63277,"Entire home/apt",77,3,23,"2020-03-20",0.25,2,51
"31",182465,"Great Breakfast next to lively Division St",52505,"Judy",NA,"Richmond",45.50754,-122.63268,"Private room",59,2,320,"2020-02-23",2.95,2,124
"32",195632,"Foodie's Paradise & Everyone's Playground!",659137,"Anjali",NA,"Boise",45.5528,-122.67729,"Entire home/apt",128,3,79,"2020-03-21",0.73,1,35
"33",199683,"Authentic Portland Flavor, Central!",975606,"Leo",NA,"Rose City Park",45.54419,-122.60362,"Private room",49,30,43,"2019-09-07",0.44,3,365
"34",205616,"Entire Home + Cottage • A Painted Lady Inn • 6 Bed",1011157,"Jody",NA,"Irvington",45.53689,-122.64977,"Entire home/apt",599,1,81,"2020-01-03",1.26,7,258
"35",217607,"One Bedroom Artists Loft - Close to EvErYtHiNg",971012,"Echo",NA,"Old Town/Chinatown",45.52653,-122.67513,"Entire home/apt",150,8,48,"2019-08-27",0.45,2,339
"36",218708,"Amazing Location in NE, Opal 28 - King Suite #3",6313800,"Margot",NA,"Kerns",45.52184,-122.63538,"Entire home/apt",155,2,501,"2020-05-31",4.68,8,125
"37",222298,"Blues,brews,and bicycle guesthouse",1153902,"Taizz",NA,"Overlook",45.55821,-122.69223,"Private room",65,2,95,"2019-10-07",0.89,3,176
"38",231732,"large, sunny room in farmhouse",1153902,"Taizz",NA,"Overlook",45.55816,-122.69143,"Private room",65,30,45,"2020-01-29",0.46,3,0
"39",231734,"Private, sunny room in farmhouse",1153902,"Taizz",NA,"Overlook",45.55771,-122.68994,"Private room",65,2,30,"2020-02-21",0.29,3,352
"40",236108,"Large COMFY Room in Alberta Arts",501715,"Teresa",NA,"Sabin",45.55645,-122.64854,"Private room",28,30,58,"2019-10-01",0.58,5,303
"41",249526,"Rosebud Room",1307164,"Hilary",NA,"Hosford-Abernethy",45.50903,-122.64401,"Private room",48,2,409,"2020-03-15",3.95,2,0
"42",259912,"Private ENTRY-BATH-TWO BEDS/deck, river views-WOW!",1362006,"Gracie And David",NA,"Cathedral Park",45.59228,-122.76218,"Private room",45,2,97,"2020-07-05",1.29,1,63
"43",267409,"Pretty SW  Garden Apt. w Hot Tub",79786,"Ken",NA,"Hayhurst",45.48256,-122.71935,"Entire home/apt",100,31,8,"2016-02-01",0.08,3,309
"44",269339,"Sweet Apartment in Alberta St. Area",960864,"Naomi",NA,"King",45.55035,-122.65664,"Entire home/apt",90,2,369,"2020-03-20",3.54,1,179
"45",272827,"Moroccan-Inspired SW Portland Home",1427852,"Rachel",NA,"Ashcreek",45.45264,-122.73628,"Private room",75,30,59,"2019-08-25",1.2,1,365
"46",293584,"Venue/Event Space : UNION/PINE",1511460,"Summer + Patrick",NA,"Buckman",45.52046,-122.66132,"Entire home/apt",1950,1,12,"2012-10-24",0.12,1,359
"47",295694,"Rustic Tiny Home w Sleeping Loft in hip Woodlawn",507756,"Andrée",NA,"Woodlawn",45.57237,-122.65012,"Entire home/apt",70,1,473,"2020-05-09",4.99,3,86
"48",296946,"Opal 28 an Intimate Event Space in NE PDX",6313800,"Margot",NA,"Kerns",45.52795,-122.63692,"Entire home/apt",675,1,1,"2014-01-29",0.01,8,365
"49",306961,"Northwest Portland Urban Retreat",918850,"Nancy",NA,"Northwest District",45.53232,-122.70799,"Private room",95,7,8,"2016-09-26",0.08,2,365
"50",317797,"Condo in the Courtyard",828435,"Furnished In Portland",NA,"Mt. Tabor",45.51203,-122.61079,"Entire home/apt",70,30,31,"2019-10-07",0.31,8,156
"51",332420,"Classic SE Portland: Walkable to Everything!",1206902,"LeBrie",NA,"Sunnyside",45.5176,-122.63055,"Entire home/apt",175,30,31,"2019-10-30",0.34,1,0
"52",332585,"Mt. Tabor private apt in ideal SE location",1488233,"Dina",NA,"Mt. Tabor",45.51458,-122.60959,"Entire home/apt",65,2,333,"2020-04-28",3.27,2,251
"53",345650,"GUEST SUITE SURROUNDED BY NATURE",38860,"Renata",NA,"Hayhurst",45.4802,-122.71844,"Entire home/apt",80,2,98,"2019-08-23",1.01,1,258
"54",357732,"Cheerful, musical, eclectic home",1810476,"Susan",NA,"Multnomah",45.46604,-122.71599,"Private room",40,30,27,"2020-03-25",0.27,2,306
"55",362775,"Japanese cabin + in fine-dining village",1213257,"Dayna",NA,"Concordia",45.56274,-122.63444,"Entire home/apt",105,2,199,"2020-07-02",1.98,2,339
"56",379104,"Private top floor near downtown and airport",491587,"Jeanne",NA,"Concordia",45.56549,-122.63925,"Private room",69,1,26,"2020-03-08",0.26,2,365
"57",383701,"Sellwood Music Suite",1405118,"Dave & Silke",NA,"Sellwood-Moreland Improvement League",45.46846,-122.65395,"Entire home/apt",80,2,265,"2020-07-05",2.64,1,352
"58",386687,"The Heart of Multnomah Village",532509,"Maria & Kenyon",NA,"Multnomah",45.4692,-122.71497,"Entire home/apt",120,2,218,"2020-07-05",2.2,1,349
"59",399890,"S.W. Portland Farmhouse Cottage",1996078,"Sally K",NA,"Marshall Park",45.45704,-122.69185,"Entire home/apt",165,3,81,"2020-06-01",0.93,3,187
"60",402130,"Newly Renovated & Cozy, Opal 28 Queen Suite #1",6313800,"Margot",NA,"Kerns",45.52968,-122.63429,"Entire home/apt",155,2,145,"2020-05-20",1.46,8,153
"61",402191,"Vintage Meets Modern, Opal 28 King Suite #4",6313800,"Margot",NA,"Kerns",45.52502,-122.63497,"Entire home/apt",115,2,202,"2020-06-18",2.03,8,143
"62",408577,"Eclectic cottage & bath house/SE Portland",2034859,"Ruby",NA,"Richmond",45.50775,-122.61763,"Entire home/apt",75,2,53,"2019-10-01",0.53,2,78
"63",448195,"Quality Comfort Beautiful 1915 Craftsman",2226037,"Bruce",NA,"Rose City Park",45.54767,-122.61339,"Entire home/apt",240,3,191,"2020-07-05",1.92,2,321
"64",449461,"Portland Soul, Central! Porch Time!",975606,"Leo",NA,"Rose City Park",45.54386,-122.60396,"Private room",37,30,35,"2018-06-01",0.36,3,365
"65",450488,"Alberta Arts Room Overlooking Verdant Backyard",2236909,"Shane",NA,"King",45.56024,-122.65851,"Private room",35,30,99,"2020-06-01",1,6,332
"66",450660,"Perfectly Cozy Alberta Arts Room",2236909,"Shane",NA,"King",45.56174,-122.65817,"Private room",38,30,90,"2020-01-04",0.94,6,341
"67",457627,"concordia/alberta sunshine cabin",2274595,"Rachel And Joe",NA,"Concordia",45.56244,-122.63756,"Entire home/apt",105,2,297,"2020-03-15",3.04,1,98
"68",483487,"Sellwood-Near Parks and the River",434208,"Jim",NA,"Sellwood-Moreland Improvement League",45.46721,-122.65626,"Private room",42,30,270,"2020-03-20",2.73,1,305
"69",483614,"Cozy House w/ Wood Burning Stove - NE Portland",1387456,"Dana",NA,"Cully",45.5589,-122.61832,"Entire home/apt",125,2,196,"2020-02-18",2,1,177
"70",496270,"Great Location! Great for Kids!",2451547,"Dave, And Caleb",NA,"Concordia",45.56497,-122.63118,"Private room",89,1,51,"2019-08-03",0.53,1,365
"71",522334,"A sunny separate studio w/skylights",19234,"Scott",NA,"Sellwood-Moreland Improvement League",45.474,-122.64379,"Entire home/apt",85,3,375,"2020-06-08",3.86,1,331
"72",525395,"Fantastic Bungalow with Hot Tub close to Downtown",2555917,"Thomas",NA,"South Portland",45.47161,-122.67427,"Entire home/apt",299,2,14,"2020-07-05",0.16,1,0
"73",531553,"Farm in the City, Mississippi dist.",1601890,"Janie And Ginnie",NA,"Boise",45.55327,-122.66941,"Entire home/apt",88,30,290,"2020-05-03",2.99,1,40
"74",539224,"Skylight Delight",828435,"Furnished In Portland",NA,"Mt. Tabor",45.51215,-122.61085,"Private room",40,30,20,"2020-02-12",0.38,8,0
"75",543988,"Quaint English Cottage Garden Private Apt.",40759,"Sue And Bob",NA,"Laurelhurst",45.52417,-122.61865,"Entire home/apt",95,2,235,"2020-03-11",2.41,1,298
"76",546107,"Hip, Tiny House in North Portland",307635,"Andrew",NA,"Humboldt",45.55837,-122.67024,"Entire home/apt",68,31,340,"2018-04-02",3.48,2,0
"77",546694,"Private suite - historic NE cottage",2688278,"Rachel",NA,"Concordia",45.56857,-122.6295,"Private room",39,2,197,"2019-10-01",4.78,1,306
