"Airline","FlightLength","PlaneSpeed","FlightTimeperPlane","PopulationServed","TotalOperatingCosts","LoadFactor","Capacity","Assets","AdjustedAssets","Type"
"All American",1.75587485567249,2.12385164096709,0.785329835010767,4.30535136944662,116.3,0.4,0.380211241711606,1.32489949705231,1.25333800532611,"Comp"
"American",2.43136376415899,2.33445375115093,0.840733234611807,4.75532592640383,43,0.689,0.761627184561583,3.15731470007973,3.10425146312176,"Comp"
"Bonanza",2,2.14612803567824,0.648360010980932,2.26245108973043,141.5,0.358,0.343802333161655,0.822821645303105,0.822168079368018,"SH"
"Braniff",2.24551266781415,2.26007138798507,0.819543935541869,4.07441412984114,50.6,0.557,0.664077590185075,2.20493352235414,2.18890037317591,"Comp"
"C&S",2.24303804868629,2.24303804868629,0.934498451243568,4.25527250510331,59.2,0.558,0.58983794314746,2.05751396010659,2.04551856288449,"Comp"
"Capital",2.15228834438306,2.22271647114758,0.873320601815399,4.61381012039192,51,0.51,0.720572720364261,2.2900791521022,2.27636988026944,"Comp"
"Central",1.70757017609794,2.12710479836481,0.669316880566112,3.24477176149529,318.5,0.167,0.321391278311689,1.14674801363064,1.14643813528577,"SH"
"Colonial",2.04921802267018,2.17609125905568,0.83695673705955,4.13033376849501,77,0.505,0.522052800868822,1.54826654517075,1.53844805171022,"Comp"
"Continental",2.11727129565576,2.25285303097989,0.812913356642856,3.58331215198308,62.3,0.537,0.500510910526337,1.69670578093392,1.66511173707505,"Comp"
"Delta",2.2405492482826,2.28103336724773,0.880813592280791,4.11790073206452,45.3,0.598,0.661055084853379,2.2413472172382,2.23159700556491,"Comp"
"Eastern",2.26007138798507,2.2718416065365,0.977723605288848,4.64345267648619,42.6,0.528,0.764475027434409,3.01810938952161,2.93183402848563,"Comp"
"Empire",1.77085201164214,2.15533603746506,0.683947130751512,2.65417654187796,112.4,0.313,0.343211590179747,0.673020907128896,0.671172842715083,"SH"
"Frontier",1.90848501887865,2.14921911265538,0.873320601815399,3.39794000867204,125.2,0.398,0.257438566859814,1.24699069924155,1.24402958903002,"Comp"
"Inland",2.16731733474818,2.19865708695442,0.972202838379065,3,64.7,0.575,0.42781057267599,1.22036963245139,1.21958452621425,"Comp"
"Lake Central",1.86332286012046,2.15228834438306,0.585460729508501,3.73279569828933,169.3,0.212,0.354876422516234,0.800717078282385,0.800029359244134,"SH"
"Mid-Continent",2.15836249209525,2.22271647114758,0.792391689498254,3.82769228867445,64.8,0.565,0.432648660013107,1.88149877961498,1.86734961718879,"Comp"
"Mohawk",1.89762709129044,2.13672056715641,0.769377326076139,3.96614173273903,100.5,0.476,0.331022171041829,1.16256440652302,1.15986784709257,"SH"
"National",2.29885307640971,2.31597034545692,0.91803033678488,4.36979082403078,42.9,0.567,0.740599512811157,2.25832593474897,2.21782598089985,"Comp"
"Northeast",1.9731278535997,2.17609125905568,0.830588668685144,4.20411998265593,81.1,0.597,0.298416380061294,1.69355108559591,1.67458560230291,"Comp"
"Northwest",2.43296929087441,2.30535136944662,0.837588438235511,4.43136376415899,56.7,0.57,0.877601679729272,2.67348169707335,2.66606847785969,"Comp"
"Piedmont",1.95424250943933,2.1846914308176,0.910090545594068,3.52659770910345,75.4,0.449,0.381115080709851,1.33445375115093,1.26717172840301,"Comp"
"Pioneer",1.94939000664491,2.17609125905568,0.848189116991399,3.31175386105575,71.3,0.483,0.380573003066887,1.28126068705501,1.28103336724773,"Comp"
"Southern",1.82607480270083,2.16731733474818,0.788875115775417,3.36865871239223,150.1,0.317,0.277150613963797,1.0948203803548,1.09447112864164,"Comp"
"Southwest",1.73239375982297,2.10380372095596,0.76715586608218,3.71121652432109,78.9,0.491,0.3807537708039,1.20574554094266,1.20357677497797,"SH"
"Trans-Texas",1.89209460269048,2.16731733474818,0.783903579272735,3.41497334797082,130.3,0.372,0.242292904982931,1.04532297878666,1.02857125269254,"Comp"
"TWA",2.46686762035411,2.28555730900777,0.806179973983887,4.71180722904119,46.2,0.67,0.732634967539196,3.08564015696603,3.04056674074671,"Comp"
"United",2.43136376415899,2.31597034545692,0.821513528404773,4.68942430039008,42.3,0.63,0.774662922537822,3.05202024397861,3.02005866295228,"Comp"
"West Coast",1.76342799356294,2.13033376849501,0.653212513775344,3.26717172840301,103.3,0.421,0.289588952542597,1.04060234011407,1.04020662757471,"SH"
"Western",2.23552844690755,2.25767857486918,0.824125833916549,3.79588001734408,44.2,0.656,0.611192060868434,2.13795512353236,2.08051826052712,"Comp"
"Wiggins",1.65321251377534,2.06445798922692,0.371067862271736,3.39794000867204,820.9,0.166,-0.374687549038326,0.307496037913213,0.14921911265538,"SH"
"Wisconsin",1.83884909073726,2.15228834438306,0.757396028793024,3.81291335664286,130.9,0.43,0.275080898456858,1.03342375548695,1.03302144468291,"SH"
