"Ticker","Company","CEO.Name","Year","Compensation....","RawComp"
"GOOG","GOOGLE INC","Eric E. Schmidt",2011,100980262,100980262
"ORCL","ORACLE CORP","Lawrence J. Ellison",2012,96160696,96160696
"CBS","CBS CORP","Leslie Moonves",2011,69900677,69900677
"GBL","GAMCO INVESTORS INC","Mario J. Gabelli",2011,61693390,61693390
"KOS","KOSMOS ENERGY LTD","Brian F. Maxted",2011,57553715,57553715
"CACC","CREDIT ACCEPTANCE CORP","Brett A. Roberts",2012,54282500,54282500
"DISCA","DISCOVERY COMMUNICATIONS, INC.","David M. Zaslav",2012,49932867,49932867
"ANF","ABERCROMBIE & FITCH","Michael S. Jeffries",2011,48069473,48069473
"HCA","HCA HOLDINGS INC","Richard M. Bracken",2012,46359246,46359246
"DIS","DISNEY (WALT) CO","Robert A. Iger",2012,40227848,40227848
"MCK","MCKESSON CORP","John H. Hammergren",2012,39680322,39680322
"ICON","ICONIX BRAND GROUP INC","Neil Cole",2011,37424782,37424782
"NUAN","NUANCE COMMUNICATIONS INC","Paul A. Ricci",2012,37077679,37077679
"RL","RALPH LAUREN CORP","Ralph Lauren",2012,36325782,36325782
"NKE","NIKE INC","Mark G. Parker",2012,35212678,35212678
"NLY","ANNALY CAPITAL MANAGEMENT","Michael A.J. Farrell",2011,35000156,35000156
"XOM","EXXON MOBIL CORP","R. W. Tillerson",2011,34920506,34920506
"PLL","PALL CORP","Lawrence Kingsley",2012,33862509,33862509
"VIAB","VIACOM INC","Philippe P. Dauman",2012,33450824,33450824
"HON","HONEYWELL INTERNATIONAL INC","David M. Cote",2012,33247178,33247178
"WRB","BERKLEY (W R) CORP","William R. Berkley",2012,31296780,31296780
"PRU","PRUDENTIAL FINANCIAL INC","John R. Strangfeld Jr.",2012,30693655,30693655
"FCX","FREEPORT-MCMORAN COP&GOLD","Richard C. Adkerson",2011,30623866,30623866
"TYC","TYCO INTERNATIONAL LTD","Edward D. Breen",2012,30552734,30552734
"KO","COCA-COLA CO","Muhtar Kent",2012,30460186,30460186
"PM","PHILIP MORRIS INTERNATIONAL","Louis C. Camilleri",2012,30304091,30304091
"NWSA","NEWS CORP","K. Rupert Murdoch",2012,30022292,30022292
"JNJ","JOHNSON & JOHNSON","William C. Weldon",2012,29838259,29838259
"EBAY","EBAY INC","John J. Donahoe",2012,29705081,29705081
"CMCSA","COMCAST CORP","Brian L. Roberts",2012,29124014,29124014
"SBUX","STARBUCKS CORP","Howard Schultz",2012,28909773,28909773
"MDLZ","MONDELEZ INTERNATIONAL INC","Irene Rosenfeld",2012,28811314,28811314
"DUK","DUKE ENERGY CORP","William D. Johnson",2012,28655920,28655920
"OXY","OCCIDENTAL PETROLEUM CORP","Stephen I. Chazen",2012,28519053,28519053
"AXP","AMERICAN EXPRESS CO","K. I. Chenault",2012,28491734,28491734
"PHMD","PHOTOMEDEX INC","Dolev Rafaeli",2011,28284287,28284287
"LUK","Leucadia National Corp","Joseph S. Steinberg",2011,28145138,28145138
"UTX","UNITED TECHNOLOGIES CORP","Louis Ch?nevert",2012,27562325,27562325
"LMT","LOCKHEED MARTIN CORP","Robert J. Stevens",2012,27549444,27549444
"BA","BOEING CO","W. James McNerney Jr.",2012,27484138,27484138
"TRW","TRW AUTOMOTIVE HOLDINGS CORP","John C. Plant",2012,26203477,26203477
"TWX","TIME WARNER INC","Jeffrey L. Bewkes",2011,25938721,25938721
"SFI","ISTAR FINANCIAL INC","Jay Sugarman",2011,25910306,25910306
"GE","GENERAL ELECTRIC CO","Jeffrey R. Immelt",2012,25806352,25806352
"PFE","PFIZER INC","Ian C. Read",2012,25634136,25634136
"SPPI","SPECTRUM PHARMACEUTICALS INC","Rajesh Shrotriya M.D.",2011,25215760,25215760
"ABT","ABBOTT LABORATORIES","Miles D. White",2012,25118836,25118836
"MDT","MEDTRONIC INC","Omar Ishrak",2012,25025639,25025639
"CVX","CHEVRON CORP","J. S. Watson",2011,24726716,24726716
"BLMN","BLOOMIN' BRANDS INC","Elizabeth A. Smith",2012,24450233,24450233
"NOC","NORTHROP GRUMMAN CORP","Wesley G. Bush",2012,24411853,24411853
"MDCA","MDC PARTNERS INC","Miles S. Nadal",2011,23797424,23797424
"LYB","LYONDELLBASELL INDUSTRIES NV","James L. Gallogly",2011,23485762,23485762
"EXC","EXELON CORP","John W. Rowe",2012,23483442,23483442
"FE","FIRSTENERGY CORP","Anthony J. Alexander",2012,23310829,23310829
"JPM","JPMORGAN CHASE & CO","James Dimon",2011,23105415,23105415
"DOW","DOW CHEMICAL CO","Andrew N. Liveris",2012,22989668,22989668
"WFC","WELLS FARGO & CO","John G. Stumpf",2012,22873085,22873085
"POST","POST HOLDINGS INC","William P. Stiritz",2012,22744428,22744428
"AXS","AXIS CAPITAL HOLDINGS LTD","Albert A. Benchimol",2012,22674021,22674021
"COF","CAPITAL ONE FINANCIAL CORP","Richard D. Fairbank",2012,22605374,22605374
"T","AT&T INC","R. Stephenson",2012,22234703,22234703
"DHR","DANAHER CORP","H. Lawrence Culp Jr.",2012,21898728,21898728
"BLK","BLACKROCK INC","Laurence D. Fink",2011,21877856,21877856
"JCI","JOHNSON CONTROLS INC","Stephen A. Roell",2012,21382876,21382876
"MYL","MYLAN INC","Robert J. Coury",2011,21337771,21337771
"AGN","ALLERGAN INC","David E.I. Pyott",2012,21164198,21164198
"CBE","COOPER INDUSTRIES PLC","Kirk S. Hachigian",2011,21128672,21128672
"F","FORD MOTOR CO","Alan Mulally",2012,20955806,20955806
"CSC","COMPUTER SCIENCES CORP","Michael W. Laphen",2012,20859081,20859081
"SD","SANDRIDGE ENERGY INC","Tom L. Ward",2012,20764622,20764622
"FSL","FREESCALE SEMICONDUCTOR LTD","Gregg Lowe",2012,20745087,20745087
"QCOM","QUALCOMM INC","Paul E. Jacobs",2012,20730873,20730873
"WLP","WELLPOINT INC","Angela F. Braly",2012,20590781,20590781
"MPC","MARATHON PETROLEUM CORP","Gary R. Heminger",2012,20398168,20398168
"CVS","CVS CAREMARK CORP","Larry J. Merlo",2012,20330097,20330097
"SGMS","SCIENTIFIC GAMES CORP","A. Lorne Weil",2011,19954764,19954764
"CMLS","CUMULUS MEDIA INC","Lewis W. Dickey Jr.",2011,19889797,19889797
"CMG","CHIPOTLE MEXICAN GRILL INC","Steve Ells",2012,19741296,19741296
"TGT","TARGET CORP","Gregg W. Steinhafel",2011,19707107,19707107
"APC","ANADARKO PETROLEUM CORP","R A. Walker",2012,19664885,19664885
"MRX","MEDICIS PHARMACEUT CP","Jonah Shacknai",2011,19636817,19636817
"COP","CONOCOPHILLIPS","R. M. Lance",2012,19287218,19287218
"LTD","L BRANDS, INC.","Leslie H. Wexner",2011,19230484,19230484
"UNP","UNION PACIFIC CORP","James R. Young",2012,19114972,19114972
"VPRT","VISTAPRINT N.V.","Robert S. Keane",2012,19043339,19043339
"DE","DEERE & CO","Samuel R. Allen",2012,19031943,19031943
"INTC","INTEL CORP","Paul S. Otellini",2012,18991300,18991300
"AMGN","AMGEN INC","Kevin W. Sharer",2011,18850311,18850311
"PNR","PENTAIR LTD","Randall J. Hogan",2012,18772054,18772054
"ITW","ILLINOIS TOOL WORKS","David B. Speer",2012,18678429,18678429
"TEX","TEREX CORP","Ronald M. DeFeo",2012,18386865,18386865
"USB","U S BANCORP","Richard K. Davis",2012,18213839,18213839
"MUR","MURPHY OIL CORP","David M. Wood",2012,18211157,18211157
"WMT","WAL-MART STORES INC","Michael T. Duke",2012,18131738,18131738
"AFSI","AMTRUST FINANCIAL SERVICES","Barry D. Zyskind",2012,18120917,18120917
"DTV","DIRECTV","Michael D. White",2012,18043266,18043266
"DVN","DEVON ENERGY CORP","John Richels",2011,18011130,18011130
"GD","GENERAL DYNAMICS CORP","Jay L. Johnson",2012,18010762,18010762
"PPG","PPG INDUSTRIES INC","C. E. Bunch",2012,17891543,17891543
NA,NA,NA,NA,NA,NA
