"IDORIGIN","YEAR","AI","SD","POLRT","MIL2","LEFT","BRIT","PCGNP","AINEW","SDNEW","IDGURR","AILAG","SDLAG","PERCHPCG","PERCHPOP","LPOP","PCGTHOU","DEMOC3","CWARCOW","IWARCOW2"
2,1976,1,NA,7,0,0,1,8190,1,1,2,NA,NA,NA,NA,19.2,8.19,10,0,0
2,1977,1,1,7,0,0,1,9070,1,1,2,1,1,10.74,1.01,19.21,9.07,10,0,0
2,1978,1,NA,7,0,0,1,10140,1,1,2,1,1,11.8,1.07,19.22,10.14,10,0,0
2,1979,1,NA,7,0,0,1,11200,1,1,2,1,1,10.45,1.11,19.23,11.2,10,0,0
2,1980,1,NA,7,0,0,1,12040,1,1,2,1,1,7.5,1.2,19.24,12.04,10,0,0
2,1981,1,NA,7,0,0,1,13370,1,1,2,1,1,11.05,1.05,19.25,13.37,10,0,0
2,1982,1,NA,7,0,0,1,13710,1,1,2,1,1,2.54,1.04,19.26,13.71,10,0,0
2,1983,1,NA,7,0,0,1,14600,1,1,2,1,1,6.49,0.98,19.27,14.6,10,0,0
2,1984,1,NA,7,0,0,1,16050,1,1,2,1,1,9.93,0.94,19.28,16.05,10,0,0
2,1985,1,NA,7,0,0,1,16910,1,1,2,1,1,5.36,0.96,19.29,16.91,10,0,0
2,1986,1,NA,7,0,0,1,17610,1,1,2,1,1,4.14,0.98,19.3,17.61,10,0,0
2,1987,2,NA,7,0,0,1,18500,2,2,2,1,1,5.05,0.96,19.31,18.5,10,0,0
2,1988,1,NA,7,0,0,1,19770,1,1,2,2,2,6.86,0.97,19.32,19.77,10,0,0
2,1989,1,NA,7,0,0,1,21080,1,1,2,1,1,6.63,0.78,19.33,21.08,10,0,0
2,1990,1,NA,7,0,0,1,21970,1,1,2,1,1,4.22,0.86,19.34,21.97,10,0,1
2,1991,2,NA,7,0,0,1,22340,2,2,2,1,1,1.68,0.93,19.35,22.34,10,0,1
2,1992,2,NA,7,0,0,1,23240,2,2,2,2,2,4.03,1.08,19.36,23.24,10,0,1
2,1993,1,NA,7,0,0,1,24750,1,1,2,2,2,6.5,0.62,19.36,24.75,10,0,1
20,1976,1,1,7,0,0,1,8300,1,1,20,NA,NA,NA,NA,16.95,8.3,10,0,0
20,1977,NA,1,7,0,0,1,8850,1,1,20,1,1,6.63,1.22,16.96,8.85,10,0,0
20,1978,NA,1,7,0,0,1,9460,1,1,20,1,1,6.89,1.05,16.97,9.46,10,0,0
20,1979,NA,1,7,0,0,1,9950,1,1,20,1,1,5.18,0.98,16.98,9.95,10,0,0
20,1980,NA,1,7,0,0,1,10610,1,1,20,1,1,6.63,1.25,17,10.61,10,0,0
20,1981,NA,1,7,0,0,1,11810,1,1,20,1,1,11.31,1.24,17.01,11.81,10,0,0
20,1982,NA,1,7,0,0,1,11950,1,1,20,1,1,1.19,0.99,17.02,11.95,10,0,0
20,1983,1,1,7,0,0,1,12740,1,1,20,1,1,6.61,0.83,17.03,12.74,10,0,0
20,1984,1,1,7,0,0,1,13740,1,1,20,1,1,7.85,0.77,17.03,13.74,10,0,0
20,1985,NA,1,7,0,0,1,14230,1,1,20,1,1,3.57,0.75,17.04,14.23,10,0,0
20,1986,1,1,7,0,0,1,14250,1,1,20,1,1,0.14,0.75,17.05,14.25,10,0,0
20,1987,1,1,7,0,0,1,15080,1,1,20,1,1,5.82,1.07,17.06,15.08,10,0,0
20,1988,NA,1,7,0,0,1,16870,1,1,20,1,1,11.87,1.27,17.07,16.87,10,0,0
20,1989,NA,1,7,0,0,1,18970,1,1,20,1,1,12.45,1.04,17.08,18.97,10,0,0
20,1990,1,1,7,0,0,1,20360,1,1,20,1,1,7.33,1.16,17.09,20.36,10,0,1
20,1991,1,1,7,0,0,1,20830,1,1,20,1,1,2.31,1.93,17.11,20.83,10,0,1
20,1992,1,1,7,0,0,1,20710,1,1,20,1,1,-0.58,1.52,17.13,20.71,10,0,0
20,1993,1,1,7,0,0,1,20670,1,1,20,1,1,-0.19,2.39,17.15,20.67,10,0,0
31,1976,NA,1,7,0,0,1,2990,1,1,31,NA,NA,NA,NA,12.17,2.99,NA,0,0
31,1977,NA,1,7,0,0,1,3330,1,1,31,1,1,11.37,2.07,12.19,3.33,NA,0,0
31,1978,NA,1,7,0,0,1,3680,1,1,31,1,1,10.51,2.03,12.21,3.68,NA,0,0
31,1979,NA,1,7,0,0,1,5100,1,1,31,1,1,38.59,2.49,12.24,5.1,NA,0,0
31,1980,NA,1,7,0,0,1,5840,1,1,31,1,1,14.51,1.94,12.25,5.84,NA,0,0
31,1981,NA,1,7,0,0,1,5660,1,1,31,1,1,-3.08,1.9,12.27,5.66,NA,0,0
31,1982,NA,1,6,0,0,1,6590,1,1,31,1,1,16.43,2.34,12.3,6.59,NA,0,0
31,1983,NA,1,6,0,0,1,7120,1,1,31,1,1,8.04,2.28,12.32,7.12,NA,0,0
31,1984,NA,1,6,0,0,1,8240,1,1,31,1,1,15.73,2.23,12.34,8.24,NA,0,0
31,1985,NA,1,6,0,0,1,9010,1,1,31,1,1,9.34,1.31,12.35,9.01,NA,0,0
31,1986,1,2,6,0,0,1,9560,1,2,31,1,1,6.1,1.72,12.37,9.56,NA,0,0
31,1987,NA,1,6,0,0,1,10370,1,1,31,1,2,8.47,1.69,12.39,10.37,NA,0,0
31,1988,NA,1,6,0,0,1,10670,1,1,31,1,1,2.89,2.08,12.41,10.67,NA,0,0
31,1989,1,1,6,0,0,1,11120,1,1,31,1,1,4.22,2.04,12.43,11.12,NA,0,0
31,1990,1,1,6,0,0,1,11570,1,1,31,1,1,4.05,2,12.45,11.57,NA,0,0
31,1991,1,1,6,0,0,1,11790,1,1,31,1,1,1.9,1.57,12.46,11.79,NA,0,0
31,1992,1,1,7,0,0,1,12070,1,1,31,1,1,2.37,1.16,12.48,12.07,NA,0,0
31,1993,1,1,7,0,0,1,11500,1,1,31,1,1,-4.72,3.05,12.51,11.5,NA,0,0
40,1976,3,NA,1,0,1,0,857,3,3,40,NA,NA,NA,NA,16.06,0.86,0,0,1
40,1977,3,4,1,0,1,0,752,3,4,40,3,3,-12.25,1.25,16.07,0.75,0,0,1
40,1978,4,NA,2,0,1,0,1270,4,4,40,3,4,68.88,1.02,16.08,1.27,0,0,1
40,1979,3,3,2,0,1,0,1417,3,3,40,4,4,11.57,0.85,16.09,1.42,0,0,1
40,1980,3,3,2,0,1,0,1864,3,3,40,3,3,31.55,0.04,16.09,1.86,0,0,1
40,1981,3,3,2,0,1,0,1522,3,3,40,3,3,-18.35,0,16.09,1.52,0,0,1
40,1982,3,3,2,0,1,0,1180,3,3,40,3,3,-22.47,0.79,16.1,1.18,0,0,1
40,1983,3,3,2,0,1,0,1852,3,3,40,3,3,56.95,0.98,16.11,1.85,0,0,1
40,1984,3,3,2,0,1,0,1911,3,3,40,3,3,3.19,0.98,16.12,1.91,0,0,1
40,1985,3,3,2,0,1,0,1915,3,3,40,3,3,0.21,1.04,16.13,1.92,0,0,1
40,1986,3,4,2,0,1,0,1999,3,4,40,3,3,4.39,1,16.14,2,0,0,1
40,1987,3,3,2,0,1,0,1787,3,3,40,3,4,-10.61,0.87,16.15,1.79,0,0,1
40,1988,3,3,1,0,1,0,1673,3,3,40,3,3,-6.38,1.19,16.16,1.67,0,0,1
40,1989,3,3,1,0,1,0,1559,3,3,40,3,3,-6.81,1.08,16.17,1.56,0,0,1
40,1990,3,3,1,0,1,0,1444,3,3,40,3,3,-7.38,0.98,16.18,1.44,0,0,1
40,1991,3,3,1,0,1,0,1343,3,3,40,3,3,-6.99,1.04,16.19,1.34,0,0,1
40,1992,3,3,1,0,1,0,1249,3,3,40,3,3,-7,0.8,16.2,1.25,0,0,0
40,1993,3,3,1,0,1,0,1162,3,3,40,3,3,-6.97,1.64,16.21,1.16,0,0,0
