ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/10/2022 11:32:19 AM,1,16,0.00142310771146491,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/10/2022 11:32:19 AM,1,3005,0.267277417059504,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/10/2022 11:32:19 AM,1,73,0.00649292893355866,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/10/2022 11:32:19 AM,1,108,0.00960597705238815,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/10/2022 11:32:19 AM,1,8041,0.715200569243085,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/10/2022 11:32:19 AM,1,12,0.00107816711590297,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/10/2022 11:32:19 AM,1,2286,0.205390835579515,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/10/2022 11:32:19 AM,1,8832,0.793530997304582,0/370,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/10/2022 11:32:19 AM,1,11,0.000968054211035818,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/10/2022 11:32:19 AM,1,55,0.00484027105517909,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/10/2022 11:32:19 AM,1,1764,0.155240693478835,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/10/2022 11:32:19 AM,1,36,0.0031681774179354,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/10/2022 11:32:19 AM,1,1082,0.0952213323946141,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/10/2022 11:32:19 AM,1,8415,0.740561471442401,0/1279,
100051827,"State Representative, 59th District","","","","HD 59",8,,9901,"Write-in",11/10/2022 11:32:19 AM,1,17,0.00152329749103943,0/38,
100051827,"State Representative, 59th District","Democrat, Independent","","","HD 59",8,,100084336,"Lawrence Jones",11/10/2022 11:32:19 AM,1,2181,0.195430107526882,0/38,
100051827,"State Representative, 59th District","Republican","","","HD 59",8,,100084337,"Vikki Breese-Iverson",11/10/2022 11:32:19 AM,1,8962,0.803046594982079,0/38,
100052123,"Crook County, Clerk","","","","Crook County",9,,9901,"Write-in",11/10/2022 11:32:19 AM,1,82,0.0106562703053931,0/17,
100052123,"Crook County, Clerk","","","","Crook County",9,,100044977,"Cheryl Seely",11/10/2022 11:32:19 AM,1,7613,0.989343729694607,0/17,
100051848,"Judge of the Circuit Court, 22nd District, Position 2","","","","Circuit Court District 22",10,,9901,"Write-in",11/10/2022 11:32:19 AM,1,136,0.0195627157652474,0/34,
