ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/10/2022 11:32:24 AM,1,0,0,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/10/2022 11:32:24 AM,1,328,0.344900105152471,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/10/2022 11:32:24 AM,1,5,0.00525762355415352,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/10/2022 11:32:24 AM,1,10,0.010515247108307,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/10/2022 11:32:24 AM,1,608,0.639327024185068,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/10/2022 11:32:24 AM,1,1,0.00108108108108108,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/10/2022 11:32:24 AM,1,195,0.210810810810811,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/10/2022 11:32:24 AM,1,729,0.788108108108108,0/370,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/10/2022 11:32:24 AM,1,1,0.00103199174406605,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/10/2022 11:32:24 AM,1,6,0.00619195046439629,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/10/2022 11:32:24 AM,1,140,0.144478844169247,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/10/2022 11:32:24 AM,1,4,0.00412796697626419,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/10/2022 11:32:24 AM,1,201,0.207430340557276,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/10/2022 11:32:24 AM,1,617,0.636738906088751,0/1279,
100052129,"Gilliam County, Clerk","","","","GILLIAM",8,,9901,"Write-in",11/10/2022 11:32:24 AM,1,1,0.00120336943441637,0/3,
100052129,"Gilliam County, Clerk","","","","GILLIAM",8,,100086594,"Ellen Wagenaar",11/10/2022 11:32:24 AM,1,830,0.998796630565584,0/3,
100052130,"Gilliam County, Sheriff","","","","GILLIAM",9,,9901,"Write-in",11/10/2022 11:32:24 AM,1,20,0.0241837968561064,0/3,
100052130,"Gilliam County, Sheriff","","","","GILLIAM",9,,100086595,"Gary Bettencourt",11/10/2022 11:32:24 AM,1,807,0.975816203143894,0/3,
100052131,"Gilliam County, Treasurer","","","","GILLIAM",10,,9901,"Write-in",11/10/2022 11:32:24 AM,1,4,0.00531914893617021,0/3,
100052131,"Gilliam County, Treasurer","","","","GILLIAM",10,,100041876,"Nathan L Hammer",11/10/2022 11:32:24 AM,1,748,0.99468085106383,0/3,
100052132,"City of Arlington, Councilor, Position 1","","","","CITY OF ARLINGTON",11,,9901,"Write-in",11/10/2022 11:32:24 AM,1,4,0.0174672489082969,0/1,
100052132,"City of Arlington, Councilor, Position 1","","","","CITY OF ARLINGTON",11,,100086596,"Kayla Rayburn",11/10/2022 11:32:24 AM,1,225,0.982532751091703,0/1,
100052133,"City of Arlington, Councilor, Position 3","","","","CITY OF ARLINGTON",12,,9901,"Write-in",11/10/2022 11:32:24 AM,1,2,0.00763358778625954,0/1,
100052133,"City of Arlington, Councilor, Position 3","","","","CITY OF ARLINGTON",12,,100086597,"Bobby Christensen",11/10/2022 11:32:24 AM,1,94,0.358778625954198,0/1,
100052133,"City of Arlington, Councilor, Position 3","","","","CITY OF ARLINGTON",12,,100086599,"Mark Davidson",11/10/2022 11:32:24 AM,1,166,0.633587786259542,0/1,
100052134,"City of Arlington, Councilor, Position 5","","","","CITY OF ARLINGTON",13,,9901,"Write-in",11/10/2022 11:32:24 AM,1,8,0.0386473429951691,0/1,
100052134,"City of Arlington, Councilor, Position 5","","","","CITY OF ARLINGTON",13,,100086598,"Marshall Swope",11/10/2022 11:32:24 AM,1,199,0.961352657004831,0/1,
100052135,"City of Condon, Councilor","","","","CITY OF CONDON",14,,9901,"Write-in",11/10/2022 11:32:24 AM,1,0,0,0/2,
100052135,"City of Condon, Councilor","","","","CITY OF CONDON",14,,100086600,"Janet Stinchfield",11/10/2022 11:32:24 AM,1,288,0.525547445255474,0/2,
100052135,"City of Condon, Councilor","","","","CITY OF CONDON",14,,100086601,"Dawn Parm",11/10/2022 11:32:24 AM,1,260,0.474452554744526,0/2,
100052136,"City of Condon, Mayor","","","","CITY OF CONDON",15,,9901,"Write-in",11/10/2022 11:32:24 AM,1,10,0.0337837837837838,0/2,
100052136,"City of Condon, Mayor","","","","CITY OF CONDON",15,,100086602,"Jim Hassing",11/10/2022 11:32:24 AM,1,286,0.966216216216216,0/2,
100052137,"City of Lonerock, Councilor, Position 1","","","","CITY OF LONEROCK",16,,9901,"Write-in",11/10/2022 11:32:24 AM,1,3,0.230769230769231,0/1,
100052137,"City of Lonerock, Councilor, Position 1","","","","CITY OF LONEROCK",16,,100086603,"Raymond De Loe",11/10/2022 11:32:24 AM,1,10,0.769230769230769,0/1,
100052138,"City of Lonerock, Councilor, Position 2","","","","CITY OF LONEROCK",17,,9901,"Write-in",11/10/2022 11:32:24 AM,1,3,0.230769230769231,0/1,
100052138,"City of Lonerock, Councilor, Position 2","","","","CITY OF LONEROCK",17,,100086604,"Donna Lopiparo",11/10/2022 11:32:24 AM,1,10,0.769230769230769,0/1,
100052139,"Gilliam County Soil and Water Conservation District, Director, Zone 1","","","","Gilliam County Soil and Water Conservation District",18,,9901,"Write-in",11/10/2022 11:32:24 AM,1,3,0.00368098159509202,0/3,
100052139,"Gilliam County Soil and Water Conservation District, Director, Zone 1","","","","Gilliam County Soil and Water Conservation District",18,,100086605,"Chet Wilkins",11/10/2022 11:32:24 AM,1,812,0.996319018404908,0/3,
100052140,"Gilliam County Soil and Water Conservation District, Director, Zone 2","","","","Gilliam County Soil and Water Conservation District",19,,9901,"Write-in",11/10/2022 11:32:24 AM,1,2,0.00271739130434783,0/3,
100052140,"Gilliam County Soil and Water Conservation District, Director, Zone 2","","","","Gilliam County Soil and Water Conservation District",19,,100022292,"Richard Harper",11/10/2022 11:32:24 AM,1,734,0.997282608695652,0/3,
100052141,"Gilliam County Soil and Water Conservation District, Director, Zone 3","","","","Gilliam County Soil and Water Conservation District",20,,9901,"Write-in",11/10/2022 11:32:24 AM,1,6,0.00824175824175824,0/3,
100052141,"Gilliam County Soil and Water Conservation District, Director, Zone 3","","","","Gilliam County Soil and Water Conservation District",20,,100086606,"John Anderson",11/10/2022 11:32:24 AM,1,722,0.991758241758242,0/3,
100051825,"State Representative, 57th District","","","","HD 57",22,,9901,"Write-in",11/10/2022 11:32:24 AM,1,12,0.0147058823529412,0/51,
100051825,"State Representative, 57th District","Republican, Democrat","","","HD 57",22,,100068817,"Greg Smith",11/10/2022 11:32:24 AM,1,804,0.985294117647059,0/51,
100002657,"11-27 Gilliam: Prohibits psilocybin-related businesses within the unincorporated area of Gilliam County.","","","","GILLIAM",25,,1,"Yes",11/10/2022 11:32:24 AM,1,637,0.67982924226254,0/3,
100002657,"11-27 Gilliam: Prohibits psilocybin-related businesses within the unincorporated area of Gilliam County.","","","","GILLIAM",25,,2,"No",11/10/2022 11:32:24 AM,1,300,0.32017075773746,0/3,
100002658,"11-28 City of Arlington: Prohibits psilocybin-related businesses within the City of Arlington.","","","","CITY OF ARLINGTON",26,,1,"Yes",11/10/2022 11:32:24 AM,1,202,0.698961937716263,0/1,
100002658,"11-28 City of Arlington: Prohibits psilocybin-related businesses within the City of Arlington.","","","","CITY OF ARLINGTON",26,,2,"No",11/10/2022 11:32:24 AM,1,87,0.301038062283737,0/1,
100002659,"11-29 City of Condon: Prohibits psilocybin-related businesses within the City of Condon for two (2) years. Prohibition sunsets December 31, 2024.","","","","CITY OF CONDON",27,,1,"Yes",11/10/2022 11:32:24 AM,1,273,0.741847826086957,0/2,
100002659,"11-29 City of Condon: Prohibits psilocybin-related businesses within the City of Condon for two (2) years. Prohibition sunsets December 31, 2024.","","","","CITY OF CONDON",27,,2,"No",11/10/2022 11:32:24 AM,1,95,0.258152173913043,0/2,
100051829,"Commissioner of the Bureau of Labor and Industries","","","","Statewide Nonpartisan",27,,9901,"Write-in",11/10/2022 11:32:24 AM,1,2,0.00292397660818713,0/1279,
100051829,"Commissioner of the Bureau of Labor and Industries","","","","Statewide Nonpartisan",27,,100084347,"Christina E Stephenson",11/10/2022 11:32:24 AM,1,301,0.440058479532164,0/1279,
100051829,"Commissioner of the Bureau of Labor and Industries","","","","Statewide Nonpartisan",27,,100086066,"Cheri Helt",11/10/2022 11:32:24 AM,1,381,0.557017543859649,0/1279,
100051840,"Judge of the Court of Appeals, Position 10","","","","Statewide Nonpartisan",28,,9901,"Write-in",11/10/2022 11:32:24 AM,1,2,0.00324149108589951,0/1279,
100051840,"Judge of the Court of Appeals, Position 10","","","","Statewide Nonpartisan",28,,100086069,"Kristina Hellman - Incumbent",11/10/2022 11:32:24 AM,1,615,0.9967585089141,0/1279,
100051841,"Judge of the Court of Appeals, Position 11","","","","Statewide Nonpartisan",29,,9901,"Write-in",11/10/2022 11:32:24 AM,1,2,0.0033167495854063,0/1279,
100051841,"Judge of the Court of Appeals, Position 11","","","","Statewide Nonpartisan",29,,100086070,"Anna M Joyce - Incumbent",11/10/2022 11:32:24 AM,1,601,0.996683250414594,0/1279,
100002573,"Measure 111 Amends Constitution: State must ensure affordable healthcare access, balanced against requirement to fund schools, other essential services","","","","Statewide Nonpartisan",79,,1,"Yes",11/10/2022 11:32:24 AM,1,303,0.326860841423948,0/1279,
100002573,"Measure 111 Amends Constitution: State must ensure affordable healthcare access, balanced against requirement to fund schools, other essential services","","","","Statewide Nonpartisan",79,,2,"No",11/10/2022 11:32:24 AM,1,624,0.673139158576052,0/1279,
100002574,"Measure 112 Amends Constitution: Removes language allowing slavery and involuntary servitude as punishment for crime","","","","Statewide Nonpartisan",80,,1,"Yes",11/10/2022 11:32:24 AM,1,301,0.322961373390558,0/1279,
100002574,"Measure 112 Amends Constitution: Removes language allowing slavery and involuntary servitude as punishment for crime","","","","Statewide Nonpartisan",80,,2,"No",11/10/2022 11:32:24 AM,1,631,0.677038626609442,0/1279,
100002575,"Measure 113 Amends Constitution: Legislators with ten unexcused absences from floor sessions disqualified from holding next term of office","","","","Statewide Nonpartisan",81,,1,"Yes",11/10/2022 11:32:24 AM,1,497,0.534983853606028,0/1279,
100002575,"Measure 113 Amends Constitution: Legislators with ten unexcused absences from floor sessions disqualified from holding next term of office","","","","Statewide Nonpartisan",81,,2,"No",11/10/2022 11:32:24 AM,1,432,0.465016146393972,0/1279,
100002576,"Measure 114 Requires permit to acquire firearms; police maintain permit/firearm database; criminally prohibits certain ammunition magazines","","","","Statewide Nonpartisan",82,,1,"Yes",11/10/2022 11:32:24 AM,1,179,0.189017951425554,0/1279,
100002576,"Measure 114 Requires permit to acquire firearms; police maintain permit/firearm database; criminally prohibits certain ammunition magazines","","","","Statewide Nonpartisan",82,,2,"No",11/10/2022 11:32:24 AM,1,768,0.810982048574446,0/1279,
