ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/10/2022 11:32:30 AM,1,112,0.00111838951909251,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/10/2022 11:32:30 AM,1,46267,0.462004713212973,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/10/2022 11:32:30 AM,1,1010,0.0100854769132449,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/10/2022 11:32:30 AM,1,1550,0.0154777120945838,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/10/2022 11:32:30 AM,1,51205,0.511313708260105,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/10/2022 11:32:30 AM,1,139,0.00140945041573717,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/10/2022 11:32:30 AM,1,42267,0.428584465625634,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/10/2022 11:32:30 AM,1,56214,0.570006083958629,0/370,
100051754,"State Senator, 3rd District","","","","SD 03",4,,9901,"Write-in",11/10/2022 11:32:30 AM,1,74,0.001185536455246,0/27,
100051754,"State Senator, 3rd District","Democrat, Independent, Working Families","","","SD 03",4,,100060623,"Jeff Golden",11/10/2022 11:32:30 AM,1,32249,0.516653583043625,0/27,
100051754,"State Senator, 3rd District","Republican","","","SD 03",4,,100084069,"Randy Sparacino",11/10/2022 11:32:30 AM,1,30096,0.482160880501129,0/27,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/10/2022 11:32:30 AM,1,102,0.00101079168772483,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/10/2022 11:32:30 AM,1,527,0.00522242371991161,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/10/2022 11:32:30 AM,1,38112,0.377679341201653,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/10/2022 11:32:30 AM,1,426,0.00422154175461545,0/1279,
