ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/10/2022 11:32:47 AM,1,88,0.000957896111812601,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/10/2022 11:32:47 AM,1,43784,0.476596856359124,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/10/2022 11:32:47 AM,1,897,0.00976400923063526,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/10/2022 11:32:47 AM,1,1558,0.0169591152523185,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/10/2022 11:32:47 AM,1,45541,0.49572212304611,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/10/2022 11:32:47 AM,1,0,0,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/10/2022 11:32:47 AM,1,0,0,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/10/2022 11:32:47 AM,1,0,0,0/370,
100051751,"US Representative, 5th District","","","","US Representative 5th District",4,,9901,"Write-in",11/10/2022 11:32:47 AM,1,51,0.00287129827722103,0/237,
100051751,"US Representative, 5th District","Democrat, Independent, Working Families","","","US Representative 5th District",4,,100084013,"Jamie McLeod-Skinner",11/10/2022 11:32:47 AM,1,5738,0.323049206170476,0/237,
100051751,"US Representative, 5th District","Republican","","","US Representative 5th District",4,,100084017,"Lori Chavez-DeRemer",11/10/2022 11:32:47 AM,1,11973,0.674079495552303,0/237,
100051752,"US Representative, 6th District","","","","US Representative 6th District",5,,9901,"Write-in",11/10/2022 11:32:47 AM,1,134,0.00182288124064753,0/177,
100051752,"US Representative, 6th District","Constitution","","","US Representative 6th District",5,,100085991,"Larry D McFarland",11/10/2022 11:32:47 AM,1,2006,0.0272888042443205,0/177,
100051752,"US Representative, 6th District","Democrat, Independent, Working Families","","","US Representative 6th District",5,,100084021,"Andrea Salinas",11/10/2022 11:32:47 AM,1,34235,0.465718949802748,0/177,
100051752,"US Representative, 6th District","Republican","","","US Representative 6th District",5,,100084033,"Mike Erickson",11/10/2022 11:32:47 AM,1,37135,0.505169364712284,0/177,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/10/2022 11:32:47 AM,1,136,0.00143281569354601,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/10/2022 11:32:47 AM,1,406,0.00427737626161529,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/10/2022 11:32:47 AM,1,36329,0.382740892138477,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/10/2022 11:32:47 AM,1,316,0.0033291894055922,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/10/2022 11:32:47 AM,1,8547,0.0900461450936598,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/10/2022 11:32:47 AM,1,49184,0.518173581407109,0/1279,
100051756,"State Senator, 6th District","","","","SD 06",6,,9901,"Write-in",11/10/2022 11:32:47 AM,1,3,0.00218978102189781,0/71,
100051756,"State Senator, 6th District","Democrat, Independent","","","SD 06",6,,100084071,"Ashley Pelton",11/10/2022 11:32:47 AM,1,409,0.298540145985401,0/71,
100051756,"State Senator, 6th District","Republican","","","SD 06",6,,100084072,"Cedric R Hayden",11/10/2022 11:32:47 AM,1,958,0.699270072992701,0/71,
100051758,"State Senator, 8th District","","","","SD 08",7,,9901,"Write-in",11/10/2022 11:32:47 AM,1,1,0.000568181818181818,0/41,
100051758,"State Senator, 8th District","Democrat, Independent, Working Families","","","SD 08",7,,100043061,"Sara Gelser Blouin",11/10/2022 11:32:47 AM,1,632,0.359090909090909,0/41,
100051758,"State Senator, 8th District","Republican","","","SD 08",7,,100084074,"Valerie Draper Woldeit",11/10/2022 11:32:47 AM,1,1127,0.640340909090909,0/41,
100051759,"State Senator, 10th District","","","","SD 10",8,,9901,"Write-in",11/10/2022 11:32:47 AM,1,43,0.00155966630395357,0/26,
100051759,"State Senator, 10th District","Democrat, Independent","","","SD 10",8,,100072558,"Deb Patterson",11/10/2022 11:32:47 AM,1,15292,0.554660863257164,0/26,
100051759,"State Senator, 10th District","Republican, Libertarian","","","SD 10",8,,100084075,"Raquel Moore-Green",11/10/2022 11:32:47 AM,1,12235,0.443779470438883,0/26,
100051760,"State Senator, 11th District","","","","SD 11",9,,9901,"Write-in",11/10/2022 11:32:47 AM,1,64,0.00216033755274262,0/34,
100051760,"State Senator, 11th District","Democrat","","","SD 11",9,,100086022,"Richard (Rich) Walsh",11/10/2022 11:32:47 AM,1,13809,0.466126582278481,0/34,
100051760,"State Senator, 11th District","Republican, Libertarian","","","SD 11",9,,100084076,"Kim Thatcher",11/10/2022 11:32:47 AM,1,15752,0.531713080168776,0/34,
100051779,"State Representative, 11th District","","","","HD 11",10,,9901,"Write-in",11/10/2022 11:32:47 AM,1,1,0.000731528895391368,0/53,
100051779,"State Representative, 11th District","Democrat, Working Families","","","HD 11",10,,100084117,"Mary K Cooke",11/10/2022 11:32:47 AM,1,409,0.29919531821507,0/53,
100051779,"State Representative, 11th District","Republican","","","HD 11",10,,100084120,"Jami Cate",11/10/2022 11:32:47 AM,1,957,0.700073152889539,0/53,
100051783,"State Representative, 15th District","","","","HD 15",11,,9901,"Write-in",11/10/2022 11:32:47 AM,1,0,0,0/29,
100051783,"State Representative, 15th District","Democrat, Independent","","","HD 15",11,,100084194,"Benjamin Watts",11/10/2022 11:32:47 AM,1,590,0.334088335220838,0/29,
100051783,"State Representative, 15th District","Republican","","","HD 15",11,,100063731,"Shelly Boshart Davis",11/10/2022 11:32:47 AM,1,1176,0.665911664779162,0/29,
100051785,"State Representative, 17th District","","","","HD 17",12,,9901,"Write-in",11/10/2022 11:32:47 AM,1,496,0.034986245326938,0/44,
100051785,"State Representative, 17th District","Republican, Democrat","","","HD 17",12,,100084214,"Ed Diehl",11/10/2022 11:32:47 AM,1,13681,0.965013754673062,0/44,
100051786,"State Representative, 18th District","","","","HD 18",13,,9901,"Write-in",11/10/2022 11:32:47 AM,1,27,0.00210888073107865,0/30,
100051786,"State Representative, 18th District","Democrat","","","HD 18",13,,100084216,"Jesse S Smith",11/10/2022 11:32:47 AM,1,4126,0.322268218386316,0/30,
100051786,"State Representative, 18th District","Republican","","","HD 18",13,,100060560,"Rick Lewis",11/10/2022 11:32:47 AM,1,8650,0.675622900882606,0/30,
100051787,"State Representative, 19th District","","","","HD 19",14,,9901,"Write-in",11/10/2022 11:32:47 AM,1,30,0.00148089643597591,0/12,
100051787,"State Representative, 19th District","Democrat, Independent, Working Families","","","HD 19",14,,100084218,"Tom Andersen",11/10/2022 11:32:47 AM,1,11181,0.551930101688222,0/12,
100051787,"State Representative, 19th District","Republican","","","HD 19",14,,100084223,"TJ Sullivan",11/10/2022 11:32:47 AM,1,9047,0.446589001875802,0/12,
100051788,"State Representative, 20th District","","","","HD 20",15,,9901,"Write-in",11/10/2022 11:32:47 AM,1,2,0.000272479564032698,0/14,
100051788,"State Representative, 20th District","Democrat, Independent, Working Families","","","HD 20",15,,100043131,"Paul Evans",11/10/2022 11:32:47 AM,1,4305,0.586512261580382,0/14,
100051788,"State Representative, 20th District","Libertarian","","","HD 20",15,,100086042,"Taylor A Rickey",11/10/2022 11:32:47 AM,1,82,0.0111716621253406,0/14,
100051788,"State Representative, 20th District","Republican","","","HD 20",15,,100084224,"Dan Farrington",11/10/2022 11:32:47 AM,1,2951,0.402043596730245,0/14,
100051789,"State Representative, 21st District","","","","HD 21",16,,9901,"Write-in",11/10/2022 11:32:47 AM,1,20,0.00108784335055752,0/15,
100051789,"State Representative, 21st District","Democrat, Working Families","","","HD 21",16,,100084226,"Ramiro Navarro Jr",11/10/2022 11:32:47 AM,1,8377,0.455643187381017,0/15,
100051789,"State Representative, 21st District","Libertarian","","","HD 21",16,,100086043,"Michael Morrow",11/10/2022 11:32:47 AM,1,467,0.0254011422355181,0/15,
100051789,"State Representative, 21st District","Republican","","","HD 21",16,,100084227,"Kevin L Mannix",11/10/2022 11:32:47 AM,1,9521,0.517867827032907,0/15,
100051790,"State Representative, 22nd District","","","","HD 22",17,,9901,"Write-in",11/10/2022 11:32:47 AM,1,15,0.00131995776135164,0/19,
100051790,"State Representative, 22nd District","Democrat, Independent, Working Families","","","HD 22",17,,100084229,"Anthony Medina",11/10/2022 11:32:47 AM,1,5301,0.466473072861668,0/19,
100051790,"State Representative, 22nd District","Republican","","","HD 22",17,,100084232,"Tracy M Cramer",11/10/2022 11:32:47 AM,1,6048,0.53220696937698,0/19,
100051825,"State Representative, 57th District","","","","HD 57",22,,9901,"Write-in",11/10/2022 11:32:47 AM,1,0,0,0/51,
100051825,"State Representative, 57th District","Republican, Democrat","","","HD 57",22,,100068817,"Greg Smith",11/10/2022 11:32:47 AM,1,0,0,0/51,
100051842,"Judge of the Circuit Court, 3rd District, Position 14","","","","Circuit Court District 03",22,,9901,"Write-in",11/10/2022 11:32:47 AM,1,308,0.00417848082375765,0/117,
100051842,"Judge of the Circuit Court, 3rd District, Position 14","","","","Circuit Court District 03",22,,100086072,"Amy Queen",11/10/2022 11:32:47 AM,1,39606,0.537314647745927,0/117,
100051842,"Judge of the Circuit Court, 3rd District, Position 14","","","","Circuit Court District 03",22,,100086073,"Erious Johnson Jr - Incumbent",11/10/2022 11:32:47 AM,1,33797,0.458506871430316,0/117,
100051843,"Judge of the Circuit Court, 3rd District, Position 3","","","","Circuit Court District 03",23,,9901,"Write-in",11/10/2022 11:32:47 AM,1,836,0.0161658351703601,0/117,
100051843,"Judge of the Circuit Court, 3rd District, Position 3","","","","Circuit Court District 03",23,,100086074,"Jennifer K Gardiner - Incumbent",11/10/2022 11:32:47 AM,1,50878,0.98383416482964,0/117,
100051024,"Marion County, Commissioner, Position 1","","","","Marion",24,,9901,"Write-in",11/10/2022 11:32:47 AM,1,109,0.00120222798213202,0/117,
100051024,"Marion County, Commissioner, Position 1","","","","Marion",24,,100044793,"Kevin Cameron",11/10/2022 11:32:47 AM,1,54590,0.60210665637236,0/117,
100051024,"Marion County, Commissioner, Position 1","","","","Marion",24,,100085126,"Andrew Dennis",11/10/2022 11:32:47 AM,1,35966,0.396691115645508,0/117,
100051025,"Marion County, Commissioner, Position 2","","","","Marion",25,,9901,"Write-in",11/10/2022 11:32:47 AM,1,88,0.000968917564933993,0/117,
100051025,"Marion County, Commissioner, Position 2","","","","Marion",25,,100080803,"Colm Willis",11/10/2022 11:32:47 AM,1,51692,0.569150985983727,0/117,
100051025,"Marion County, Commissioner, Position 2","","","","Marion",25,,100085127,"Mark Wigg",11/10/2022 11:32:47 AM,1,39043,0.429880096451339,0/117,
100051026,"Marion County, Treasurer","","","","Marion",26,,9901,"Write-in",11/10/2022 11:32:47 AM,1,819,0.0151146052485882,0/117,
100051026,"Marion County, Treasurer","","","","Marion",26,,100085128,"Sam Brentano",11/10/2022 11:32:47 AM,1,53367,0.984885394751412,0/117,
100051028,"City of Aumsville, Mayor","","","","City of Aumsville",27,,9901,"Write-in",11/10/2022 11:32:47 AM,1,86,0.11637347767253,0/1,
100051028,"City of Aumsville, Mayor","","","","City of Aumsville",27,,100085532,"Angelica Ceja",11/10/2022 11:32:47 AM,1,653,0.88362652232747,0/1,
100051829,"Commissioner of the Bureau of Labor and Industries","","","","Statewide Nonpartisan",27,,9901,"Write-in",11/10/2022 11:32:47 AM,1,471,0.00656610717671332,0/1279,
100051829,"Commissioner of the Bureau of Labor and Industries","","","","Statewide Nonpartisan",27,,100084347,"Christina E Stephenson",11/10/2022 11:32:47 AM,1,39636,0.552556738972843,0/1279,
100051829,"Commissioner of the Bureau of Labor and Industries","","","","Statewide Nonpartisan",27,,100086066,"Cheri Helt",11/10/2022 11:32:47 AM,1,31625,0.440877153850443,0/1279,
100051840,"Judge of the Court of Appeals, Position 10","","","","Statewide Nonpartisan",28,,9901,"Write-in",11/10/2022 11:32:47 AM,1,979,0.0181504690570655,0/1279,
100051840,"Judge of the Court of Appeals, Position 10","","","","Statewide Nonpartisan",28,,100086069,"Kristina Hellman - Incumbent",11/10/2022 11:32:47 AM,1,52959,0.981849530942934,0/1279,
100051027,"City of Aumsville, Councilor (Vote For 3)","","","","City of Aumsville",28,,9901,"Write-in",11/10/2022 11:32:47 AM,3,110,0.0846153846153846,0/1,
100051027,"City of Aumsville, Councilor (Vote For 3)","","","","City of Aumsville",28,,100085533,"Della Seney",11/10/2022 11:32:47 AM,3,580,0.446153846153846,0/1,
100051027,"City of Aumsville, Councilor (Vote For 3)","","","","City of Aumsville",28,,100085534,"Nico Casarez",11/10/2022 11:32:47 AM,3,610,0.469230769230769,0/1,
100051031,"City of Aurora, Mayor","","","","City of Aurora",29,,9901,"Write-in",11/10/2022 11:32:47 AM,1,23,0.0659025787965616,0/1,
100051031,"City of Aurora, Mayor","","","","City of Aurora",29,,100073151,"Brian Asher",11/10/2022 11:32:47 AM,1,326,0.934097421203438,0/1,
100051841,"Judge of the Court of Appeals, Position 11","","","","Statewide Nonpartisan",29,,9901,"Write-in",11/10/2022 11:32:47 AM,1,921,0.0176945244956772,0/1279,
100051841,"Judge of the Court of Appeals, Position 11","","","","Statewide Nonpartisan",29,,100086070,"Anna M Joyce - Incumbent",11/10/2022 11:32:47 AM,1,51129,0.982305475504323,0/1279,
100051029,"City of Aurora, Councilor, Position 1","","","","City of Aurora",30,,9901,"Write-in",11/10/2022 11:32:47 AM,1,7,0.021671826625387,0/1,
100051029,"City of Aurora, Councilor, Position 1","","","","City of Aurora",30,,100085437,"Tara Weidman",11/10/2022 11:32:47 AM,1,316,0.978328173374613,0/1,
100051030,"City of Aurora, Councilor, Position 2","","","","City of Aurora",31,,9901,"Write-in",11/10/2022 11:32:47 AM,1,8,0.0253968253968254,0/1,
100051030,"City of Aurora, Councilor, Position 2","","","","City of Aurora",31,,100085438,"John Berard",11/10/2022 11:32:47 AM,1,307,0.974603174603175,0/1,
100051032,"City of Detroit, Councilor (Vote For 7)","","","","City of Detroit",32,,9901,"Write-in",11/10/2022 11:32:47 AM,7,23,0.0777027027027027,0/1,
100051032,"City of Detroit, Councilor (Vote For 7)","","","","City of Detroit",32,,100073104,"Michele Tesdal",11/10/2022 11:32:47 AM,7,73,0.246621621621622,0/1,
100051032,"City of Detroit, Councilor (Vote For 7)","","","","City of Detroit",32,,100085441,"Teresa Maurmann",11/10/2022 11:32:47 AM,7,34,0.114864864864865,0/1,
100051032,"City of Detroit, Councilor (Vote For 7)","","","","City of Detroit",32,,100085442,"Denny Nielsen",11/10/2022 11:32:47 AM,7,63,0.212837837837838,0/1,
100051032,"City of Detroit, Councilor (Vote For 7)","","","","City of Detroit",32,,100085443,"Todd J Smith",11/10/2022 11:32:47 AM,7,50,0.168918918918919,0/1,
100051032,"City of Detroit, Councilor (Vote For 7)","","","","City of Detroit",32,,100085444,"Greg W Sheppard",11/10/2022 11:32:47 AM,7,53,0.179054054054054,0/1,
100051034,"City of Donald, Mayor","","","","City of Donald",33,,9901,"Write-in",11/10/2022 11:32:47 AM,1,17,0.0909090909090909,0/1,
100051034,"City of Donald, Mayor","","","","City of Donald",33,,100073686,"Rick Olmsted",11/10/2022 11:32:47 AM,1,170,0.909090909090909,0/1,
100051033,"City of Donald, Councilor (Vote For 3)","","","","City of Donald",34,,9901,"Write-in",11/10/2022 11:32:47 AM,3,3,0.0055045871559633,0/1,
100051033,"City of Donald, Councilor (Vote For 3)","","","","City of Donald",34,,100085562,"Gerry Waller",11/10/2022 11:32:47 AM,3,139,0.255045871559633,0/1,
100051033,"City of Donald, Councilor (Vote For 3)","","","","City of Donald",34,,100085563,"Sheryl Glenn",11/10/2022 11:32:47 AM,3,117,0.214678899082569,0/1,
100051033,"City of Donald, Councilor (Vote For 3)","","","","City of Donald",34,,100085564,"Neil Strathdee",11/10/2022 11:32:47 AM,3,132,0.242201834862385,0/1,
100051033,"City of Donald, Councilor (Vote For 3)","","","","City of Donald",34,,100085565,"Jan Olsen",11/10/2022 11:32:47 AM,3,154,0.28256880733945,0/1,
100051036,"City of Gates, Mayor","","","","City of Gates",35,,9901,"Write-in",11/10/2022 11:32:47 AM,1,54,0.72972972972973,0/2,
100051036,"City of Gates, Mayor","","","","City of Gates",35,,100073107,"Ron Carmickle",11/10/2022 11:32:47 AM,1,20,0.27027027027027,0/2,
100051035,"City of Gates, Councilor (Vote For 3)","","","","City of Gates",36,,9901,"Write-in",11/10/2022 11:32:47 AM,3,10,0.0540540540540541,0/2,
100051035,"City of Gates, Councilor (Vote For 3)","","","","City of Gates",36,,100085566,"Donald Mann",11/10/2022 11:32:47 AM,3,54,0.291891891891892,0/2,
100051035,"City of Gates, Councilor (Vote For 3)","","","","City of Gates",36,,100085567,"Brian Gander",11/10/2022 11:32:47 AM,3,55,0.297297297297297,0/2,
100051035,"City of Gates, Councilor (Vote For 3)","","","","City of Gates",36,,100085569,"Tonya Chamberlain",11/10/2022 11:32:47 AM,3,66,0.356756756756757,0/2,
100051038,"City of Gervais, Mayor","","","","City of Gervais",37,,9901,"Write-in",11/10/2022 11:32:47 AM,1,1,0.00273224043715847,0/1,
100051038,"City of Gervais, Mayor","","","","City of Gervais",37,,100073120,"Annie Gilland",11/10/2022 11:32:47 AM,1,149,0.407103825136612,0/1,
100051038,"City of Gervais, Mayor","","","","City of Gervais",37,,100085672,"Tilda Flores",11/10/2022 11:32:47 AM,1,23,0.0628415300546448,0/1,
100051038,"City of Gervais, Mayor","","","","City of Gervais",37,,100085673,"Brian Wagner",11/10/2022 11:32:47 AM,1,118,0.322404371584699,0/1,
100051038,"City of Gervais, Mayor","","","","City of Gervais",37,,100085674,"Jose Ruiz",11/10/2022 11:32:47 AM,1,68,0.185792349726776,0/1,
100051038,"City of Gervais, Mayor","","","","City of Gervais",37,,100085675,"Gricel (Grace) Malstrom",11/10/2022 11:32:47 AM,1,7,0.0191256830601093,0/1,
100051037,"City of Gervais, Councilor (Vote For 2)","","","","City of Gervais",38,,9901,"Write-in",11/10/2022 11:32:47 AM,2,8,0.014336917562724,0/1,
100051037,"City of Gervais, Councilor (Vote For 2)","","","","City of Gervais",38,,100073119,"Diana Bartch",11/10/2022 11:32:47 AM,2,99,0.17741935483871,0/1,
100051037,"City of Gervais, Councilor (Vote For 2)","","","","City of Gervais",38,,100085676,"John Harvey",11/10/2022 11:32:47 AM,2,179,0.32078853046595,0/1,
100051037,"City of Gervais, Councilor (Vote For 2)","","","","City of Gervais",38,,100085677,"Melanie Blair",11/10/2022 11:32:47 AM,2,110,0.197132616487455,0/1,
100051037,"City of Gervais, Councilor (Vote For 2)","","","","City of Gervais",38,,100085678,"Michael Gregory (Miguel Gregorio)",11/10/2022 11:32:47 AM,2,162,0.290322580645161,0/1,
100051040,"City of Hubbard, Mayor","","","","City of Hubbard",39,,9901,"Write-in",11/10/2022 11:32:47 AM,1,24,0.0480961923847695,0/1,
100051040,"City of Hubbard, Mayor","","","","City of Hubbard",39,,100073124,"Charles Rostocil",11/10/2022 11:32:47 AM,1,475,0.95190380761523,0/1,
