ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/10/2022 11:32:51 AM,1,299,0.00100050861976657,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/10/2022 11:32:51 AM,1,236030,0.789799496734126,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/10/2022 11:32:51 AM,1,3664,0.012260413320484,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/10/2022 11:32:51 AM,1,6812,0.0227941963807688,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/10/2022 11:32:51 AM,1,52043,0.174145384944855,0/1279,
100051747,"US Representative, 1st District","","","","US Representative 1st District",2,,9901,"Write-in",11/10/2022 11:32:51 AM,1,123,0.00182030752837756,0/219,
100051747,"US Representative, 1st District","Democrat, Working Families","","","US Representative 1st District",2,,300024797,"Suzanne Bonamici",11/10/2022 11:32:51 AM,1,59629,0.882464370809963,0/219,
100051747,"US Representative, 1st District","Republican","","","US Representative 1st District",2,,100083995,"Christopher A Mann",11/10/2022 11:32:51 AM,1,7819,0.11571532166166,0/219,
100051749,"US Representative, 3rd District","","","","US Representative 3rd District",3,,9901,"Write-in",11/10/2022 11:32:51 AM,1,364,0.00175247705891982,0/109,
100051749,"US Representative, 3rd District","Democrat","","","US Representative 3rd District",3,,100067959,"Earl Blumenauer",11/10/2022 11:32:51 AM,1,156002,0.751071225674752,0/109,
100051749,"US Representative, 3rd District","Progressive, Independent, Pacific Green","","","US Representative 3rd District",3,,100085956,"David E Delk",11/10/2022 11:32:51 AM,1,7252,0.0349147352507872,0/109,
100051749,"US Representative, 3rd District","Republican","","","US Representative 3rd District",3,,100084002,"Joanna Harbour",11/10/2022 11:32:51 AM,1,44088,0.212261562015541,0/109,
100051751,"US Representative, 5th District","","","","US Representative 5th District",4,,9901,"Write-in",11/10/2022 11:32:51 AM,1,52,0.00246165498958531,0/237,
100051751,"US Representative, 5th District","Democrat, Independent, Working Families","","","US Representative 5th District",4,,100084013,"Jamie McLeod-Skinner",11/10/2022 11:32:51 AM,1,16806,0.795587956826359,0/237,
100051751,"US Representative, 5th District","Republican","","","US Representative 5th District",4,,100084017,"Lori Chavez-DeRemer",11/10/2022 11:32:51 AM,1,4266,0.201950388184056,0/237,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/10/2022 11:32:51 AM,1,363,0.00120565962534874,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/10/2022 11:32:51 AM,1,591,0.00196293343961738,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/10/2022 11:32:51 AM,1,217743,0.72320645675568,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/10/2022 11:32:51 AM,1,631,0.00209578849475223,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/10/2022 11:32:51 AM,1,21604,0.0717550152783313,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/10/2022 11:32:51 AM,1,60148,0.199774146406271,0/1279,
100051763,"State Senator, 16th District","","","","SD 16",7,,9901,"Write-in",11/10/2022 11:32:51 AM,1,0,0,0/101,
100051763,"State Senator, 16th District","Democrat, Independent","","","SD 16",7,,100084086,"Melissa Busch",11/10/2022 11:32:51 AM,1,813,0.617312072892939,0/101,
100051763,"State Senator, 16th District","Republican","","","SD 16",7,,100084085,"Suzanne Weber",11/10/2022 11:32:51 AM,1,504,0.382687927107062,0/101,
100051764,"State Senator, 17th District","","","","SD 17",8,,9901,"Write-in",11/10/2022 11:32:51 AM,1,50,0.00210988269052241,0/28,
100051764,"State Senator, 17th District","Democrat, Independent","","","SD 17",8,,300025016,"Elizabeth Steiner Hayward",11/10/2022 11:32:51 AM,1,20781,0.876909443834923,0/28,
100051764,"State Senator, 17th District","Republican","","","SD 17",8,,100084087,"John Verbeek",11/10/2022 11:32:51 AM,1,2867,0.120980673474555,0/28,
100051765,"State Senator, 19th District","","","","SD 19",10,,9901,"Write-in",11/10/2022 11:32:51 AM,1,11,0.000746825989544436,0/38,
100051765,"State Senator, 19th District","Democrat, Independent","","","SD 19",10,,100060628,"Rob Wagner",11/10/2022 11:32:51 AM,1,11878,0.806436282164438,0/38,
100051765,"State Senator, 19th District","Republican","","","SD 19",10,,100084092,"Ben Edtl",11/10/2022 11:32:51 AM,1,2840,0.192816891846018,0/38,
100051767,"State Senator, 24th District","","","","SD 24",10,,9901,"Write-in",11/10/2022 11:32:51 AM,1,65,0.00214358737591927,0/24,
100051767,"State Senator, 24th District","Democrat, Independent, Working Families","","","SD 24",10,,100083856,"Kayse Jama",11/10/2022 11:32:51 AM,1,19103,0.629983840649012,0/24,
100051767,"State Senator, 24th District","Republican","","","SD 24",10,,100084096,"Stan Catherman",11/10/2022 11:32:51 AM,1,11155,0.367872571975068,0/24,
100051768,"State Senator, 26th District","","","","SD 26",11,,9901,"Write-in",11/10/2022 11:32:51 AM,1,7,0.00151285930408472,0/41,
100051768,"State Senator, 26th District","Democrat, Independent","","","SD 26",11,,100084097,"Raz Mason",11/10/2022 11:32:51 AM,1,1845,0.398746488005187,0/41,
100051768,"State Senator, 26th District","Republican","","","SD 26",11,,100084099,"Daniel G Bonham",11/10/2022 11:32:51 AM,1,2775,0.599740652690728,0/41,
100051796,"State Representative, 28th District","","","","HD 28",14,,9901,"Write-in",11/10/2022 11:32:51 AM,1,37,0.00159682361572655,0/14,
100051796,"State Representative, 28th District","Democrat, Independent, Working Families","","","HD 28",14,,100084251,"Dacia Grayber",11/10/2022 11:32:51 AM,1,19425,0.838332398256441,0/14,
100051796,"State Representative, 28th District","Republican","","","HD 28",14,,100084253,"Patrick Castles",11/10/2022 11:32:51 AM,1,3709,0.160070778127832,0/14,
100051806,"State Representative, 38th District","","","","HD 38",15,,9901,"Write-in",11/10/2022 11:32:51 AM,1,11,0.000746015598507969,0/19,
100051806,"State Representative, 38th District","Democrat","","","HD 38",15,,100084274,"Daniel Nguyen",11/10/2022 11:32:51 AM,1,11134,0.755103424889793,0/19,
100051806,"State Representative, 38th District","Republican, Independent","","","HD 38",15,,100084276,"Alistair Firmin",11/10/2022 11:32:51 AM,1,3600,0.244150559511699,0/19,
100051799,"State Representative, 31st District","","","","HD 31",17,,9901,"Write-in",11/10/2022 11:32:51 AM,1,0,0,0/45,
100051799,"State Representative, 31st District","Democrat, Independent, Working Families","","","HD 31",17,,100084257,"Anthony Sorace",11/10/2022 11:32:51 AM,1,808,0.612585291887794,0/45,
100051799,"State Representative, 31st District","Republican","","","HD 31",17,,100084258,"Brian G Stout",11/10/2022 11:32:51 AM,1,511,0.387414708112206,0/45,
100051810,"State Representative, 42nd District","","","","HD 42",17,,9901,"Write-in",11/10/2022 11:32:51 AM,1,68,0.00216719252955987,0/8,
100051810,"State Representative, 42nd District","Democrat","","","HD 42",17,,100043160,"Rob Nosse",11/10/2022 11:32:51 AM,1,28691,0.914395895082385,0/8,
100051810,"State Representative, 42nd District","Libertarian","","","HD 42",17,,100086049,"Shira Newman",11/10/2022 11:32:51 AM,1,469,0.0149472543582879,0/8,
100051810,"State Representative, 42nd District","Republican","","","HD 42",17,,100084298,"Scott Trahan",11/10/2022 11:32:51 AM,1,2149,0.068489658029767,0/8,
100051801,"State Representative, 33rd District","","","","HD 33",18,,9901,"Write-in",11/10/2022 11:32:51 AM,1,42,0.00180002571465307,0/10,
100051801,"State Representative, 33rd District","Democrat, Working Families","","","HD 33",18,,100066778,"Maxine E Dexter",11/10/2022 11:32:51 AM,1,19921,0.853769339561994,0/10,
100051801,"State Representative, 33rd District","Republican","","","HD 33",18,,100084263,"Stan Baumhofer",11/10/2022 11:32:51 AM,1,3370,0.144430634723353,0/10,
100051809,"State Representative, 41st District","","","","HD 41",18,,9901,"Write-in",11/10/2022 11:32:51 AM,1,22,0.00146588486140725,0/13,
100051809,"State Representative, 41st District","Democrat, Independent, Working Families","","","HD 41",18,,100084290,"Mark F Gamba",11/10/2022 11:32:51 AM,1,13211,0.880263859275053,0/13,
100051809,"State Representative, 41st District","Republican","","","HD 41",18,,100084294,"Rob Reynolds",11/10/2022 11:32:51 AM,1,1775,0.118270255863539,0/13,
100051811,"State Representative, 43rd District","","","","HD 43",18,,9901,"Write-in",11/10/2022 11:32:51 AM,1,55,0.0017742507822833,0/7,
100051811,"State Representative, 43rd District","Democrat","","","HD 43",18,,300027731,"Tawna Sanchez",11/10/2022 11:32:51 AM,1,28374,0.915319849027388,0/7,
100051811,"State Representative, 43rd District","Republican","","","HD 43",18,,100084301,"Tim LeMaster",11/10/2022 11:32:51 AM,1,2570,0.0829059001903287,0/7,
100051802,"State Representative, 34th District","","","","HD 34",19,,9901,"Write-in",11/10/2022 11:32:51 AM,1,0,0,0/18,
100051802,"State Representative, 34th District","Democrat, Independent, Working Families","","","HD 34",19,,100084264,"Lisa Reynolds",11/10/2022 11:32:51 AM,1,333,0.808252427184466,0/18,
100051802,"State Representative, 34th District","Republican","","","HD 34",19,,100084266,"John Woods",11/10/2022 11:32:51 AM,1,79,0.191747572815534,0/18,
100051812,"State Representative, 44th District","","","","HD 44",19,,9901,"Write-in",11/10/2022 11:32:51 AM,1,43,0.00176584123855283,0/7,
100051812,"State Representative, 44th District","Constitution","","","HD 44",19,,100086054,"Morgan Hinthorne",11/10/2022 11:32:51 AM,1,168,0.0068991006529506,0/7,
100051812,"State Representative, 44th District","Democrat, Working Families","","","HD 44",19,,100083863,"Travis Nelson",11/10/2022 11:32:51 AM,1,21284,0.874050347008336,0/7,
100051812,"State Representative, 44th District","Republican","","","HD 44",19,,100086052,"Rolf Schuler",11/10/2022 11:32:51 AM,1,2856,0.11728471110016,0/7,
100051813,"State Representative, 45th District","","","","HD 45",20,,9901,"Write-in",11/10/2022 11:32:51 AM,1,33,0.0011150155426409,0/9,
100051813,"State Representative, 45th District","Democrat, Independent","","","HD 45",20,,100084307,"Thuy Tran",11/10/2022 11:32:51 AM,1,24818,0.838559264765509,0/9,
100051813,"State Representative, 45th District","Republican","","","HD 45",20,,100086056,"George Donnerberg",11/10/2022 11:32:51 AM,1,4745,0.16032571969185,0/9,
100051814,"State Representative, 46th District","","","","HD 46",21,,9901,"Write-in",11/10/2022 11:32:51 AM,1,43,0.0019067890559177,0/8,
100051814,"State Representative, 46th District","Democrat, Working Families","","","HD 46",21,,100066845,"Khanh Pham",11/10/2022 11:32:51 AM,1,18763,0.832025187353111,0/8,
100051814,"State Representative, 46th District","Republican","","","HD 46",21,,100084309,"Timothy R Sytsma",11/10/2022 11:32:51 AM,1,3745,0.166068023590972,0/8,
100051815,"State Representative, 47th District","","","","HD 47",22,,9901,"Write-in",11/10/2022 11:32:51 AM,1,58,0.00320247363480758,0/10,
100051815,"State Representative, 47th District","Democrat","","","HD 47",22,,100083864,"Andrea Valderrama",11/10/2022 11:32:51 AM,1,12327,0.680636077521948,0/10,
100051815,"State Representative, 47th District","Republican","","","HD 47",22,,100086058,"Bill Stewart",11/10/2022 11:32:51 AM,1,5726,0.316161448843244,0/10,
100051816,"State Representative, 48th District","","","","HD 48",23,,9901,"Write-in",11/10/2022 11:32:51 AM,1,24,0.00194662989699083,0/14,
100051816,"State Representative, 48th District","Democrat, Working Families, Independent","","","HD 48",23,,100084312,"Hoa H Nguyen",11/10/2022 11:32:51 AM,1,7197,0.583745640360127,0/14,
100051816,"State Representative, 48th District","Republican","","","HD 48",23,,100084313,"John Masterman",11/10/2022 11:32:51 AM,1,5108,0.414307729742883,0/14,
100051817,"State Representative, 49th District","","","","HD 49",24,,9901,"Write-in",11/10/2022 11:32:51 AM,1,32,0.00185003179742152,0/10,
100051817,"State Representative, 49th District","Democrat, Independent, Working Families","","","HD 49",24,,100066848,"Zach Hudson",11/10/2022 11:32:51 AM,1,8830,0.510493149101,0/10,
100051817,"State Representative, 49th District","Republican","","","HD 49",24,,100084314,"Randy E Lauer",11/10/2022 11:32:51 AM,1,8435,0.487656819101578,0/10,
100051818,"State Representative, 50th District","","","","HD 50",25,,9901,"Write-in",11/10/2022 11:32:51 AM,1,38,0.00193857769615345,0/9,
100051818,"State Representative, 50th District","Democrat, Independent, Working Families","","","HD 50",25,,100066850,"Ricki Ruiz",11/10/2022 11:32:51 AM,1,9969,0.508570554025099,0/9,
100051818,"State Representative, 50th District","Republican","","","HD 50",25,,100084315,"Amelia Salvador",11/10/2022 11:32:51 AM,1,9595,0.489490868278747,0/9,
100051820,"State Representative, 52nd District","","","","HD 52",26,,9901,"Write-in",11/10/2022 11:32:51 AM,1,9,0.00191774984018751,0/26,
100051820,"State Representative, 52nd District","Democrat, Independent, Working Families","","","HD 52",26,,100084320,"Darcy Long",11/10/2022 11:32:51 AM,1,1845,0.39313871723844,0/26,
100051820,"State Representative, 52nd District","Republican","","","HD 52",26,,100084323,"Jeff Helfrich",11/10/2022 11:32:51 AM,1,2839,0.604943532921372,0/26,
100051829,"Commissioner of the Bureau of Labor and Industries","","","","Statewide Nonpartisan",27,,9901,"Write-in",11/10/2022 11:32:51 AM,1,1401,0.0056055022746096,0/1279,
100051829,"Commissioner of the Bureau of Labor and Industries","","","","Statewide Nonpartisan",27,,100084347,"Christina E Stephenson",11/10/2022 11:32:51 AM,1,200449,0.802010938931634,0/1279,
