ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/10/2022 11:32:56 AM,1,15,0.00129132231404959,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/10/2022 11:32:56 AM,1,5836,0.502410468319559,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/10/2022 11:32:56 AM,1,107,0.00921143250688705,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/10/2022 11:32:56 AM,1,161,0.0138601928374656,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/10/2022 11:32:56 AM,1,5497,0.473226584022039,0/1279,
100051747,"US Representative, 1st District","","","","US Representative 1st District",2,,9901,"Write-in",11/10/2022 11:32:56 AM,1,28,0.00249955365113373,0/219,
100051747,"US Representative, 1st District","Democrat, Working Families","","","US Representative 1st District",2,,300024797,"Suzanne Bonamici",11/10/2022 11:32:56 AM,1,5475,0.488752008569898,0/219,
100051747,"US Representative, 1st District","Republican","","","US Representative 1st District",2,,100083995,"Christopher A Mann",11/10/2022 11:32:56 AM,1,5699,0.508748437778968,0/219,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/10/2022 11:32:56 AM,1,11,0.000938406415287494,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/10/2022 11:32:56 AM,1,33,0.00281521924586248,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/10/2022 11:32:56 AM,1,4276,0.364784166524484,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/10/2022 11:32:56 AM,1,36,0.00307114826821362,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/10/2022 11:32:56 AM,1,2095,0.178723767275209,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/10/2022 11:32:56 AM,1,5271,0.449667292270944,0/1279,
100051800,"State Representative, 32nd District","","","","HD 32",6,,9901,"Write-in",11/10/2022 11:32:56 AM,1,22,0.00192509625481274,0/56,
100051800,"State Representative, 32nd District","Democrat, Independent, Working Families","","","HD 32",6,,100084260,"Logan C Laity",11/10/2022 11:32:56 AM,1,5216,0.456422821141057,0/56,
100051800,"State Representative, 32nd District","Republican","","","HD 32",6,,100084261,"Cyrus B Javadi",11/10/2022 11:32:56 AM,1,6190,0.54165208260413,0/56,
100051763,"State Senator, 16th District","","","","SD 16",7,,9901,"Write-in",11/10/2022 11:32:56 AM,1,17,0.00146817514465843,0/101,
100051763,"State Senator, 16th District","Democrat, Independent","","","SD 16",7,,100084086,"Melissa Busch",11/10/2022 11:32:56 AM,1,4888,0.422143535711201,0/101,
100051763,"State Senator, 16th District","Republican","","","SD 16",7,,100084085,"Suzanne Weber",11/10/2022 11:32:56 AM,1,6674,0.57638828914414,0/101,
100051975,"Tillamook County, Treasurer","","","","Tillamook",9,,9901,"Write-in",11/10/2022 11:32:56 AM,1,116,0.01581890085913,0/29,
100051975,"Tillamook County, Treasurer","","","","Tillamook",9,,100064029,"Shawn Blanchard",11/10/2022 11:32:56 AM,1,7217,0.98418109914087,0/29,
100051982,"City of Tillamook, City Council, Ward 2","","","","City Of Tillamook #2",10,,9901,"Write-in",11/10/2022 11:32:56 AM,1,4,0.0272108843537415,0/1,
100051982,"City of Tillamook, City Council, Ward 2","","","","City Of Tillamook #2",10,,100086338,"Paige Folkema",11/10/2022 11:32:56 AM,1,62,0.421768707482993,0/1,
100051982,"City of Tillamook, City Council, Ward 2","","","","City Of Tillamook #2",10,,100086339,"Rebekah Hopkins",11/10/2022 11:32:56 AM,1,81,0.551020408163265,0/1,
100051983,"City of Tillamook, City Council, Ward 4","","","","City Of Tillamook #4",11,,9901,"Write-in",11/10/2022 11:32:56 AM,1,2,0.0123456790123457,0/1,
100051983,"City of Tillamook, City Council, Ward 4","","","","City Of Tillamook #4",11,,100086331,"John Sandusky",11/10/2022 11:32:56 AM,1,160,0.987654320987654,0/1,
100051984,"City of Tillamook, City Council, Ward 5","","","","City Of Tillamook #5",12,,9901,"Write-in",11/10/2022 11:32:56 AM,1,1,0.00490196078431373,0/1,
100051984,"City of Tillamook, City Council, Ward 5","","","","City Of Tillamook #5",12,,100086332,"Dean Crist",11/10/2022 11:32:56 AM,1,99,0.485294117647059,0/1,
100051984,"City of Tillamook, City Council, Ward 5","","","","City Of Tillamook #5",12,,100086340,"Nick Torres",11/10/2022 11:32:56 AM,1,104,0.509803921568627,0/1,
100051985,"City of Tillamook, City Council, Ward 6","","","","City Of Tillamook #6",13,,9901,"Write-in",11/10/2022 11:32:56 AM,1,9,0.0555555555555556,0/1,
100051985,"City of Tillamook, City Council, Ward 6","","","","City Of Tillamook #6",13,,100045569,"Douglas Henson",11/10/2022 11:32:56 AM,1,153,0.944444444444444,0/1,
100051989,"City of Bay City, City Council","","","","City of Bay City",14,,9901,"Write-in",11/10/2022 11:32:56 AM,1,75,0.17688679245283,0/1,
100051989,"City of Bay City, City Council","","","","City of Bay City",14,,100064033,"Kathleen Baker",11/10/2022 11:32:56 AM,1,349,0.82311320754717,0/1,
100051990,"City of Bay City, Mayor","","","","City of Bay City",15,,9901,"Write-in",11/10/2022 11:32:56 AM,1,22,0.0569948186528497,0/1,
