ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/10/2022 11:33:03 AM,1,18,0.00164068908941756,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/10/2022 11:33:03 AM,1,5217,0.475526387749521,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/10/2022 11:33:03 AM,1,138,0.0125786163522013,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/10/2022 11:33:03 AM,1,173,0.0157688451371798,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/10/2022 11:33:03 AM,1,5425,0.49448546167168,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/10/2022 11:33:03 AM,1,18,0.00167364016736402,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/10/2022 11:33:03 AM,1,4498,0.418224081822408,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/10/2022 11:33:03 AM,1,6239,0.580102278010228,0/370,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/10/2022 11:33:03 AM,1,9,0.000812787862367922,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/10/2022 11:33:03 AM,1,46,0.00415424907432493,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/10/2022 11:33:03 AM,1,3928,0.354736747042355,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/10/2022 11:33:03 AM,1,49,0.00442517836178091,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/10/2022 11:33:03 AM,1,1207,0.109003883319787,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/10/2022 11:33:03 AM,1,5834,0.526867154339384,0/1279,
100051223,"City of Antelope, Mayor","","","","City of Antelope",10,,9901,"Write-in",11/10/2022 11:33:03 AM,1,5,0.454545454545455,0/1,
100051223,"City of Antelope, Mayor","","","","City of Antelope",10,,100086363,"Sherri L Jamison",11/10/2022 11:33:03 AM,1,6,0.545454545454545,0/1,
