ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/9/2022 7:09:47 PM,1,111,0.000856237031094518,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/9/2022 7:09:47 PM,1,69536,0.536390073821517,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/9/2022 7:09:47 PM,1,1015,0.0078295548338823,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/9/2022 7:09:47 PM,1,1652,0.0127432754537671,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/9/2022 7:09:47 PM,1,57323,0.442180858859739,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/9/2022 7:09:47 PM,1,0,0,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/9/2022 7:09:47 PM,1,0,0,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/9/2022 7:09:47 PM,1,0,0,0/370,
100051749,"US Representative, 3rd District","","","","US Representative 3rd District",3,,9901,"Write-in",11/9/2022 7:09:47 PM,1,17,0.000651415871556118,0/109,
100051749,"US Representative, 3rd District","Democrat","","","US Representative 3rd District",3,,100067959,"Earl Blumenauer",11/9/2022 7:09:47 PM,1,10800,0.413840671341534,0/109,
100051749,"US Representative, 3rd District","Progressive, Independent, Pacific Green","","","US Representative 3rd District",3,,100085956,"David E Delk",11/9/2022 7:09:47 PM,1,489,0.0187377859524083,0/109,
100051749,"US Representative, 3rd District","Republican","","","US Representative 3rd District",3,,100084002,"Joanna Harbour",11/9/2022 7:09:47 PM,1,14791,0.566770126834502,0/109,
100051751,"US Representative, 5th District","","","","US Representative 5th District",4,,9901,"Write-in",11/9/2022 7:09:47 PM,1,245,0.00275144872198014,0/237,
100051751,"US Representative, 5th District","Democrat, Independent, Working Families","","","US Representative 5th District",4,,100084013,"Jamie McLeod-Skinner",11/9/2022 7:09:47 PM,1,45360,0.509411077669467,0/237,
100051751,"US Representative, 5th District","Republican","","","US Representative 5th District",4,,100084017,"Lori Chavez-DeRemer",11/9/2022 7:09:47 PM,1,43439,0.487837473608553,0/237,
100051752,"US Representative, 6th District","","","","US Representative 6th District",5,,9901,"Write-in",11/9/2022 7:09:47 PM,1,15,0.00122528998529652,0/177,
100051752,"US Representative, 6th District","Constitution","","","US Representative 6th District",5,,100085991,"Larry D McFarland",11/9/2022 7:09:47 PM,1,147,0.0120078418559059,0/177,
100051752,"US Representative, 6th District","Democrat, Independent, Working Families","","","US Representative 6th District",5,,100084021,"Andrea Salinas",11/9/2022 7:09:47 PM,1,6666,0.544518869465774,0/177,
100051752,"US Representative, 6th District","Republican","","","US Representative 6th District",5,,100084033,"Mike Erickson",11/9/2022 7:09:47 PM,1,5414,0.442247998693024,0/177,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/9/2022 7:09:47 PM,1,71,0.000542767810046556,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/9/2022 7:09:47 PM,1,334,0.00255330209233168,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/9/2022 7:09:47 PM,1,56559,0.432371895329903,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/9/2022 7:09:47 PM,1,254,0.00194173272889895,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/9/2022 7:09:47 PM,1,11815,0.0903211503619726,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/9/2022 7:09:47 PM,1,61778,0.472269151676847,0/1279,
100051761,"State Senator, 13th District","","","","SD 13",7,,9901,"Write-in",11/9/2022 7:09:47 PM,1,2,0.000237445090822747,0/35,
100051761,"State Senator, 13th District","Democrat, Working Families","","","SD 13",7,,100084081,"Aaron Woods",11/9/2022 7:09:47 PM,1,4372,0.519054968538526,0/35,
100051761,"State Senator, 13th District","Republican, Independent","","","SD 13",7,,100084083,"John D Velez",11/9/2022 7:09:47 PM,1,4049,0.480707586370652,0/35,
100051766,"State Senator, 20th District","","","","SD 20",9,,9901,"Write-in",11/9/2022 7:09:47 PM,1,47,0.00126558418827584,0/32,
100051766,"State Senator, 20th District","Democrat","","","SD 20",9,,100084095,"Mark Meek",11/9/2022 7:09:47 PM,1,18701,0.503567870318012,0/32,
100051766,"State Senator, 20th District","Republican, Independent, Libertarian","","","SD 20",9,,100083855,"Bill Kennemer",11/9/2022 7:09:47 PM,1,18389,0.495166545493712,0/32,
100051765,"State Senator, 19th District","","","","SD 19",10,,9901,"Write-in",11/9/2022 7:09:47 PM,1,21,0.000750402001072003,0/38,
100051765,"State Senator, 19th District","Democrat, Independent","","","SD 19",10,,100060628,"Rob Wagner",11/9/2022 7:09:47 PM,1,17445,0.6233696623191,0/38,
100051765,"State Senator, 19th District","Republican","","","SD 19",10,,100084092,"Ben Edtl",11/9/2022 7:09:47 PM,1,10519,0.375879935679828,0/38,
100051767,"State Senator, 24th District","","","","SD 24",10,,9901,"Write-in",11/9/2022 7:09:47 PM,1,1,0.000183958793230316,0/24,
100051767,"State Senator, 24th District","Democrat, Independent, Working Families","","","SD 24",10,,100083856,"Kayse Jama",11/9/2022 7:09:47 PM,1,1980,0.364238410596026,0/24,
100051767,"State Senator, 24th District","Republican","","","SD 24",10,,100084096,"Stan Catherman",11/9/2022 7:09:47 PM,1,3455,0.635577630610743,0/24,
100051768,"State Senator, 26th District","","","","SD 26",11,,9901,"Write-in",11/9/2022 7:09:47 PM,1,28,0.00101947933733843,0/41,
100051768,"State Senator, 26th District","Democrat, Independent","","","SD 26",11,,100084097,"Raz Mason",11/9/2022 7:09:47 PM,1,10098,0.367667941015838,0/41,
100051768,"State Senator, 26th District","Republican","","","SD 26",11,,100084099,"Daniel G Bonham",11/9/2022 7:09:47 PM,1,17339,0.631312579646823,0/41,
