ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/9/2022 7:10:11 PM,1,226,0.0013222792349503,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/9/2022 7:10:11 PM,1,103824,0.607452740218937,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/9/2022 7:10:11 PM,1,2158,0.0126260114558528,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/9/2022 7:10:11 PM,1,2865,0.0167625221598788,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/9/2022 7:10:11 PM,1,61844,0.361836446930381,0/1279,
100051750,"US Representative, 4th District","","","","US Representative 4th District",3,,9901,"Write-in",11/9/2022 7:10:11 PM,1,196,0.00114712458007047,0/187,
100051750,"US Representative, 4th District","Constitution","","","US Representative 4th District",3,,100085960,"Jim Howard",11/9/2022 7:10:11 PM,1,2793,0.0163465252660041,0/187,
100051750,"US Representative, 4th District","Democrat, Working Families","","","US Representative 4th District",3,,100084008,"Val Hoyle",11/9/2022 7:10:11 PM,1,95808,0.560733223303016,0/187,
100051750,"US Representative, 4th District","Independent, Libertarian","","","US Representative 4th District",3,,100085958,"Levi Leatherberry",11/9/2022 7:10:11 PM,1,4206,0.0246163570600836,0/187,
100051750,"US Representative, 4th District","Pacific Green, Progressive","","","US Representative 4th District",3,,100085957,"Mike Beilstein",11/9/2022 7:10:11 PM,1,2729,0.0159719539745526,0/187,
100051750,"US Representative, 4th District","Republican","","","US Representative 4th District",3,,100084003,"Alek Skarlatos",11/9/2022 7:10:11 PM,1,65130,0.381184815816273,0/187,
100051755,"State Senator, 4th District","","","","SD 04",4,,9901,"Write-in",11/9/2022 7:10:11 PM,1,348,0.00704496224467073,0/21,
100051755,"State Senator, 4th District","Democrat, Republican","","","SD 04",4,,300025021,"Floyd Prozanski",11/9/2022 7:10:11 PM,1,40447,0.818814907787922,0/21,
100051755,"State Senator, 4th District","Libertarian","","","SD 04",4,,100086007,"Eric Pinnell",11/9/2022 7:10:11 PM,1,8602,0.174140129967407,0/21,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/9/2022 7:10:11 PM,1,204,0.00118271154013392,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/9/2022 7:10:11 PM,1,723,0.00419166884076876,0/1279,
