ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/12/2022 6:33:20 PM,1,127,0.00112842748742736,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/12/2022 6:33:20 PM,1,52714,0.468377374584614,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/12/2022 6:33:20 PM,1,1247,0.0110799139907238,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/12/2022 6:33:20 PM,1,2069,0.0183835942636789,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/12/2022 6:33:20 PM,1,56389,0.501030689673556,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/12/2022 6:33:20 PM,1,0,0,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/12/2022 6:33:20 PM,1,0,0,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/12/2022 6:33:20 PM,1,0,0,0/370,
100051751,"US Representative, 5th District","","","","US Representative 5th District",4,,9901,"Write-in",11/12/2022 6:33:20 PM,1,61,0.00269422728678062,0/237,
100051751,"US Representative, 5th District","Democrat, Independent, Working Families","","","US Representative 5th District",4,,100084013,"Jamie McLeod-Skinner",11/12/2022 6:33:20 PM,1,7089,0.313104544852259,0/237,
100051751,"US Representative, 5th District","Republican","","","US Representative 5th District",4,,100084017,"Lori Chavez-DeRemer",11/12/2022 6:33:20 PM,1,15491,0.68420122786096,0/237,
100051752,"US Representative, 6th District","","","","US Representative 6th District",5,,9901,"Write-in",11/12/2022 6:33:20 PM,1,173,0.00193859255939041,0/177,
100051752,"US Representative, 6th District","Constitution","","","US Representative 6th District",5,,100085991,"Larry D McFarland",11/12/2022 6:33:20 PM,1,2527,0.028316898251905,0/177,
100051752,"US Representative, 6th District","Democrat, Independent, Working Families","","","US Representative 6th District",5,,100084021,"Andrea Salinas",11/12/2022 6:33:20 PM,1,41477,0.464780367548185,0/177,
100051752,"US Representative, 6th District","Republican","","","US Representative 6th District",5,,100084033,"Mike Erickson",11/12/2022 6:33:20 PM,1,45063,0.50496414164052,0/177,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/12/2022 6:33:20 PM,1,178,0.00152981418773742,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/12/2022 6:33:20 PM,1,525,0.00451209240765251,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/12/2022 6:33:20 PM,1,44343,0.381104216442924,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/12/2022 6:33:20 PM,1,415,0.0035667016174777,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/12/2022 6:33:20 PM,1,10089,0.0867095243824879,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/12/2022 6:33:20 PM,1,60804,0.52257765096172,0/1279,
100051756,"State Senator, 6th District","","","","SD 06",6,,9901,"Write-in",11/12/2022 6:33:20 PM,1,5,0.0026567481402763,0/71,
100051756,"State Senator, 6th District","Democrat, Independent","","","SD 06",6,,100084071,"Ashley Pelton",11/12/2022 6:33:20 PM,1,560,0.297555791710946,0/71,
100051756,"State Senator, 6th District","Republican","","","SD 06",6,,100084072,"Cedric R Hayden",11/12/2022 6:33:20 PM,1,1317,0.699787460148778,0/71,
100051758,"State Senator, 8th District","","","","SD 08",7,,9901,"Write-in",11/12/2022 6:33:20 PM,1,1,0.000486854917234664,0/41,
100051758,"State Senator, 8th District","Democrat, Independent, Working Families","","","SD 08",7,,100043061,"Sara Gelser Blouin",11/12/2022 6:33:20 PM,1,728,0.354430379746835,0/41,
100051758,"State Senator, 8th District","Republican","","","SD 08",7,,100084074,"Valerie Draper Woldeit",11/12/2022 6:33:20 PM,1,1325,0.64508276533593,0/41,
100051759,"State Senator, 10th District","","","","SD 10",8,,9901,"Write-in",11/12/2022 6:33:20 PM,1,46,0.00142755174875089,0/26,
100051759,"State Senator, 10th District","Democrat, Independent","","","SD 10",8,,100072558,"Deb Patterson",11/12/2022 6:33:20 PM,1,17702,0.549359153399746,0/26,
100051759,"State Senator, 10th District","Republican, Libertarian","","","SD 10",8,,100084075,"Raquel Moore-Green",11/12/2022 6:33:20 PM,1,14475,0.449213294851504,0/26,
100051760,"State Senator, 11th District","","","","SD 11",9,,9901,"Write-in",11/12/2022 6:33:20 PM,1,98,0.00262368815592204,0/34,
100051760,"State Senator, 11th District","Democrat","","","SD 11",9,,100086022,"Richard (Rich) Walsh",11/12/2022 6:33:20 PM,1,17662,0.472852859284643,0/34,
100051760,"State Senator, 11th District","Republican, Libertarian","","","SD 11",9,,100084076,"Kim Thatcher",11/12/2022 6:33:20 PM,1,19592,0.524523452559435,0/34,
100051779,"State Representative, 11th District","","","","HD 11",10,,9901,"Write-in",11/12/2022 6:33:20 PM,1,3,0.00160170848905499,0/53,
100051779,"State Representative, 11th District","Democrat, Working Families","","","HD 11",10,,100084117,"Mary K Cooke",11/12/2022 6:33:20 PM,1,549,0.293112653497064,0/53,
100051779,"State Representative, 11th District","Republican","","","HD 11",10,,100084120,"Jami Cate",11/12/2022 6:33:20 PM,1,1321,0.705285638013881,0/53,
100051783,"State Representative, 15th District","","","","HD 15",11,,9901,"Write-in",11/12/2022 6:33:20 PM,1,0,0,0/29,
100051783,"State Representative, 15th District","Democrat, Independent","","","HD 15",11,,100084194,"Benjamin Watts",11/12/2022 6:33:20 PM,1,682,0.330907326540514,0/29,
100051783,"State Representative, 15th District","Republican","","","HD 15",11,,100063731,"Shelly Boshart Davis",11/12/2022 6:33:20 PM,1,1379,0.669092673459486,0/29,
100051785,"State Representative, 17th District","","","","HD 17",12,,9901,"Write-in",11/12/2022 6:33:20 PM,1,625,0.0359154120216067,0/44,
100051785,"State Representative, 17th District","Republican, Democrat","","","HD 17",12,,100084214,"Ed Diehl",11/12/2022 6:33:20 PM,1,16777,0.964084587978393,0/44,
100051786,"State Representative, 18th District","","","","HD 18",13,,9901,"Write-in",11/12/2022 6:33:20 PM,1,34,0.00212089077412513,0/30,
100051786,"State Representative, 18th District","Democrat","","","HD 18",13,,100084216,"Jesse S Smith",11/12/2022 6:33:20 PM,1,5100,0.31813361611877,0/30,
100051786,"State Representative, 18th District","Republican","","","HD 18",13,,100060560,"Rick Lewis",11/12/2022 6:33:20 PM,1,10897,0.679745493107105,0/30,
100051787,"State Representative, 19th District","","","","HD 19",14,,9901,"Write-in",11/12/2022 6:33:20 PM,1,34,0.00138481590094493,0/12,
100051787,"State Representative, 19th District","Democrat, Independent, Working Families","","","HD 19",14,,100084218,"Tom Andersen",11/12/2022 6:33:20 PM,1,13467,0.548509286412512,0/12,
100051787,"State Representative, 19th District","Republican","","","HD 19",14,,100084223,"TJ Sullivan",11/12/2022 6:33:20 PM,1,11051,0.450105897686543,0/12,
100051788,"State Representative, 20th District","","","","HD 20",15,,9901,"Write-in",11/12/2022 6:33:20 PM,1,2,0.000260518431679041,0/14,
100051788,"State Representative, 20th District","Democrat, Independent, Working Families","","","HD 20",15,,100043131,"Paul Evans",11/12/2022 6:33:20 PM,1,4450,0.579653510485867,0/14,
100051788,"State Representative, 20th District","Libertarian","","","HD 20",15,,100086042,"Taylor A Rickey",11/12/2022 6:33:20 PM,1,86,0.0112022925621988,0/14,
100051788,"State Representative, 20th District","Republican","","","HD 20",15,,100084224,"Dan Farrington",11/12/2022 6:33:20 PM,1,3139,0.408883678520255,0/14,
100051789,"State Representative, 21st District","","","","HD 21",16,,9901,"Write-in",11/12/2022 6:33:20 PM,1,29,0.00129095441595442,0/15,
100051789,"State Representative, 21st District","Democrat, Working Families","","","HD 21",16,,100084226,"Ramiro Navarro Jr",11/12/2022 6:33:20 PM,1,10308,0.458867521367521,0/15,
100051789,"State Representative, 21st District","Libertarian","","","HD 21",16,,100086043,"Michael Morrow",11/12/2022 6:33:20 PM,1,616,0.0274216524216524,0/15,
100051789,"State Representative, 21st District","Republican","","","HD 21",16,,100084227,"Kevin L Mannix",11/12/2022 6:33:20 PM,1,11511,0.512419871794872,0/15,
100051790,"State Representative, 22nd District","","","","HD 22",17,,9901,"Write-in",11/12/2022 6:33:20 PM,1,26,0.0017348368586108,0/19,
100051790,"State Representative, 22nd District","Democrat, Independent, Working Families","","","HD 22",17,,100084229,"Anthony Medina",11/12/2022 6:33:20 PM,1,7168,0.478281177020084,0/19,
100051790,"State Representative, 22nd District","Republican","","","HD 22",17,,100084232,"Tracy M Cramer",11/12/2022 6:33:20 PM,1,7793,0.519983986121305,0/19,
