ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/15/2022 1:47:11 PM,1,16,0.000618931569378361,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/15/2022 1:47:11 PM,1,15144,0.585818730416618,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/15/2022 1:47:11 PM,1,326,0.0126107307260841,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/15/2022 1:47:11 PM,1,474,0.0183358477428339,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/15/2022 1:47:11 PM,1,9891,0.382615759545085,0/1279,
100051750,"US Representative, 4th District","","","","US Representative 4th District",3,,9901,"Write-in",11/15/2022 1:47:11 PM,1,28,0.00109696376101861,0/187,
100051750,"US Representative, 4th District","Constitution","","","US Representative 4th District",3,,100085960,"Jim Howard",11/15/2022 1:47:11 PM,1,339,0.013281096963761,0/187,
100051750,"US Representative, 4th District","Democrat, Working Families","","","US Representative 4th District",3,,100084008,"Val Hoyle",11/15/2022 1:47:11 PM,1,13757,0.53896180215475,0/187,
100051750,"US Representative, 4th District","Independent, Libertarian","","","US Representative 4th District",3,,100085958,"Levi Leatherberry",11/15/2022 1:47:11 PM,1,765,0.0299706170421156,0/187,
100051750,"US Representative, 4th District","Pacific Green, Progressive","","","US Representative 4th District",3,,100085957,"Mike Beilstein",11/15/2022 1:47:11 PM,1,462,0.0180999020568071,0/187,
100051750,"US Representative, 4th District","Republican","","","US Representative 4th District",3,,100084003,"Alek Skarlatos",11/15/2022 1:47:11 PM,1,10174,0.398589618021548,0/187,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/15/2022 1:47:11 PM,1,34,0.00130729006459551,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/15/2022 1:47:11 PM,1,148,0.00569055675176869,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/15/2022 1:47:11 PM,1,12844,0.493848046754845,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/15/2022 1:47:11 PM,1,123,0.00472931405721316,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/15/2022 1:47:11 PM,1,2618,0.100661334973854,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/15/2022 1:47:11 PM,1,10241,0.393763457397724,0/1279,
100051832,"Judge of the Circuit Court, 17th District, Position 3","","","","Circuit Court District 17",8,,9901,"Write-in",11/15/2022 1:47:11 PM,1,191,0.0120466729738253,0/32,
100051832,"Judge of the Circuit Court, 17th District, Position 3","","","","Circuit Court District 17",8,,100085941,"Amanda Benjamin - Incumbent",11/15/2022 1:47:11 PM,1,15664,0.987953327026175,0/32,
100051884,"Lincoln County, Commissioner, Position 1","","","","LINCOLN",9,,9901,"Write-in",11/15/2022 1:47:11 PM,1,97,0.00433829777718145,0/32,
100051884,"Lincoln County, Commissioner, Position 1","","","","LINCOLN",9,,100086094,"Carter McEntee",11/15/2022 1:47:11 PM,1,8883,0.397289682007245,0/32,
100051884,"Lincoln County, Commissioner, Position 1","","","","LINCOLN",9,,100086095,"Casey L Miller",11/15/2022 1:47:11 PM,1,13379,0.598372020215573,0/32,
100051778,"State Representative, 10th District","","","","HD 10",10,,9901,"Write-in",11/15/2022 1:47:11 PM,1,31,0.00120862411789933,0/42,
100051778,"State Representative, 10th District","Democrat, Independent, Working Families","","","HD 10",10,,300025042,"David Gomberg",11/15/2022 1:47:11 PM,1,15464,0.602908495457913,0/42,
100051778,"State Representative, 10th District","Republican","","","HD 10",10,,100084115,"Celeste McEntee",11/15/2022 1:47:11 PM,1,10154,0.395882880424188,0/42,
100051855,"Lincoln County, Clerk","","","","LINCOLN",10,,9901,"Write-in",11/15/2022 1:47:11 PM,1,131,0.00799511748550504,0/32,
100051855,"Lincoln County, Clerk","","","","LINCOLN",10,,100086096,"Amy A Southwell",11/15/2022 1:47:11 PM,1,16254,0.992004882514495,0/32,
100051856,"Lincoln County, Treasurer","","","","LINCOLN",11,,9901,"Write-in",11/15/2022 1:47:11 PM,1,127,0.00783757097013083,0/32,
100051856,"Lincoln County, Treasurer","","","","LINCOLN",11,,300035675,"Jayne Welch",11/15/2022 1:47:11 PM,1,16077,0.992162429029869,0/32,
100051860,"City of Depoe Bay, Mayor","","","","City of Depoe Bay",12,,9901,"Write-in",11/15/2022 1:47:11 PM,1,6,0.00655737704918033,0/1,
100051860,"City of Depoe Bay, Mayor","","","","City of Depoe Bay",12,,100073377,"Kathy Short",11/15/2022 1:47:11 PM,1,536,0.585792349726776,0/1,
100051860,"City of Depoe Bay, Mayor","","","","City of Depoe Bay",12,,100086097,"Jerome Grant",11/15/2022 1:47:11 PM,1,373,0.407650273224044,0/1,
100051857,"City of Depoe Bay, Council Member, Position 4","","","","City of Depoe Bay",13,,9901,"Write-in",11/15/2022 1:47:11 PM,1,50,0.0846023688663283,0/1,
100051857,"City of Depoe Bay, Council Member, Position 4","","","","City of Depoe Bay",13,,100086098,"Rick Beasley",11/15/2022 1:47:11 PM,1,541,0.915397631133672,0/1,
100051858,"City of Depoe Bay, Council Member, Position 5","","","","City of Depoe Bay",14,,9901,"Write-in",11/15/2022 1:47:11 PM,1,93,1,0/1,
100051858,"City of Depoe Bay, Council Member, Position 5","","","","City of Depoe Bay",14,,100086099,"No Candidate Filed",11/15/2022 1:47:11 PM,1,0,0,0/1,
100051859,"City of Depoe Bay, Council Member, Position 6","","","","City of Depoe Bay",15,,9901,"Write-in",11/15/2022 1:47:11 PM,1,22,0.0365448504983389,0/1,
100051859,"City of Depoe Bay, Council Member, Position 6","","","","City of Depoe Bay",15,,100073381,"Fran Recht",11/15/2022 1:47:11 PM,1,580,0.963455149501661,0/1,
100051861,"City of Lincoln City, Mayor","","","","City of Lincoln City",16,,9901,"Write-in",11/15/2022 1:47:11 PM,1,36,0.0086476098967091,0/4,
100051861,"City of Lincoln City, Mayor","","","","City of Lincoln City",16,,100077498,"Susan Wahlke",11/15/2022 1:47:11 PM,1,2489,0.597886139803027,0/4,
100051861,"City of Lincoln City, Mayor","","","","City of Lincoln City",16,,100086100,"Riley Hoagland",11/15/2022 1:47:11 PM,1,1638,0.393466250300264,0/4,
100051863,"City of Newport, Mayor","","","","City of Newport",17,,9901,"Write-in",11/15/2022 1:47:11 PM,1,203,0.0623847572218808,0/7,
100051863,"City of Newport, Mayor","","","","City of Newport",17,,300035694,"Dean Sawyer",11/15/2022 1:47:11 PM,1,3051,0.937615242778119,0/7,
100051862,"City of Newport, Council Members (Vote For 3)","","","","City of Newport",18,,9901,"Write-in",11/15/2022 1:47:11 PM,3,202,0.0243961352657005,0/7,
100051862,"City of Newport, Council Members (Vote For 3)","","","","City of Newport",18,,100086104,"Jan Kaplan",11/15/2022 1:47:11 PM,3,2611,0.315338164251208,0/7,
100051862,"City of Newport, Council Members (Vote For 3)","","","","City of Newport",18,,300035695,"CM Hall",11/15/2022 1:47:11 PM,3,2642,0.319082125603865,0/7,
100051862,"City of Newport, Council Members (Vote For 3)","","","","City of Newport",18,,300035697,"Ryan M Parker",11/15/2022 1:47:11 PM,3,2825,0.341183574879227,0/7,
100051866,"City of Siletz, Mayor","","","","City of Siletz",19,,9901,"Write-in",11/15/2022 1:47:11 PM,1,15,0.0433526011560694,0/1,
100051866,"City of Siletz, Mayor","","","","City of Siletz",19,,300035699,"William K Worman",11/15/2022 1:47:11 PM,1,331,0.956647398843931,0/1,
100051864,"City of Siletz, Council Member, Position 1","","","","City of Siletz",20,,9901,"Write-in",11/15/2022 1:47:11 PM,1,3,0.00920245398773006,0/1,
100051864,"City of Siletz, Council Member, Position 1","","","","City of Siletz",20,,100086105,"Tina Retasket",11/15/2022 1:47:11 PM,1,323,0.99079754601227,0/1,
100051865,"City of Siletz, Council Member, Position 4","","","","City of Siletz",21,,9901,"Write-in",11/15/2022 1:47:11 PM,1,1,0.00320512820512821,0/1,
100051865,"City of Siletz, Council Member, Position 4","","","","City of Siletz",21,,100086106,"Jasmine Whitehead",11/15/2022 1:47:11 PM,1,311,0.996794871794872,0/1,
100051868,"City of Toledo, Mayor","","","","City of Toledo",22,,9901,"Write-in",11/15/2022 1:47:11 PM,1,34,0.0313364055299539,0/2,
100051868,"City of Toledo, Mayor","","","","City of Toledo",22,,300035702,"Rod Cross",11/15/2022 1:47:11 PM,1,1051,0.968663594470046,0/2,
100051867,"City of Toledo, Council Members (Vote For 3)","","","","City of Toledo",23,,9901,"Write-in",11/15/2022 1:47:11 PM,3,40,0.0151400454201363,0/2,
100051867,"City of Toledo, Council Members (Vote For 3)","","","","City of Toledo",23,,100086308,"Kim Bush",11/15/2022 1:47:11 PM,3,723,0.273656320968963,0/2,
100051867,"City of Toledo, Council Members (Vote For 3)","","","","City of Toledo",23,,100086310,"Wade Carey",11/15/2022 1:47:11 PM,3,620,0.234670704012112,0/2,
100051867,"City of Toledo, Council Members (Vote For 3)","","","","City of Toledo",23,,100086314,"Ryan J Dokter",11/15/2022 1:47:11 PM,3,421,0.159348978046934,0/2,
100051867,"City of Toledo, Council Members (Vote For 3)","","","","City of Toledo",23,,300035705,"Betty Kamikawa",11/15/2022 1:47:11 PM,3,838,0.317183951551855,0/2,
100051870,"City of Waldport, Mayor","","","","City of Waldport",24,,9901,"Write-in",11/15/2022 1:47:11 PM,1,6,0.0051413881748072,0/1,
