ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/15/2022 1:47:29 PM,1,20,0.00179646097188539,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/15/2022 1:47:29 PM,1,5308,0.476780741938381,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/15/2022 1:47:29 PM,1,143,0.0128446959489805,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/15/2022 1:47:29 PM,1,182,0.016347794844157,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/15/2022 1:47:29 PM,1,5480,0.492230306296596,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/15/2022 1:47:29 PM,1,20,0.00183452577508714,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/15/2022 1:47:29 PM,1,4582,0.420289855072464,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/15/2022 1:47:29 PM,1,6300,0.577875619152449,0/370,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/15/2022 1:47:29 PM,1,11,0.00097864768683274,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/15/2022 1:47:29 PM,1,50,0.00444839857651246,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/15/2022 1:47:29 PM,1,4006,0.356405693950178,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/15/2022 1:47:29 PM,1,50,0.00444839857651246,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/15/2022 1:47:29 PM,1,1230,0.109430604982206,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/15/2022 1:47:29 PM,1,5893,0.524288256227758,0/1279,
100051223,"City of Antelope, Mayor","","","","City of Antelope",10,,9901,"Write-in",11/15/2022 1:47:29 PM,1,5,0.454545454545455,0/1,
100051223,"City of Antelope, Mayor","","","","City of Antelope",10,,100086363,"Sherri L Jamison",11/15/2022 1:47:29 PM,1,6,0.545454545454545,0/1,
100051219,"City of Antelope, Council, Seat 1","","","","City of Antelope",11,,9901,"Write-in",11/15/2022 1:47:29 PM,1,5,1,0/1,
100051219,"City of Antelope, Council, Seat 1","","","","City of Antelope",11,,100086359,"No Candidate Filed",11/15/2022 1:47:29 PM,1,0,0,0/1,
100051768,"State Senator, 26th District","","","","SD 26",11,,9901,"Write-in",11/15/2022 1:47:29 PM,1,11,0.0013449076904267,0/41,
100051768,"State Senator, 26th District","Democrat, Independent","","","SD 26",11,,100084097,"Raz Mason",11/15/2022 1:47:29 PM,1,3590,0.438928964421078,0/41,
100051768,"State Senator, 26th District","Republican","","","SD 26",11,,100084099,"Daniel G Bonham",11/15/2022 1:47:29 PM,1,4578,0.559726127888495,0/41,
100051220,"City of Antelope, Council, Seat 2","","","","City of Antelope",12,,9901,"Write-in",11/15/2022 1:47:29 PM,1,5,0.5,0/1,
100051220,"City of Antelope, Council, Seat 2","","","","City of Antelope",12,,100086361,"John Jamison",11/15/2022 1:47:29 PM,1,5,0.5,0/1,
100051221,"City of Antelope, Council, Seat 3","","","","City of Antelope",13,,9901,"Write-in",11/15/2022 1:47:29 PM,1,4,0.444444444444444,0/1,
100051221,"City of Antelope, Council, Seat 3","","","","City of Antelope",13,,100085168,"Samantha Jamison",11/15/2022 1:47:29 PM,1,5,0.555555555555556,0/1,
100051222,"City of Antelope, Council, Seat 4","","","","City of Antelope",14,,9901,"Write-in",11/15/2022 1:47:29 PM,1,8,1,0/1,
100051222,"City of Antelope, Council, Seat 4","","","","City of Antelope",14,,100086362,"No Candidate Filed",11/15/2022 1:47:29 PM,1,0,0,0/1,
100051227,"City of Dufur, Mayor","","","","City of Dufur",15,,9901,"Write-in",11/15/2022 1:47:29 PM,1,91,0.30952380952381,0/1,
100051227,"City of Dufur, Mayor","","","","City of Dufur",15,,300027826,"Merle Keys",11/15/2022 1:47:29 PM,1,203,0.69047619047619,0/1,
100051224,"City of Dufur, Council, Seat 2","","","","City of Dufur",16,,9901,"Write-in",11/15/2022 1:47:29 PM,1,8,0.0298507462686567,0/1,
100051224,"City of Dufur, Council, Seat 2","","","","City of Dufur",16,,100085708,"Tara Pray",11/15/2022 1:47:29 PM,1,260,0.970149253731343,0/1,
100051225,"City of Dufur, Council, Seat 4","","","","City of Dufur",17,,9901,"Write-in",11/15/2022 1:47:29 PM,1,18,0.0740740740740741,0/1,
100051225,"City of Dufur, Council, Seat 4","","","","City of Dufur",17,,100085709,"Barbara McKenzie",11/15/2022 1:47:29 PM,1,225,0.925925925925926,0/1,
100051226,"City of Dufur, Council, Seat 6","","","","City of Dufur",18,,9901,"Write-in",11/15/2022 1:47:29 PM,1,5,0.0163398692810458,0/1,
100051226,"City of Dufur, Council, Seat 6","","","","City of Dufur",18,,100063540,"Samantha Filbin",11/15/2022 1:47:29 PM,1,198,0.647058823529412,0/1,
100051226,"City of Dufur, Council, Seat 6","","","","City of Dufur",18,,100085705,"Lou Svoboda",11/15/2022 1:47:29 PM,1,103,0.336601307189543,0/1,
100051229,"City of Maupin, Mayor","","","","City of Maupin",19,,9901,"Write-in",11/15/2022 1:47:29 PM,1,26,0.114035087719298,0/1,
100051229,"City of Maupin, Mayor","","","","City of Maupin",19,,100085959,"Carol N Beatty",11/15/2022 1:47:29 PM,1,202,0.885964912280702,0/1,
100051228,"City of Maupin, Councilor (Vote For 3)","","","","City of Maupin",20,,9901,"Write-in",11/15/2022 1:47:29 PM,3,17,0.0305206463195691,0/1,
100051228,"City of Maupin, Councilor (Vote For 3)","","","","City of Maupin",20,,100064091,"Mike Foreaker",11/15/2022 1:47:29 PM,3,185,0.33213644524237,0/1,
100051228,"City of Maupin, Councilor (Vote For 3)","","","","City of Maupin",20,,100064094,"Susan W Wright",11/15/2022 1:47:29 PM,3,177,0.317773788150808,0/1,
100051228,"City of Maupin, Councilor (Vote For 3)","","","","City of Maupin",20,,100085773,"Mark Roper",11/15/2022 1:47:29 PM,3,178,0.319569120287253,0/1,
100051233,"City of Mosier, Mayor","","","","City of Mosier",21,,9901,"Write-in",11/15/2022 1:47:29 PM,1,5,0.029940119760479,0/1,
