ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/15/2022 1:47:33 PM,1,0,0,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/15/2022 1:47:33 PM,1,235,0.292652552926526,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/15/2022 1:47:33 PM,1,12,0.0149439601494396,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/15/2022 1:47:33 PM,1,12,0.0149439601494396,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/15/2022 1:47:33 PM,1,544,0.677459526774595,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/15/2022 1:47:33 PM,1,5,0.00630517023959647,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/15/2022 1:47:33 PM,1,158,0.199243379571248,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/15/2022 1:47:33 PM,1,630,0.794451450189155,0/370,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/15/2022 1:47:33 PM,1,0,0,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/15/2022 1:47:33 PM,1,12,0.0145278450363196,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/15/2022 1:47:33 PM,1,138,0.167070217917676,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/15/2022 1:47:33 PM,1,6,0.00726392251815981,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/15/2022 1:47:33 PM,1,96,0.116222760290557,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/15/2022 1:47:33 PM,1,574,0.694915254237288,0/1279,
100051200,"Wheeler County Treasurer","","","","WHEELER",8,,9901,"Write-in",11/15/2022 1:47:33 PM,1,11,0.0183946488294314,0/3,
100051200,"Wheeler County Treasurer","","","","WHEELER",8,,300025114,"Sandra Speer",11/15/2022 1:47:33 PM,1,587,0.981605351170569,0/3,
100051203,"City of Fossil, Mayor","","","","CITY OF FOSSIL",9,,9901,"Write-in",11/15/2022 1:47:33 PM,1,38,0.177570093457944,0/1,
100051203,"City of Fossil, Mayor","","","","CITY OF FOSSIL",9,,100085190,"Terri Hunt",11/15/2022 1:47:33 PM,1,176,0.822429906542056,0/1,
100051201,"City of Fossil, Council, Position 1","","","","CITY OF FOSSIL",10,,9901,"Write-in",11/15/2022 1:47:33 PM,1,4,0.0181818181818182,0/1,
100051201,"City of Fossil, Council, Position 1","","","","CITY OF FOSSIL",10,,100085189,"Chad Macomber",11/15/2022 1:47:33 PM,1,161,0.731818181818182,0/1,
100051201,"City of Fossil, Council, Position 1","","","","CITY OF FOSSIL",10,,100085558,"James F Smith",11/15/2022 1:47:33 PM,1,55,0.25,0/1,
100051202,"City of Fossil, Council, Position 2","","","","CITY OF FOSSIL",11,,9901,"Write-in",11/15/2022 1:47:33 PM,1,2,0.00947867298578199,0/1,
