ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/10/2022 11:32:12 AM,1,22,0.00113700966458215,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/10/2022 11:32:12 AM,1,10833,0.559873895291746,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/10/2022 11:32:12 AM,1,242,0.0125071063104036,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/10/2022 11:32:12 AM,1,329,0.0170034627112512,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/10/2022 11:32:12 AM,1,7923,0.409478526022017,0/1279,
100051747,"US Representative, 1st District","","","","US Representative 1st District",2,,9901,"Write-in",11/10/2022 11:32:12 AM,1,24,0.00126588955113666,0/219,
100051747,"US Representative, 1st District","Democrat, Working Families","","","US Representative 1st District",2,,300024797,"Suzanne Bonamici",11/10/2022 11:32:12 AM,1,10725,0.565694393164196,0/219,
100051747,"US Representative, 1st District","Republican","","","US Representative 1st District",2,,100083995,"Christopher A Mann",11/10/2022 11:32:12 AM,1,8210,0.433039717284667,0/219,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/10/2022 11:32:12 AM,1,21,0.00106837606837607,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/10/2022 11:32:12 AM,1,81,0.00412087912087912,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/10/2022 11:32:12 AM,1,7827,0.398199023199023,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/10/2022 11:32:12 AM,1,48,0.00244200244200244,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/10/2022 11:32:12 AM,1,4504,0.229141229141229,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/10/2022 11:32:12 AM,1,7175,0.36502849002849,0/1279,
100051800,"State Representative, 32nd District","","","","HD 32",6,,9901,"Write-in",11/10/2022 11:32:12 AM,1,24,0.00126890134292059,0/56,
100051800,"State Representative, 32nd District","Democrat, Independent, Working Families","","","HD 32",6,,100084260,"Logan C Laity",11/10/2022 11:32:12 AM,1,9829,0.519667970815269,0/56,
100051800,"State Representative, 32nd District","Republican","","","HD 32",6,,100084261,"Cyrus B Javadi",11/10/2022 11:32:12 AM,1,9061,0.47906312784181,0/56,
100051763,"State Senator, 16th District","","","","SD 16",7,,9901,"Write-in",11/10/2022 11:32:12 AM,1,34,0.00176275404396516,0/101,
100051763,"State Senator, 16th District","Democrat, Independent","","","SD 16",7,,100084086,"Melissa Busch",11/10/2022 11:32:12 AM,1,9609,0.498185400248859,0/101,
100051763,"State Senator, 16th District","Republican","","","SD 16",7,,100084085,"Suzanne Weber",11/10/2022 11:32:12 AM,1,9645,0.500051845707175,0/101,
100051833,"Judge of the Circuit Court, 18th District, Position 3","","","","Circuit Court District 18",9,,9901,"Write-in",11/10/2022 11:32:12 AM,1,183,0.0157908361377168,0/25,
100051833,"Judge of the Circuit Court, 18th District, Position 3","","","","Circuit Court District 18",9,,100085942,"Kirk Wintermute - Incumbent",11/10/2022 11:32:12 AM,1,11406,0.984209163862283,0/25,
100051926,"City of Astoria, Mayor","","","","City of Astoria",10,,9901,"Write-in",11/10/2022 11:32:12 AM,1,190,0.0597672223969802,0/3,
100051926,"City of Astoria, Mayor","","","","City of Astoria",10,,100086216,"Sean Fitzpatrick",11/10/2022 11:32:12 AM,1,2989,0.94023277760302,0/3,
100051927,"City of Astoria, Councilor, Ward 1","","","","City of Astoria, Ward 1",11,,9901,"Write-in",11/10/2022 11:32:12 AM,1,6,0.00606060606060606,0/2,
