ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/10/2022 11:32:20 AM,1,13,0.00104914857557905,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/10/2022 11:32:20 AM,1,5138,0.414655798563474,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/10/2022 11:32:20 AM,1,155,0.0125090791703656,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/10/2022 11:32:20 AM,1,162,0.0130740053264466,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/10/2022 11:32:20 AM,1,6923,0.558711968364135,0/1279,
100051750,"US Representative, 4th District","","","","US Representative 4th District",3,,9901,"Write-in",11/10/2022 11:32:20 AM,1,14,0.00113867425782839,0/187,
100051750,"US Representative, 4th District","Constitution","","","US Representative 4th District",3,,100085960,"Jim Howard",11/10/2022 11:32:20 AM,1,183,0.0148840992273282,0/187,
100051750,"US Representative, 4th District","Democrat, Working Families","","","US Representative 4th District",3,,100084008,"Val Hoyle",11/10/2022 11:32:20 AM,1,4490,0.365189101260675,0/187,
100051750,"US Representative, 4th District","Independent, Libertarian","","","US Representative 4th District",3,,100085958,"Levi Leatherberry",11/10/2022 11:32:20 AM,1,311,0.025294835298902,0/187,
100051750,"US Representative, 4th District","Pacific Green, Progressive","","","US Representative 4th District",3,,100085957,"Mike Beilstein",11/10/2022 11:32:20 AM,1,185,0.0150467669784465,0/187,
100051750,"US Representative, 4th District","Republican","","","US Representative 4th District",3,,100084003,"Alek Skarlatos",11/10/2022 11:32:20 AM,1,7112,0.57844652297682,0/187,
100051769,"State Representative, 1st District","","","","HD 01",5,,9901,"Write-in",11/10/2022 11:32:20 AM,1,33,0.00271136307616465,0/45,
100051769,"State Representative, 1st District","Democrat","","","HD 01",5,,100084101,"Bret Cecil",11/10/2022 11:32:20 AM,1,4333,0.356010188152165,0/45,
100051769,"State Representative, 1st District","Republican","","","HD 01",5,,300027661,"David Brock Smith",11/10/2022 11:32:20 AM,1,7805,0.64127844877167,0/45,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/10/2022 11:32:20 AM,1,9,0.000722195474241695,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/10/2022 11:32:20 AM,1,68,0.00545658802760392,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/10/2022 11:32:20 AM,1,4075,0.326994061948323,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/10/2022 11:32:20 AM,1,68,0.00545658802760392,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/10/2022 11:32:20 AM,1,1090,0.0874658963248275,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/10/2022 11:32:20 AM,1,7152,0.5739046701974,0/1279,
100051249,"Curry County, Commissioner, Position 1","","","","Curry",8,,9901,"Write-in",11/10/2022 11:32:20 AM,1,53,0.00469234174413457,0/27,
100051249,"Curry County, Commissioner, Position 1","","","","Curry",8,,100081486,"Brad Alcorn",11/10/2022 11:32:20 AM,1,7152,0.633200531208499,0/27,
100051249,"Curry County, Commissioner, Position 1","","","","Curry",8,,100081488,"Beth Barker-Hidalgo",11/10/2022 11:32:20 AM,1,4090,0.362107127047366,0/27,
100051250,"Curry County, Treasurer","","","","Curry",9,,9901,"Write-in",11/10/2022 11:32:20 AM,1,559,0.0732538330494037,0/27,
100051250,"Curry County, Treasurer","","","","Curry",9,,100085208,"David Barnes",11/10/2022 11:32:20 AM,1,7072,0.926746166950596,0/27,
100051251,"City of Brookings, Council, Position 3","","","","City of Brookings",10,,9901,"Write-in",11/10/2022 11:32:20 AM,1,16,0.0065173116089613,0/4,
100051251,"City of Brookings, Council, Position 3","","","","City of Brookings",10,,100085946,"Andy Martin",11/10/2022 11:32:20 AM,1,1505,0.613034623217923,0/4,
100051251,"City of Brookings, Council, Position 3","","","","City of Brookings",10,,100085947,"Diana Cooper",11/10/2022 11:32:20 AM,1,934,0.380448065173116,0/4,
100051252,"City of Brookings, Council, Position 4","","","","City of Brookings",11,,9901,"Write-in",11/10/2022 11:32:20 AM,1,18,0.00741045697818032,0/4,
100051252,"City of Brookings, Council, Position 4","","","","City of Brookings",11,,100085209,"Michelle Morosky",11/10/2022 11:32:20 AM,1,1312,0.540139975298477,0/4,
