ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/10/2022 11:32:22 AM,1,94,0.000932179018038656,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/10/2022 11:32:22 AM,1,53942,0.534931921181289,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/10/2022 11:32:22 AM,1,1139,0.0112952329951705,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/10/2022 11:32:22 AM,1,1540,0.0152718690189312,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/10/2022 11:32:22 AM,1,44124,0.437568797786571,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/10/2022 11:32:22 AM,1,19,0.00145115710685099,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/10/2022 11:32:22 AM,1,4418,0.337432215687772,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/10/2022 11:32:22 AM,1,8656,0.661116627205377,0/370,
100051751,"US Representative, 5th District","","","","US Representative 5th District",4,,9901,"Write-in",11/10/2022 11:32:22 AM,1,201,0.0023093096198256,0/237,
100051751,"US Representative, 5th District","Democrat, Independent, Working Families","","","US Representative 5th District",4,,100084013,"Jamie McLeod-Skinner",11/10/2022 11:32:22 AM,1,45593,0.523822654212479,0/237,
100051751,"US Representative, 5th District","Republican","","","US Representative 5th District",4,,100084017,"Lori Chavez-DeRemer",11/10/2022 11:32:22 AM,1,41245,0.473868036167695,0/237,
100051821,"State Representative, 53rd District","","","","HD 53",5,,9901,"Write-in",11/10/2022 11:32:22 AM,1,38,0.00104844939852113,0/19,
100051821,"State Representative, 53rd District","Democrat, Independent","","","HD 53",5,,100084325,"Emerson Levy",11/10/2022 11:32:22 AM,1,18242,0.503310892837435,0/19,
100051821,"State Representative, 53rd District","Republican","","","HD 53",5,,100084327,"Michael Sipe",11/10/2022 11:32:22 AM,1,17964,0.495640657764044,0/19,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/10/2022 11:32:22 AM,1,83,0.000809945743393575,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/10/2022 11:32:22 AM,1,327,0.00319099106132168,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/10/2022 11:32:22 AM,1,43546,0.424938522190562,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/10/2022 11:32:22 AM,1,290,0.00282993091065225,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/10/2022 11:32:22 AM,1,10763,0.105029470315001,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/10/2022 11:32:22 AM,1,47467,0.46320113977907,0/1279,
100051822,"State Representative, 54th District","","","","HD 54",6,,9901,"Write-in",11/10/2022 11:32:22 AM,1,32,0.000964116778644813,0/14,
100051822,"State Representative, 54th District","Democrat, Independent, Working Families","","","HD 54",6,,100068183,"Jason Kropf",11/10/2022 11:32:22 AM,1,21273,0.640926757253472,0/14,
100051822,"State Representative, 54th District","Republican","","","HD 54",6,,100084328,"Judy Trego",11/10/2022 11:32:22 AM,1,11886,0.358109125967883,0/14,
100051823,"State Representative, 55th District","","","","HD 55",7,,9901,"Write-in",11/10/2022 11:32:22 AM,1,12,0.000672118292819536,0/33,
100051823,"State Representative, 55th District","Democrat, Independent","","","HD 55",7,,100084329,"Brian Lepore",11/10/2022 11:32:22 AM,1,7056,0.395205556177887,0/33,
100051823,"State Representative, 55th District","Republican","","","HD 55",7,,100084330,"E Werner Reschke",11/10/2022 11:32:22 AM,1,10786,0.604122325529293,0/33,
100051827,"State Representative, 59th District","","","","HD 59",8,,9901,"Write-in",11/10/2022 11:32:22 AM,1,13,0.000998387220643576,0/38,
100051827,"State Representative, 59th District","Democrat, Independent","","","HD 59",8,,100084336,"Lawrence Jones",11/10/2022 11:32:22 AM,1,4415,0.339067659933953,0/38,
100051827,"State Representative, 59th District","Republican","","","HD 59",8,,100084337,"Vikki Breese-Iverson",11/10/2022 11:32:22 AM,1,8593,0.659933952845404,0/38,
100051828,"State Representative, 60th District","","","","HD 60",9,,9901,"Write-in",11/10/2022 11:32:22 AM,1,0,0,0/69,
100051828,"State Representative, 60th District","Progressive","","","HD 60",9,,100086063,"Antonio Sunseri",11/10/2022 11:32:22 AM,1,0,0,0/69,
100051828,"State Representative, 60th District","Republican, Independent, Democrat","","","HD 60",9,,100066856,"Mark Owens",11/10/2022 11:32:22 AM,1,20,1,0/69,
100051078,"Deschutes County, Commissioner, Position 1","","","","Deschutes",10,,9901,"Write-in",11/10/2022 11:32:22 AM,1,90,0.00089912784598939,0/50,
100051078,"Deschutes County, Commissioner, Position 1","","","","Deschutes",10,,100085888,"Tony DeBone",11/10/2022 11:32:22 AM,1,52455,0.524041679570816,0/50,
100051078,"Deschutes County, Commissioner, Position 1","","","","Deschutes",10,,100085889,"Oliver Tatom",11/10/2022 11:32:22 AM,1,47552,0.475059192583194,0/50,
100051079,"Deschutes County, Commissioner, Position 3","","","","Deschutes",11,,9901,"Write-in",11/10/2022 11:32:22 AM,1,112,0.00112077333360018,0/50,
100051079,"Deschutes County, Commissioner, Position 3","","","","Deschutes",11,,100085890,"Morgan Schmidt",11/10/2022 11:32:22 AM,1,48640,0.486735847734937,0/50,
100051079,"Deschutes County, Commissioner, Position 3","","","","Deschutes",11,,100085891,"Patti Adair",11/10/2022 11:32:22 AM,1,51179,0.512143378931463,0/50,
100051077,"Deschutes County, Clerk","","","","Deschutes",15,,9901,"Write-in",11/10/2022 11:32:22 AM,1,732,0.0114937114324744,0/50,
100051077,"Deschutes County, Clerk","","","","Deschutes",15,,100085887,"Steve Dennison",11/10/2022 11:32:22 AM,1,62955,0.988506288567526,0/50,
100051091,"Deschutes County, Treasurer","","","","Deschutes",16,,9901,"Write-in",11/10/2022 11:32:22 AM,1,401,0.00513575819672131,0/50,
