ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/10/2022 11:33:04 AM,1,149,0.000908392571909331,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/10/2022 11:33:04 AM,1,104338,0.636106470925341,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/10/2022 11:33:04 AM,1,1698,0.010352017363101,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/10/2022 11:33:04 AM,1,2953,0.0180032433882433,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/10/2022 11:33:04 AM,1,54888,0.334629875751405,0/1279,
100051747,"US Representative, 1st District","","","","US Representative 1st District",2,,9901,"Write-in",11/10/2022 11:33:04 AM,1,180,0.00165972042931435,0/219,
100051747,"US Representative, 1st District","Democrat, Working Families","","","US Representative 1st District",2,,300024797,"Suzanne Bonamici",11/10/2022 11:33:04 AM,1,69259,0.638614317854904,0/219,
100051747,"US Representative, 1st District","Republican","","","US Representative 1st District",2,,100083995,"Christopher A Mann",11/10/2022 11:33:04 AM,1,39013,0.359725961715782,0/219,
100051752,"US Representative, 6th District","","","","US Representative 6th District",5,,9901,"Write-in",11/10/2022 11:33:04 AM,1,64,0.00119054262700672,0/177,
100051752,"US Representative, 6th District","Constitution","","","US Representative 6th District",5,,100085991,"Larry D McFarland",11/10/2022 11:33:04 AM,1,805,0.0149747939803188,0/177,
100051752,"US Representative, 6th District","Democrat, Independent, Working Families","","","US Representative 6th District",5,,100084021,"Andrea Salinas",11/10/2022 11:33:04 AM,1,32955,0.613036441765724,0/177,
100051752,"US Representative, 6th District","Republican","","","US Representative 6th District",5,,100084033,"Mike Erickson",11/10/2022 11:33:04 AM,1,19933,0.370798221626951,0/177,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/10/2022 11:33:04 AM,1,143,0.00086447143314855,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/10/2022 11:33:04 AM,1,484,0.00292590331219509,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/10/2022 11:33:04 AM,1,90230,0.545463338552403,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/10/2022 11:33:04 AM,1,416,0.00251482598734124,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/10/2022 11:33:04 AM,1,14364,0.0868340396205998,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/10/2022 11:33:04 AM,1,59782,0.361397421094312,0/1279,
100051762,"State Senator, 15th District","","","","SD 15",6,,9901,"Write-in",11/10/2022 11:33:04 AM,1,44,0.00135143436329013,0/32,
100051762,"State Senator, 15th District","Democrat, Independent","","","SD 15",6,,100083853,"Janeen Sollman",11/10/2022 11:33:04 AM,1,17805,0.546870200872289,0/32,
100051762,"State Senator, 15th District","Republican","","","SD 15",6,,100084084,"Carolina Malmedal",11/10/2022 11:33:04 AM,1,14709,0.45177836476442,0/32,
100051761,"State Senator, 13th District","","","","SD 13",7,,9901,"Write-in",11/10/2022 11:33:04 AM,1,31,0.000934297769740808,0/35,
100051761,"State Senator, 13th District","Democrat, Working Families","","","SD 13",7,,100084081,"Aaron Woods",11/10/2022 11:33:04 AM,1,19857,0.598462929475588,0/35,
100051761,"State Senator, 13th District","Republican, Independent","","","SD 13",7,,100084083,"John D Velez",11/10/2022 11:33:04 AM,1,13292,0.400602772754671,0/35,
100051763,"State Senator, 16th District","","","","SD 16",7,,9901,"Write-in",11/10/2022 11:33:04 AM,1,15,0.00216107189165826,0/101,
100051763,"State Senator, 16th District","Democrat, Independent","","","SD 16",7,,100084086,"Melissa Busch",11/10/2022 11:33:04 AM,1,2539,0.365797435528022,0/101,
100051763,"State Senator, 16th District","Republican","","","SD 16",7,,100084085,"Suzanne Weber",11/10/2022 11:33:04 AM,1,4387,0.63204149258032,0/101,
100051764,"State Senator, 17th District","","","","SD 17",8,,9901,"Write-in",11/10/2022 11:33:04 AM,1,26,0.00135572009594327,0/28,
100051764,"State Senator, 17th District","Democrat, Independent","","","SD 17",8,,300025016,"Elizabeth Steiner Hayward",11/10/2022 11:33:04 AM,1,13071,0.681562206695172,0/28,
