ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/9/2022 7:09:43 PM,1,5,0.000588789448893076,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/9/2022 7:09:43 PM,1,2488,0.292981629769195,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/9/2022 7:09:43 PM,1,73,0.00859632595383891,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/9/2022 7:09:43 PM,1,110,0.0129533678756477,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/9/2022 7:09:43 PM,1,5816,0.684879886952426,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/9/2022 7:09:43 PM,1,10,0.0011936022917164,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/9/2022 7:09:43 PM,1,1728,0.206254476008594,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/9/2022 7:09:43 PM,1,6640,0.79255192169969,0/370,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/9/2022 7:09:43 PM,1,9,0.00104505341384115,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/9/2022 7:09:43 PM,1,69,0.00801207617278217,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/9/2022 7:09:43 PM,1,1451,0.16848583372039,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/9/2022 7:09:43 PM,1,30,0.00348351137947051,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/9/2022 7:09:43 PM,1,821,0.0953320947515095,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/9/2022 7:09:43 PM,1,6232,0.723641430562006,0/1279,
100051531,"Baker County, Clerk","","","","Countywide",8,,9901,"Write-in",11/9/2022 7:09:43 PM,1,32,0.00534491398029063,0/17,
100051531,"Baker County, Clerk","","","","Countywide",8,,300034777,"Stefanie L Kirby",11/9/2022 7:09:43 PM,1,5955,0.994655086019709,0/17,
100051532,"Baker County, Commissioner, Position 2","","","","Countywide",9,,9901,"Write-in",11/9/2022 7:09:43 PM,1,125,0.0203384315001627,0/17,
100051532,"Baker County, Commissioner, Position 2","","","","Countywide",9,,100085642,"Christina Witham",11/9/2022 7:09:43 PM,1,6021,0.979661568499837,0/17,
100051828,"State Representative, 60th District","","","","HD 60",9,,9901,"Write-in",11/9/2022 7:09:43 PM,1,29,0.00375404530744337,0/69,
100051828,"State Representative, 60th District","Progressive","","","HD 60",9,,100086063,"Antonio Sunseri",11/9/2022 7:09:43 PM,1,828,0.107184466019417,0/69,
100051828,"State Representative, 60th District","Republican, Independent, Democrat","","","HD 60",9,,100066856,"Mark Owens",11/9/2022 7:09:43 PM,1,6868,0.889061488673139,0/69,
100051533,"Baker County, Commissioner, Position 3","","","","Countywide",10,,9901,"Write-in",11/9/2022 7:09:43 PM,1,52,0.00690021231422505,0/17,
100051533,"Baker County, Commissioner, Position 3","","","","Countywide",10,,100085643,"Dan Garrick",11/9/2022 7:09:43 PM,1,3249,0.431130573248408,0/17,
100051533,"Baker County, Commissioner, Position 3","","","","Countywide",10,,100085644,"Shane Alderson",11/9/2022 7:09:43 PM,1,4235,0.561969214437367,0/17,
100051534,"Baker County, Treasurer","","","","Countywide",11,,9901,"Write-in",11/9/2022 7:09:43 PM,1,36,0.00577200577200577,0/17,
100051534,"Baker County, Treasurer","","","","Countywide",11,,300034780,"Alice Durflinger",11/9/2022 7:09:43 PM,1,6201,0.994227994227994,0/17,
