ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/9/2022 7:10:15 PM,1,6,0.000669568128557081,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/9/2022 7:10:15 PM,1,2308,0.25756054011829,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/9/2022 7:10:15 PM,1,92,0.0102667113045419,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/9/2022 7:10:15 PM,1,152,0.0169623925901127,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/9/2022 7:10:15 PM,1,6403,0.714540787858498,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/9/2022 7:10:15 PM,1,15,0.00168067226890756,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/9/2022 7:10:15 PM,1,1770,0.198319327731092,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/9/2022 7:10:15 PM,1,7140,0.8,0/370,
100051458,"Malheur County, Commissioner, Position 1","","","","Malheur",5,,9901,"Write-in",11/9/2022 7:10:15 PM,1,108,0.0142630744849445,0/24,
100051458,"Malheur County, Commissioner, Position 1","Republican, Democrat","","","Malheur",5,,100081247,"Jim Mendiola",11/9/2022 7:10:15 PM,1,7464,0.985736925515055,0/24,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/9/2022 7:10:15 PM,1,5,0.00055041831792162,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/9/2022 7:10:15 PM,1,70,0.00770585645090269,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/9/2022 7:10:15 PM,1,1627,0.179106120651695,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/9/2022 7:10:15 PM,1,64,0.00704535446939674,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/9/2022 7:10:15 PM,1,464,0.0510788199031264,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/9/2022 7:10:15 PM,1,6854,0.754513430206957,0/1279,
100051457,"Malheur County, Clerk","","","","Malheur",9,,9901,"Write-in",11/9/2022 7:10:15 PM,1,28,0.00422450211225106,0/24,
100051457,"Malheur County, Clerk","","","","Malheur",9,,300017307,"Gayle V Trotter",11/9/2022 7:10:15 PM,1,6600,0.995775497887749,0/24,
100051828,"State Representative, 60th District","","","","HD 60",9,,9901,"Write-in",11/9/2022 7:10:15 PM,1,29,0.00343846336258003,0/69,
100051828,"State Representative, 60th District","Progressive","","","HD 60",9,,100086063,"Antonio Sunseri",11/9/2022 7:10:15 PM,1,1008,0.119516243775196,0/69,
100051828,"State Representative, 60th District","Republican, Independent, Democrat","","","HD 60",9,,100066856,"Mark Owens",11/9/2022 7:10:15 PM,1,7397,0.877045292862224,0/69,
100051459,"Malheur County, Treasurer","","","","Malheur",10,,9901,"Write-in",11/9/2022 7:10:15 PM,1,23,0.00339884734742131,0/24,
100051459,"Malheur County, Treasurer","","","","Malheur",10,,300017308,"Jennifer J Forsyth",11/9/2022 7:10:15 PM,1,6744,0.996601152652579,0/24,
100051852,"City of Adrian, Council Members (Vote For 3)","","","","City of Adrian",11,,9901,"Write-in",11/9/2022 7:10:15 PM,3,1,0.00847457627118644,0/1,
100051852,"City of Adrian, Council Members (Vote For 3)","","","","City of Adrian",11,,100064046,"Carlos F Mendoza",11/9/2022 7:10:15 PM,3,43,0.364406779661017,0/1,
100051852,"City of Adrian, Council Members (Vote For 3)","","","","City of Adrian",11,,100086084,"Karen E Olsen",11/9/2022 7:10:15 PM,3,36,0.305084745762712,0/1,
100051852,"City of Adrian, Council Members (Vote For 3)","","","","City of Adrian",11,,100086085,"Tom Pierce",11/9/2022 7:10:15 PM,3,38,0.322033898305085,0/1,
100051559,"City of Jordan Valley, Council Member, Position 2","","","","City of Jordan Valley",12,,9901,"Write-in",11/9/2022 7:10:15 PM,1,4,0.0540540540540541,0/1,
100051559,"City of Jordan Valley, Council Member, Position 2","","","","City of Jordan Valley",12,,300024687,"Mary Aguila",11/9/2022 7:10:15 PM,1,70,0.945945945945946,0/1,
100051560,"City of Jordan Valley, Council Member, Position 4","","","","City of Jordan Valley",13,,9901,"Write-in",11/9/2022 7:10:15 PM,1,22,1,0/1,
100051560,"City of Jordan Valley, Council Member, Position 4","","","","City of Jordan Valley",13,,100085707,"No Candidate Filed",11/9/2022 7:10:15 PM,1,0,0,0/1,
100051561,"City of Jordan Valley, Council Member, Position 6","","","","City of Jordan Valley",14,,9901,"Write-in",11/9/2022 7:10:15 PM,1,3,0.0394736842105263,0/1,
100051561,"City of Jordan Valley, Council Member, Position 6","","","","City of Jordan Valley",14,,300024922,"Michael White",11/9/2022 7:10:15 PM,1,73,0.960526315789474,0/1,
100051460,"City of Nyssa, Council Members (Vote For 3)","","","","City of Nyssa",15,,9901,"Write-in",11/9/2022 7:10:15 PM,3,26,0.0126767430521697,0/1,
100051460,"City of Nyssa, Council Members (Vote For 3)","","","","City of Nyssa",15,,100063832,"Morganne L DeLeon",11/9/2022 7:10:15 PM,3,335,0.163334958556802,0/1,
100051460,"City of Nyssa, Council Members (Vote For 3)","","","","City of Nyssa",15,,100063833,"Betty A Holcomb",11/9/2022 7:10:15 PM,3,407,0.198439785470502,0/1,
100051460,"City of Nyssa, Council Members (Vote For 3)","","","","City of Nyssa",15,,100085482,"Ron Edmondson",11/9/2022 7:10:15 PM,3,238,0.116040955631399,0/1,
100051460,"City of Nyssa, Council Members (Vote For 3)","","","","City of Nyssa",15,,100085483,"Juan A Ramos",11/9/2022 7:10:15 PM,3,300,0.146270112140419,0/1,
100051460,"City of Nyssa, Council Members (Vote For 3)","","","","City of Nyssa",15,,100085484,"Jerry Holmes",11/9/2022 7:10:15 PM,3,183,0.0892247684056558,0/1,
100051460,"City of Nyssa, Council Members (Vote For 3)","","","","City of Nyssa",15,,100085485,"Mark Shuster",11/9/2022 7:10:15 PM,3,230,0.112140419307655,0/1,
100051460,"City of Nyssa, Council Members (Vote For 3)","","","","City of Nyssa",15,,200002763,"Pat Oliver",11/9/2022 7:10:15 PM,3,332,0.161872257435397,0/1,
100051462,"City of Ontario, Mayor","","","","City of Ontario",16,,9901,"Write-in",11/9/2022 7:10:15 PM,1,19,0.00660639777468707,0/4,
