ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/9/2022 7:10:23 PM,1,48,0.00132636989140347,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/9/2022 7:10:23 PM,1,16900,0.466992732598303,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/9/2022 7:10:23 PM,1,384,0.0106109591312277,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/9/2022 7:10:23 PM,1,600,0.0165796236425433,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/9/2022 7:10:23 PM,1,18257,0.504490314736522,0/1279,
100051752,"US Representative, 6th District","","","","US Representative 6th District",5,,9901,"Write-in",11/9/2022 7:10:23 PM,1,59,0.00164496612485014,0/177,
100051752,"US Representative, 6th District","Constitution","","","US Representative 6th District",5,,100085991,"Larry D McFarland",11/9/2022 7:10:23 PM,1,865,0.0241168762372097,0/177,
100051752,"US Representative, 6th District","Democrat, Independent, Working Families","","","US Representative 6th District",5,,100084021,"Andrea Salinas",11/9/2022 7:10:23 PM,1,15624,0.435609334485739,0/177,
100051752,"US Representative, 6th District","Republican","","","US Representative 6th District",5,,100084033,"Mike Erickson",11/9/2022 7:10:23 PM,1,19319,0.538628823152201,0/177,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/9/2022 7:10:23 PM,1,33,0.000900311016532984,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/9/2022 7:10:23 PM,1,176,0.00480165875484258,0/1279,
100051753,"Governor","Democrat, Working Families","","","Statewide Partisan",6,,100084063,"Tina Kotek",11/9/2022 7:10:23 PM,1,13850,0.377857805423692,0/1279,
100051753,"Governor","Libertarian","","","Statewide Partisan",6,,100086000,"R Leon Noble",11/9/2022 7:10:23 PM,1,148,0.00403775849839035,0/1279,
100051753,"Governor","Nonaffiliated","","","Statewide Partisan",6,,100086002,"Betsy Johnson",11/9/2022 7:10:23 PM,1,3186,0.0869209363234572,0/1279,
100051753,"Governor","Republican","","","Statewide Partisan",6,,100084049,"Christine Drazan",11/9/2022 7:10:23 PM,1,19261,0.525481529983085,0/1279,
100051791,"State Representative, 23rd District","","","","HD 23",6,,9901,"Write-in",11/9/2022 7:10:23 PM,1,25,0.00165387668695422,0/15,
100051791,"State Representative, 23rd District","Democrat","","","HD 23",6,,100084239,"Kriss Wright",11/9/2022 7:10:23 PM,1,4976,0.329187615771368,0/15,
100051791,"State Representative, 23rd District","Republican","","","HD 23",6,,100083859,"Anna M Scharf",11/9/2022 7:10:23 PM,1,10115,0.669158507541678,0/15,
100051792,"State Representative, 24th District","","","","HD 24",7,,9901,"Write-in",11/9/2022 7:10:23 PM,1,0,0,0/16,
