ContestID,ContestName,NominatingParty,PartyCode,AreaType,AreaNum,OfficeSeqNo,BallotOrder,CandidateID,CandidateName,CurrentDateTime,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
100051746,"US Senator","","","","Federal",1,,9901,"Write-in",11/9/2022 7:10:24 PM,1,1,0.00099403578528827,0/1279,
100051746,"US Senator","Democrat, Independent","","","Federal",1,,300018095,"Ron Wyden",11/9/2022 7:10:24 PM,1,248,0.246520874751491,0/1279,
100051746,"US Senator","Pacific Green","","","Federal",1,,100085953,"Dan Pulju",11/9/2022 7:10:24 PM,1,6,0.00596421471172962,0/1279,
100051746,"US Senator","Progressive","","","Federal",1,,100085955,"Chris Henry",11/9/2022 7:10:24 PM,1,4,0.00397614314115308,0/1279,
100051746,"US Senator","Republican, Constitution","","","Federal",1,,100083988,"Jo Rae Perkins",11/9/2022 7:10:24 PM,1,747,0.742544731610338,0/1279,
100051748,"US Representative, 2nd District","","","","US Representative 2nd District",2,,9901,"Write-in",11/9/2022 7:10:24 PM,1,1,0.00102145045965271,0/370,
100051748,"US Representative, 2nd District","Democrat","","","US Representative 2nd District",2,,100083998,"Joe Yetter",11/9/2022 7:10:24 PM,1,156,0.159346271705822,0/370,
100051748,"US Representative, 2nd District","Republican","","","US Representative 2nd District",2,,100066698,"Cliff S Bentz",11/9/2022 7:10:24 PM,1,822,0.839632277834525,0/370,
100051535,"Sherman County, Commissioner, Position 2","","","","Sherman",5,,9901,"Write-in",11/9/2022 7:10:24 PM,1,9,0.010022271714922,0/5,
100051535,"Sherman County, Commissioner, Position 2","Republican","","","Sherman",5,,100085650,"Justin Miller",11/9/2022 7:10:24 PM,1,889,0.989977728285078,0/5,
100051753,"Governor","","","","Statewide Partisan",6,,9901,"Write-in",11/9/2022 7:10:24 PM,1,1,0.000978473581213307,0/1279,
100051753,"Governor","Constitution","","","Statewide Partisan",6,,100085998,"Donice Noelle Smith",11/9/2022 7:10:24 PM,1,4,0.00391389432485323,0/1279,
